epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_output
1,2.487193536758423,640940.90625,37.702487564086915,6409.40888671875,3.7702489137649535,6415.66630859375,2578.4801386991608,0.08333333333333333,2.4849069118499756,334944.096875,301604.640625,4392.175732421875
2,2.4866789817810058,389520.73125,21.33658924102783,3895.2072021484373,2.1336589813232423,3899.827685546875,1567.287490538249,0.08333333333333333,2.4849069118499756,241463.9234375,146710.75546875,1346.0387817382812
3,2.48689603805542,262002.1890625,15.3370370388031,2620.0218017578127,1.533703738451004,2624.042431640625,1054.1476062449874,0.08333333333333333,2.4849069118499756,174639.98125,86781.29609375,580.9188842773438
4,2.487988233566284,186665.5671875,11.323500490188598,1866.6555908203125,1.1323500514030456,1870.2759521484375,750.7221761231672,0.08333333333333333,2.4849069118499756,129543.709375,56705.68515625,416.1699462890625
5,2.488442850112915,145716.575,9.68434476852417,1457.16572265625,0.968434476852417,1460.6225830078124,585.9624853618552,0.08333333333333333,2.4849069118499756,99596.234375,45787.51640625,332.8209228515625
6,2.488112735748291,118999.7484375,8.008239030838013,1189.9974487304687,0.8008238941431045,1193.2863525390626,478.5949830631302,0.08333333333333333,2.4849069118499756,79540.3640625,39227.35078125,232.03507194519042
7,2.486235475540161,100341.6421875,6.553515863418579,1003.41640625,0.6553515911102294,1006.5579833984375,403.85223673271133,0.08333333333333333,2.4849069118499756,66424.8203125,33752.377734375,164.44362182617186
8,2.486078977584839,86139.65234375,5.207797956466675,861.3964965820312,0.5207798063755036,864.4033325195312,346.69746382141767,0.08333333333333333,2.4849069118499756,57489.30703125,28546.833203125,103.51286697387695
9,2.485464000701904,74574.010546875,4.080356478691101,745.740087890625,0.4080356560647488,748.6335815429687,300.20475989029603,0.08333333333333333,2.4849069118499756,51515.3046875,22983.07744140625,75.6278413772583
10,2.4851009845733643,66073.2515625,3.1855243682861327,660.7325012207032,0.31855244673788546,663.5361572265625,266.0057107421446,0.08333333333333333,2.4849069118499756,46909.715234375,19114.20771484375,49.32781023979187
11,2.4852245330810545,59633.258984375,2.7468493461608885,596.3325744628906,0.27468493916094305,599.0924926757813,240.06171332230025,0.08333333333333333,2.4849069118499756,43550.15546875,16049.38857421875,33.71573084592819
12,2.4851032733917235,54162.07421875,2.342450089007616,541.6207336425781,0.23424501409754156,544.3400817871094,218.04123170991602,0.08333333333333333,2.4849069118499756,40755.31875,13378.474609375,28.28051177561283
