epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
1,2.4899179935455322,11318866.475,183.89442291259766,113188.6619140625,18.389442348480223,113209.5376953125,45466.17665717142,0.08333333333333333,2.485834836959839,327951.1375,174820.640625,10790550.7375,25543.7572265625
2,2.4808220863342285,3486765.73125,106.32507400512695,34867.65712890625,10.63250765800476,34880.77041015625,14059.166043664962,0.08333333333333333,2.4849069118499756,248168.0890625,108811.21015625,3120515.95,9270.44873046875
3,2.4782180309295656,1596699.825,69.7119197845459,15966.99794921875,6.971192026138306,15976.44755859375,6445.748090717079,0.08333333333333333,2.4849069118499756,189190.359375,78529.6046875,1323326.41328125,5653.391510009766
4,2.4863606452941895,852137.375,50.549709701538085,8521.3736328125,5.054971027374267,8528.915185546875,3429.2807119423396,0.08333333333333333,2.4849069118499756,144984.35625,60946.73671875,641249.9046875,4956.37548828125
5,2.4846453189849855,529296.409375,41.701424503326415,5292.96396484375,4.170142641663551,5299.618420410156,2131.9477943231636,0.08333333333333333,2.4849069118499756,114663.8625,52389.0576171875,359338.212109375,2905.2826599121095
6,2.4880723476409914,482077.41875,38.04018020629883,4820.773974609375,3.8040180921554567,4827.06611328125,1939.0826787154492,0.08333333333333333,2.4849069118499756,93747.93671875,45055.44921875,340296.140625,2977.8942016601563
7,2.4854768753051757,384014.815625,34.346117401123045,3840.1480712890625,3.434611701965332,3846.068249511719,1546.416593604034,0.08333333333333333,2.4849069118499756,79268.58984375,40247.43359375,262075.579296875,2423.206494140625
8,2.4827794551849367,252080.76875,29.702065801620485,2520.807653808594,2.9702065616846083,2526.26064453125,1016.513107960404,0.08333333333333333,2.4849069118499756,68838.2390625,36841.4908203125,144684.218359375,1716.8185940742492
9,2.484737730026245,268266.64296875,25.871532011032105,2682.66640625,2.587153223156929,2687.73837890625,1080.698991697926,0.08333333333333333,2.4849069118499756,61358.103125,34396.994140625,170885.4638671875,1626.0762481689453
10,2.4841516971588136,226614.0734375,24.518857371807098,2266.1406494140624,2.451885776221752,2271.0767333984377,913.2262485358403,0.08333333333333333,2.4849069118499756,55957.1375,31077.9208984375,137602.9755859375,1976.0502191543578
