epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.9091951182294835,0.8339549259967115,0.08285228343818356,0.008339548979608563,0.0082852285332888,2.9258198590368902,0.0057145625636190025,0.07837301587301587,2.4855034351348877,1.7995134790000944,4.521100179938923,0.038214105090628364,0.045211002701517164,0.003821410292483068,0.04627137289396708,0.025124014478979512,0.002123579699223174,0.02571326829942831,0.03202408776584878,1.635885745851185
2,1.0,0.01,0.1,2.491658501288567,0.5212213067712964,0.0711601354476712,0.005212212845013059,0.007116013697850263,2.5039867394557302,0.004947799442213992,0.09027777777777778,2.484924077987671,0.06893667658149458,3.3507407010080392,0.03563197082822598,0.03350740854538062,0.0035631970362400536,0.03466928128659166,0.48606068941790814,0.05168797239634499,0.5029148924173452,0.02775120363601206,1.0146914134747806
3,1.0,0.01,0.1,2.488205909729004,0.3252437833869724,0.06054443514644587,0.0032524378187217063,0.006054443606173879,2.4975127944027085,0.0037403984085502065,0.09027777777777778,2.4843969345092773,,,,,,,,,,0.023727786821824547,0.6267597870244012
4,1.0,0.01,0.1,2.485208503966077,0.21194412578506436,0.05156769277127187,0.0021194411906944317,0.005156769289790609,2.4924846885536707,0.0029278068495553326,0.09027777777777778,2.4848134517669678,,,,,,,,,,0.02020456799323608,0.4036836804190519
5,1.0,0.01,0.1,2.4848861107522566,0.14684440151959813,0.04400899589523391,0.001468443972573146,0.004400899681052684,2.490755431623344,0.002362017167800494,0.10416666666666664,2.480710744857788,0.014547442791153884,0.8809904352030449,0.02886982851181223,0.008809904845661205,0.002886982999246702,0.009955369509115871,0.6055981777785987,0.19845295428844992,0.6843381102807709,0.017253285511148367,0.2764355210962476
6,1.0,0.01,0.1,2.483658784843353,0.10481284835765366,0.03731343383530537,0.0010481284724519605,0.003731343464800854,2.4884381581501787,0.0019243673754300594,0.10416666666666664,2.479633092880249,,,,,,,,,,0.014861025480415653,0.19476467055523458
7,1.0,0.01,0.1,2.482963896864663,0.07738384213330618,0.031806901020355355,0.0007738384195577783,0.003180690098108272,2.4869184473500603,0.001592664525915818,0.1111111111111111,2.4767024517059326,,,,,,,,,,0.013016900873186769,0.14175078121499637
8,1.0,0.01,0.1,2.4821548675300744,0.06066725882677531,0.027057501790394265,0.00060667257895052,0.002705750204286123,2.485467272658356,0.0013344948079459466,0.12499999999999999,2.4740869998931885,,,,,,,,,,0.01156947722020535,0.10976504002298627
9,1.0,0.01,0.1,2.4798011759267204,0.0488069998372904,0.02343075445463653,0.0004880699768290565,0.0023430754691474587,2.4826322689319027,0.0011416824354551307,0.125,2.474449396133423,,,,,,,,,,0.010553533669798387,0.08706046559442342
10,1.0,0.01,0.1,2.477387373705944,0.04173114458531808,0.020426084003739842,0.00041731144662260393,0.0020426084418106254,2.4798472580113633,0.000992949231332125,0.10416666666666667,2.4755072593688965,0.02198905509828045,0.22607138448631703,0.02003918532004837,0.00226071375712062,0.002003918482647766,0.0036215793780387134,0.10281086417839792,0.09113254178914094,0.1646991815633734,0.009795367640800608,0.07366692135671535
11,1.0,0.01,0.1,2.4749133131385053,0.0366757993559111,0.018424495971295182,0.00036675798341635096,0.0018424496101536075,2.4771225977682616,0.0008926403934400441,0.13888888888888887,2.4700231552124023,,,,,,,,,,0.009156396745571069,0.0641952008457787
12,1.0,0.01,0.1,2.4681154159178216,0.03273712903607425,0.016849764521761113,0.00032737128511303634,0.0016849764809894045,2.470127665852926,0.0008153377889559133,0.13888888888888887,2.4688007831573486,,,,,,,,,,0.008621815276266478,0.05685244330081595
13,1.0,0.01,0.1,2.460721033575613,0.03013253612075123,0.015520343279687243,0.0003013253563525325,0.0015520343690046243,2.462574332183076,0.0007531775036945515,0.125,2.4677834510803223,,,,,,,,,,0.008247864455875914,0.052017207951533403
14,1.0,0.01,0.1,2.453976726778198,0.02805583218750568,0.014397930486926011,0.00028055832015888257,0.0014397930672469192,2.4556970977947348,0.0007010463337459741,0.13194444444444445,2.46152400970459,,,,,,,,,,0.007953001366585185,0.04815866296113871
15,1.0,0.01,0.1,2.448188037757414,0.026798571615436608,0.013813432501612965,0.00026798570662273633,0.0013813432580558984,2.4498373912246625,0.0006736937437981483,0.1388888888888889,2.4552106857299805,,,,,,,,,,0.007688320745199457,0.04590882208332958
16,1.0,0.01,0.1,2.445398405784174,0.026211050359881683,0.013568010981068041,0.00026211049923674875,0.0013568011004711773,2.4470173491873553,0.0006620236587537909,0.14583333333333334,2.451740264892578,,,,,,,,,,0.007487668065120195,0.044934431376278706
17,1.0,0.01,0.1,2.4351890961192355,0.026269245620259115,0.013537225616445025,0.00026269244836008563,0.001353722589656313,2.436805581472006,0.0006637739305716952,0.13194444444444445,2.4488959312438965,,,,,,,,,,0.007269293358373149,0.04526919798473483
18,1.0,0.01,0.1,2.425265443509704,0.0252000416008669,0.01305602660976517,0.00025200040735666625,0.0013056026972836708,2.426823042756309,0.0006422402581988155,0.16111111111111112,2.4363999366760254,,,,,,,,,,0.007198676838028195,0.04320140509335597
19,1.0,0.01,0.1,2.4194162646997817,0.025897866002766484,0.013389606349388211,0.00025897865362382026,0.0013389606609869999,2.4210141534033824,0.0006604648145610047,0.15416666666666667,2.4221742153167725,,,,,,,,,,0.007216402536286955,0.04457932958786541
20,1.0,0.01,0.1,2.4008846672800033,0.026231080845075302,0.01353542071970728,0.0002623108024426404,0.0013535421102415135,2.402500589209867,0.000673023962669051,0.16111111111111112,2.417034149169922,0.04314097100027379,0.08892455777462527,0.010408198938536235,0.0008892455607682518,0.001040819959390515,0.0015986415890834858,0.020612553221451793,0.024126020700459192,0.0370562264134792,0.007042158488023917,0.045420003115566585
21,1.0,0.01,0.1,2.3965932297008994,0.026566804266452995,0.013360589777925749,0.00026566803836257304,0.0013360590014763806,2.3981949154563287,0.0006683349598041104,0.1680555555555556,2.4041190147399902,,,,,,,,,,0.006965576756021037,0.046168031161346455
22,1.0,0.01,0.1,2.3865345759564134,0.026317455348993126,0.01343093006174351,0.0002631745454971478,0.0013430930187976991,2.38814090902752,0.0006730543862542317,0.1680555555555556,2.400862693786621,,,,,,,,,,0.007081152819154749,0.04555375905460622
