epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,0.1,0.001,0.010000000000000002,2.5859923243727825,0.0006530219249198094,0.059421910687947645,6.530219548705188e-07,0.0005942190911744284,2.5865872525922606,0.00023003630270773586,0.12817460317460316,2.460613250732422,0.6038527774981131,0.002339379451094278,0.02721612265770283,2.339379677105643e-06,0.00027216120933307706,0.00027302293037705246,3.874089454052322e-06,0.00045070788688046984,0.00045213492518531245,0.00012973221631042608,0.0011763116268668702
2,0.2,0.002,0.020000000000000004,2.454420754092901,0.0006106723018396139,0.05326487353510783,1.2213446886989804e-06,0.0010652974489980126,2.4554872319948653,0.0004345297324870744,0.13988095238095238,2.437873125076294,0.13049139119560696,0.001755807706140552,0.022661761750802315,3.511615493630365e-06,0.0004532352199597311,0.0004545582611302643,2.6910706227098487e-05,0.0034732959454798844,0.0034834348608398253,0.00012798516446261277,0.0010933594490848673
3,0.3,0.003,0.03,2.4090739289577567,0.0006382323133481887,0.05304169382342168,1.914696981743568e-06,0.0015912507951224347,2.4106670755527517,0.0006613186390645277,0.1246031746031746,2.429220199584961,,,,,,,,,,0.00012800482374943772,0.0011484598193522832
4,0.4,0.004,0.04000000000000001,2.3561137391449867,0.0006629225111481527,0.05395187631172486,2.651690160175142e-06,0.0021580749875809773,2.358274436858763,0.0009170723135485223,0.14775132275132277,2.382009744644165,,,,,,,,,,0.00012831865030316005,0.0011975263718679136
5,0.5,0.005,0.05,2.3159198313695017,0.0006582907953246684,0.05395579904240914,3.2914539135692173e-06,0.0026977900499814606,2.3186210034841515,0.0011663104513845654,0.17056878306878306,2.3641276359558105,0.13114561530840818,0.0020874235974032915,0.02125755445202982,1.043711814577751e-05,0.001062877827156207,0.0010668559692591174,7.95841944180375e-05,0.008104562433571978,0.008134896212505838,0.00012960420401382985,0.0011869773702301637
6,0.6,0.006,0.06,2.2712257708616796,0.0006396515728110726,0.053092650536979945,3.837909425799091e-06,0.0031855589210852443,2.2744152513100233,0.0014042623465394279,0.1488095238095238,2.3669087886810303,,,,,,,,,,0.00013228547799929162,0.0011470176693510502
7,0.7,0.006999999999999999,0.06999999999999999,2.2311199917850724,0.0006249848687692694,0.05249533247645053,4.374894126280425e-06,0.0036746732523526976,2.2347991285964257,0.0016489691993371673,0.16269841269841268,2.3315441608428955,,,,,,,,,,0.00013360546350752833,0.0011163642990648132
8,0.8,0.008,0.08000000000000002,2.1961366547569763,0.0006194785655085029,0.05252564306051924,4.955828731758417e-06,0.004202051391174276,2.2003437134977464,0.0019156399993567707,0.16468253968253968,2.3161003589630127,,,,,,,,,,0.00013466108745250935,0.0011042960662564676
9,0.9,0.009000000000000001,0.09000000000000001,2.1460474694657448,0.0006118943933205175,0.05296351431697453,5.50704925853302e-06,0.004766716443887061,2.150819643434272,0.0022237269030836635,0.19060846560846564,2.29826283454895,,,,,,,,,,0.00013698376607984984,0.0010868050208116486
10,1.0,0.01,0.1,2.1000317583395978,0.0006442221057707068,0.05537022611770696,6.442220947002309e-06,0.005537022641746138,2.1055752422641354,0.0026397052523987126,0.1869047619047619,2.273162841796875,0.22729977532825085,0.0018912989104641312,0.021732884909363544,1.8912988646475194e-05,0.002173288678209633,0.002180655413556607,8.32072474297977e-05,0.009561332276158732,0.009593742054550882,0.00014001103486743934,0.0011484331862917634
11,1.0,0.01,0.1,2.061953501118645,0.0006561030506712614,0.05625386559845248,6.561030454929335e-06,0.005625386621399098,2.0675854920930585,0.0027313650132258557,0.19662698412698412,2.256427049636841,,,,,,,,,,0.0001420736499811986,0.0011701324385376055
12,1.0,0.01,0.1,2.024784969996257,0.0006441152417149055,0.05525460058948259,6.4411521701922834e-06,0.005525460070008717,2.0303168551236546,0.0027320931872529338,0.19662698412698412,2.2517781257629395,,,,,,,,,,0.000143393262111335,0.0011448372099724905
13,1.0,0.01,0.1,1.9831176830035684,0.0006553181450094278,0.055796591927282986,6.553181250318522e-06,0.005579659345811441,1.988703824977251,0.002816884028083021,0.2257936507936508,2.2189061641693115,,,,,,,,,,0.00014520375449879642,0.0011654325310868595
14,1.0,0.01,0.1,1.945037056985287,0.0006572288926290075,0.05615101132715015,6.572288937999233e-06,0.005615101244762258,1.9506587268153075,0.0028902655162845988,0.23273809523809522,2.2119107246398926,,,,,,,,,,0.00014729643439539034,0.0011671613735545958
15,1.0,0.01,0.1,1.9092583225434085,0.000657622099905347,0.05522925240627254,6.576220840917231e-06,0.005522925333759512,1.914787826357528,0.002896151604689266,0.24246031746031746,2.2022876739501953,,,,,,,,,,0.0001492674400181976,0.0011659767827349307
16,1.0,0.01,0.1,1.8832850257213678,0.000677077110100172,0.05546402847859207,6.770771080338502e-06,0.005546402931533972,1.8888382125844643,0.0029486634400904023,0.2507936507936508,2.191499710083008,,,,,,,,,,0.00015102026008491094,0.0012031339726886886
