epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.558840791863131,0.8288363882063178,0.0832863149847098,0.008288363626358226,0.008328631852085024,2.5754577370806118,0.006493954423144928,0.02361111111111111,2.4987194538116455,1.3250843395457466,4.521100179938923,0.038214105090628364,0.045211002701517164,0.003821410292483068,0.04627137289396708,0.034119339692004806,0.002883899672222441,0.034919568146001494,0.031607523246342875,1.6260652464146048
2,1.0,0.01,0.1,2.4680892169578144,0.48834571668079924,0.07108101959816356,0.004883457204846348,0.007108102030827698,2.48008080275662,0.004858640908635764,0.0878968253968254,2.4928128719329834,0.11385712758145652,3.2590094638422515,0.03693893841878936,0.032590092569279173,0.003693894227206505,0.03383681287328982,0.2862367360002414,0.032443240978161786,0.2971866021218745,0.026547915072993034,0.9501435326832297
3,1.0,0.01,0.1,2.4573097782988556,0.28476576691753075,0.0594437906771847,0.0028476576170949792,0.005944379233465034,2.466101815901607,0.0035779114738421617,0.11726190476190475,2.4799652099609375,,,,,,,,,,0.022301330251968666,0.5472302018775382
4,1.0,0.01,0.1,2.444352167608816,0.17926513253616588,0.05029969924672951,0.001792651307993535,0.005029970068298601,2.4511748972940364,0.002791177747094583,0.11011904761904762,2.4708073139190674,,,,,,,,,,0.01883917636271701,0.33969109142503723
5,1.0,0.01,0.1,2.420236924839512,0.12702730531433978,0.04287015851234405,0.0012702730263097664,0.004287015966487577,2.4257941824638904,0.0022961756081652427,0.13253968253968254,2.4626636505126953,0.15544573692867286,0.7647884089756348,0.02980519743212232,0.00764788354271932,0.0029805198530649135,0.009274574073400498,0.04919969948245408,0.019174021185492798,0.05966438357621984,0.016309755384639905,0.23774485328521663
6,1.0,0.01,0.1,2.3949590763413764,0.0998500427439578,0.03821354544691088,0.0009985004147761557,0.0038213546062449374,2.3997789163802863,0.0020124999498463553,0.13115079365079366,2.4240620136260986,,,,,,,,,,0.014324511691491904,0.1853755713022104
7,1.0,0.01,0.1,2.3539248025766133,0.08650351865874305,0.035944754139178796,0.0008650351627914174,0.003594475461285491,2.358384270676237,0.0018945000363628924,0.15535714285714286,2.3896803855895996,,,,,,,,,,0.012902422772845487,0.16010461486042468
8,1.0,0.01,0.1,2.3155456886028873,0.08272461282817099,0.035397394401583945,0.0008272461130495364,0.003539739429899419,2.3199126416762805,0.0018859422918939808,0.16726190476190475,2.3587825298309326,,,,,,,,,,0.011942803603236319,0.15350642554115715
9,1.0,0.01,0.1,2.278212573975581,0.07990256355187364,0.03452967508357794,0.0007990256198136883,0.003452967524146998,2.2824645748236914,0.0018663724327272811,0.1875,2.339109420776367,,,,,,,,,,0.011426067915897361,0.14837905937699977
10,1.0,0.01,0.1,2.244469277830009,0.08038588951817889,0.03436442881360932,0.0008038588616798236,0.0034364429326558072,2.248709518609892,0.0018892224706391287,0.1755952380952381,2.3380930423736572,0.09612208931496621,0.3840732905181112,0.022963982953800383,0.003840732865729835,0.002296398346866886,0.00533917016867535,0.039956818386924435,0.02389043312762592,0.05554571489993654,0.011109669997377671,0.14966211115329073
