epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.491034800337432,22.819309646619576,0.001443021640016436,0.22819309482886335,0.00014430216784875924,2.719372247869915,0.09166367204736837,0.08333333333333333,2.4849069118499756,0.018180987198793786,77.20016817855306,0.0013499299109620076,0.7720016483699417,0.0001349930216905979,0.7720501913261287,42.46203134784452,0.007424955543643637,42.46470133246396,21.30757745818304,24.33104147147804
2,1.0,0.01,0.1,2.486736883189715,13.16609706648861,0.0009189119202641068,0.1316609687962138,9.189119461620076e-05,2.618489747203361,0.05298222778673383,0.08333333333333333,2.4849069118499756,0.001080143093296547,32.28114742768675,0.0006611764288875397,0.3228114793822263,6.611764359400245e-05,0.3228353896708636,298.8599208619856,0.06121193016400674,298.88205708521906,15.364428408584988,10.967765417443701
3,1.0,0.01,0.1,2.486281656767538,8.920003368193845,0.0007370336848053049,0.08920002947986229,7.370336890005644e-05,2.5755554419171176,0.03590652434963013,0.08333333333333333,2.4849069118499756,,,,,,,,,,11.329175069286983,6.510831877204514
4,1.0,0.01,0.1,2.4854564461568547,6.46298293484673,0.0006259442230914167,0.06462982788092093,6.259442347442197e-05,2.5501488966293464,0.026028387020994165,0.08333333333333333,2.4849069118499756,,,,,,,,,,8.510152765067227,4.415812894522426
5,1.0,0.01,0.1,2.4848128005272345,4.888228877686387,0.0005340849550516247,0.048882287854838495,5.340849703424065e-05,2.5337484637964613,0.01969391671738387,0.08333333333333333,2.4849069118499756,0.004002336040958879,12.447316038998409,0.00045296632837205233,0.1244731600278497,4.529663364603709e-05,0.12449246987046583,31.100127214212737,0.011317548847094041,31.10495185722585,6.573201471680003,3.203256417059447
6,1.0,0.01,0.1,2.4847091372780463,3.9629394445895327,0.0004742722315136696,0.03962939290294549,4.7427223305401864e-05,2.524386032107775,0.0159683962726181,0.08333333333333333,2.4849069118499756,,,,,,,,,,5.296944188989584,2.628934675978301
7,1.0,0.01,0.1,2.48499402408961,3.286689590874309,0.00039157618237981934,0.03286689528858805,3.915761917815838e-05,2.517900032348764,0.013241904241528914,0.08333333333333333,2.4849069118499756,,,,,,,,,,4.407083631587726,2.1662954834775547
8,1.0,0.01,0.1,2.484952843743224,2.7334748771227577,0.0003040062599779762,0.027334747928965727,3.0400626595778648e-05,2.5123179722160565,0.011012341189678209,0.08333333333333333,2.4849069118499756,,,,,,,,,,3.7742761831070184,1.6926734781921833
9,1.0,0.01,0.1,2.4849090896251895,2.374284232134663,0.0002578285787698994,0.02374284167849361,2.57828583024644e-05,2.5086776750633515,0.00956518877734123,0.08333333333333333,2.4849069118499756,,,,,,,,,,3.331357351063451,1.4172111011002848
10,1.0,0.01,0.1,2.484954419521785,2.082294339772551,0.0002155360372051983,0.02082294278269996,2.1553603913219998e-05,2.5057989086013244,0.008388281178463056,0.08333333333333333,2.4849069118499756,0.00027103754598827555,5.319251404201406,0.00034513598496630285,0.053192514012249566,3.4513598496630286e-05,0.0532094190917446,196.25514914657083,0.12733880972388698,196.31752087235293,2.986940754054951,1.1776478896350335
11,1.0,0.01,0.1,2.4849066734313965,1.8646300310932626,0.00018696507857654106,0.018646299736430026,1.8696508034152434e-05,2.5035716666617205,0.007511346982979352,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.7286602408463287,1.0005998582212117
12,1.0,0.01,0.1,2.4849507636334525,1.6912938329726201,0.00015761048326440308,0.016912938228675296,1.5761048876833316e-05,2.5018794832049056,0.006812488812776022,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.532236027430339,0.8503516647778772
13,1.0,0.01,0.1,2.4849066209054445,1.5567987510956913,0.00014329059549411774,0.0155679868139878,1.432905986076891e-05,2.500488913613219,0.0062707852853523816,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.3740952006715914,0.7395022944410984
14,1.0,0.01,0.1,2.4849066734313965,1.4605904606246292,0.0001247685059296727,0.0146059042128146,1.2476850713189633e-05,2.499525115740279,0.005882869252124199,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.25083341655961,0.6703475451100098
15,1.0,0.01,0.1,2.4849066734313965,1.3682422958019473,0.0001103792256609939,0.013682422749121095,1.1037922646247633e-05,2.4986001854303987,0.005510653908324897,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.1454089295228047,0.5910757080412978
16,1.0,0.01,0.1,2.4849066209054445,1.2952523395649949,0.00010560476132229743,0.012952523059155568,1.0560476090590227e-05,2.4978697734937816,0.005216728639292973,0.08333333333333333,2.4849069118499756,,,,,,,,,,2.0577447118939713,0.5327600091439311
17,1.0,0.01,0.1,2.4849066209054445,1.2307111293641713,0.00010168628840067659,0.012307111036013202,1.0168628906440422e-05,2.4972239636307942,0.00495683804022845,0.08333333333333333,2.4849069118499756,,,,,,,,,,1.978001707392182,0.48342059503939394
