epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.4913856761590956,0.2947109758905207,0.0010032412411104855,0.0029471096752625016,0.00010032412699638527,2.49443320891533,0.0012231882969468766,0.08333333333333333,2.4849069118499756,0.010406987111648799,0.48048048882178024,0.0006500059967883666,0.004804804807812745,6.500060733076431e-05,0.0048202346971166765,0.46169028137208007,0.006245862191758412,0.4631729284762223,0.5386767819805933,0.050745161593268126
2,1.0,0.01,0.1,2.485187479222703,0.20243575189281865,0.0006565629973888988,0.0020243574926475777,6.565630021977933e-05,2.4872774860329554,0.0008409883802895445,0.08333333333333333,2.4849069118499756,0.007523486094107935,0.3587361684146652,0.0003959943212341907,0.0035873616278080957,3.959943074963853e-05,0.003594837492592964,0.4768217263826087,0.0052634417415420055,0.47781539669599216,0.3776000513985317,0.0272714543603553
3,1.0,0.01,0.1,2.4844649145812463,0.1425241207937981,0.0004987059443188822,0.0014252411600333766,4.987059527970634e-05,2.4859399709356835,0.0005937341866474743,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.267490161291088,0.01755808252943824
4,1.0,0.01,0.1,2.484457087393677,0.1023493739111083,0.00041341157421700514,0.0010234937321261636,4.134115821692136e-05,2.485522005521082,0.0004285986245228938,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.19288781359663518,0.011810934082917522
5,1.0,0.01,0.1,2.4841746475528317,0.07831325579479516,0.0003690671283492647,0.0007831325558961567,3.6906714470294995e-05,2.484994729086372,0.00033010532136871893,0.08333333333333333,2.4849069118499756,0.00338349963304689,0.174516495735064,0.0003032191095114391,0.0017451648605647282,3.0321910621612986e-05,0.0017474517400143039,0.5157869217775508,0.008961700579322265,0.5164628135161636,0.14657826639596444,0.010048244412982013
6,1.0,0.01,0.1,2.4839724854224725,0.06321743268538875,0.0003432624340385981,0.0006321743034506008,3.43262445109074e-05,2.4846389658890162,0.00026832042298091327,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.11760054277368338,0.008834320631859224
7,1.0,0.01,0.1,2.4833789844315968,0.05366665294807462,0.0003393173570475796,0.0005366665223195008,3.39317362149203e-05,2.483949567282672,0.00022976688701624866,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.09905587481703487,0.008277429843629213
8,1.0,0.01,0.1,2.482217844094754,0.04708130112023649,0.0003320616762123348,0.0004708130036243486,3.320616866190831e-05,2.4827218548155896,0.00020305194948353492,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.08632707670202765,0.007835526375192988
9,1.0,0.01,0.1,2.4814421950026757,0.042472162500357256,0.0003419591819680346,0.00042472161362051847,3.4195918295423366e-05,2.481901143791343,0.0001849398437892876,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.07763441473809865,0.007309911201953272
10,1.0,0.01,0.1,2.4805825794830585,0.03925466285489512,0.0003386784390045054,0.0003925466171839305,3.386784504412839e-05,2.481009008962398,0.0001719009339801627,0.08333333333333333,2.4849069118499756,0.006825253739973364,0.06468650544516973,0.00018143618623746907,0.0006468650692235241,1.8143620918402766e-05,0.0006492312586856819,0.09477524116576633,0.002658307164778547,0.09512192270352364,0.07149614501430328,0.007013181397585573
11,1.0,0.01,0.1,2.479783547724791,0.03687400073967169,0.0003498221815502826,0.00036873999234086956,3.498221928962681e-05,2.4801873257976803,0.00016280542388504542,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.06700972050890044,0.006738282478031367
12,1.0,0.01,0.1,2.4782958219465825,0.035051445157720795,0.000363346999509119,0.00035051444546189704,3.633470094963414e-05,2.478682615670813,0.00015609482249285305,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.06354103462446782,0.006561854585729501
