epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.5018304908542337,0.006787669168474239,0.0019807765651462207,6.787668912701161e-05,0.00019807765814263323,2.502096412514245,0.00010630390357854998,0.08333333333333333,2.4849069118499756,0.024257405462726794,0.011871486824690044,0.001059792762970532,0.00011871486255788359,0.00010597928140926798,0.00020189761852937093,0.004893963731624032,0.004368945457588718,0.008323133273243126,0.0058632596754973915,0.007712078716753374
2,1.0,0.01,0.1,2.486539786120495,0.005283895006368062,0.001415282965753157,5.283894902300579e-05,0.0001415282985740125,2.48673415184021,7.816776095116117e-05,0.08333333333333333,2.4849069118499756,0.0009138301588083454,0.008089308970035302,0.0006703037437250566,8.089308876927806e-05,6.70303755650405e-05,0.00013203334965619732,0.08852092261297703,0.07335102143318359,0.14448346706829168,0.004923058696982423,0.005644731157861663
3,1.0,0.01,0.1,2.485168701605214,0.004364113952554185,0.0011892333060099058,4.364113769427975e-05,0.00011892333528715813,2.4853312710681594,6.541385817245914e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.004100787343149572,0.0046274404080741734
4,1.0,0.01,0.1,2.4845546445009425,0.0035626234361667846,0.000999555928855429,3.562623360564451e-05,9.995559644963506e-05,2.4846902082380864,5.456987245394761e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.003425327594922583,0.0036999193307095672
5,1.0,0.01,0.1,2.484431094023529,0.0029758599826428082,0.0008758486416062625,2.9758598857260512e-05,8.758486642982336e-05,2.484548487474504,4.7231523373444215e-05,0.08333333333333333,2.4849069118499756,0.00031629128343432827,0.004426101058992019,0.0003259247706454376,4.426101042336545e-05,3.259247519103571e-05,7.037218558041601e-05,0.13993749667323788,0.10304575844500914,0.22249170073960456,0.002884143111079598,0.003067576905500894
6,1.0,0.01,0.1,2.483357010938214,0.0025093211999191885,0.0007939641345885427,2.5093211357755484e-05,7.939641479131879e-05,2.48346145510058,4.2075958345432586e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.002484942897000124,0.002533699506845665
7,1.0,0.01,0.1,2.48248729361109,0.0022537606125521167,0.0007600997227585511,2.2537605877562542e-05,7.600997228837826e-05,2.482585754328874,3.969711281889019e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0022006452980446478,0.002306875929063292
8,1.0,0.01,0.1,2.48085403360311,0.0020324659414377813,0.0007438968553283154,2.0324659079007513e-05,7.438968569312802e-05,2.4809487592332746,3.8178120715379444e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0019916688907962044,0.0020732630502870194
9,1.0,0.01,0.1,2.479758217084428,0.0018566503568605331,0.0007370265464021114,1.8566502952090025e-05,7.370265676727035e-05,2.4798505027199775,3.720893395318423e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0018322920110541525,0.0018810087026669138
10,1.0,0.01,0.1,2.4779856525066593,0.001753792947954891,0.0007414144902949329,1.7537928991896947e-05,7.414145083595953e-05,2.4780774641775634,3.699754263513037e-05,0.08333333333333333,2.4849069118499756,0.00729199436251805,0.004006655029534818,0.0003795124997545719,4.006654926788088e-05,3.7951248600522685e-05,6.903886644781863e-05,0.005494594109099834,0.0052045087686295845,0.00946776190649417,0.0017098449431071235,0.0017977409656263772
11,1.0,0.01,0.1,2.477035703839616,0.0016914960073079535,0.0007717852733577257,1.6914959760250926e-05,7.717852981535882e-05,2.4771297913615347,3.7986327540518225e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0016278276084112757,0.0017551644072064845
12,1.0,0.01,0.1,2.474553348275347,0.0017021195566291295,0.0008255587477980762,1.702119513449264e-05,8.255587725939386e-05,2.4746529641537167,4.024042256485893e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0015774963633197387,0.0018267427232892296
13,1.0,0.01,0.1,2.472654049655041,0.0016928631764245115,0.0008570076746961484,1.692863167908761e-05,8.570076934996774e-05,2.4727567132697046,4.150576626090218e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.00152560876920441,0.0018601175846464663
14,1.0,0.01,0.1,2.4712160938578096,0.0016934850274003311,0.0009047407470563372,1.6934849285424834e-05,9.047407476073564e-05,2.4713234614176924,4.346399503998238e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.001478075583204114,0.001908894418297967
15,1.0,0.01,0.1,2.4699102974594562,0.0016988817411643195,0.0009366020306996142,1.698881723581799e-05,9.366020512876939e-05,2.4700209290148263,4.4798801996331894e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.001418967743118882,0.0019787958319813473
16,1.0,0.01,0.1,2.4694304536008587,0.0017183195525482169,0.0009721728972890278,1.7183195082162204e-05,9.721729032750996e-05,2.4695448465068246,4.632666825779863e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0013638783497543503,0.0020727607563439366
17,1.0,0.01,0.1,2.467262369835438,0.0017180724122373967,0.001013048889240484,1.7180724030453954e-05,0.00010130488916449312,2.467380810522582,4.802311040914949e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0013110814680202692,0.0021250633564545243
18,1.0,0.01,0.1,2.466659283679036,0.0017494858609650302,0.0010603047379776644,1.7494858256371878e-05,0.00010603047394553976,2.466782792299832,5.0077987267731965e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0012701687101665852,0.002228803025589047
19,1.0,0.01,0.1,2.4652167614068508,0.0017913730074483227,0.001093563135949175,1.7913729859272675e-05,0.00010935631419289853,2.465343999780599,5.162630972034309e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0012427221475932073,0.0023400238603906525
20,1.0,0.01,0.1,2.464359308479165,0.0018345113870128348,0.0011449769362101968,1.8345113484101854e-05,0.00011449769657398149,2.4644921605640353,5.390561741585682e-05,0.08333333333333333,2.4849069118499756,0.011319266109901957,0.012926832152845456,0.0005874103153131657,0.00012926830510034046,5.8741030435099244e-05,0.0001688668988809946,0.011420201967622098,0.0051894734044385885,0.01491853776043589,0.0012280951563041279,0.0024409276295434073
21,1.0,0.01,0.1,2.4640537756855845,0.0019089234824550439,0.0011814551663596228,1.90892347345089e-05,0.00011814551759774119,2.4641910604683748,5.5694706700979636e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0012124340631397964,0.002605412966890738
22,1.0,0.01,0.1,2.4627888834620095,0.00198187887878598,0.0012291911216019916,1.9818788213798015e-05,0.00012291911188969885,2.4629316149398095,5.795783027201516e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011949706031169852,0.002768787166276841
23,1.0,0.01,0.1,2.461968664458204,0.0020417874753507247,0.0012653054310936198,2.04178742084992e-05,0.0001265305456866289,2.4621155984225247,5.968736402559635e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011879021002111152,0.0028956728948724237
24,1.0,0.01,0.1,2.46036185865353,0.002140777224030429,0.0013541124199866518,2.1407772023904038e-05,0.00013541124265237426,2.4605186330266746,6.373819124399038e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011885657549071127,0.0030929886418588704
25,1.0,0.01,0.1,2.4586877839290335,0.0022155606106128833,0.0013921859763521003,2.215560581446437e-05,0.00013921859905283206,2.4588491551436986,6.563428098602139e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011780487416350569,0.0032530725170600125
26,1.0,0.01,0.1,2.4570307633142257,0.0023285571578729788,0.0014557049626952579,2.328557080129184e-05,0.0001455704968005079,2.4571995776204356,6.872362777177204e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011778276248573744,0.0034792866928922894
27,1.0,0.01,0.1,2.4548778287720148,0.002560221505545323,0.0015822929040033517,2.56022148890204e-05,0.00015822929301517158,2.455061581787267,7.488417783957446e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0011936591542606432,0.003926783793713262
28,1.0,0.01,0.1,2.4535342067121024,0.002711913933321872,0.0016436988275246487,2.7119138576068297e-05,0.00016436988394842692,2.453725625233478,7.804620045672937e-05,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.0012181947875780769,0.004205633053418229
29,1.0,0.01,0.1,2.4519332948937476,0.0029147895495447358,0.0017785778471145284,2.9147894958454134e-05,0.00017785778493186052,2.4521402606865625,8.442549408722192e-05,0.08333333333333333,2.4850687980651855,,,,,,,,,,0.0012352522364424833,0.0045943268528288285
30,1.0,0.01,0.1,2.449650735329843,0.0030316250693700605,0.0018155928994705276,3.0316250264531814e-05,0.00018155929623618513,2.44986256387681,8.649214495967244e-05,0.08333333333333333,2.485240936279297,0.008526380962290907,0.006926095095755877,0.0005473308598759373,6.92609482774152e-05,5.473308984161298e-05,0.00011079361169539789,0.008123135546456495,0.006419263939023791,0.012994213158595409,0.0012458405075129924,0.004817409605579691
