epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,0.0,0.0,0.0,2.486539415566318,28.841830215848045,0.0019647791134530163,0.0,0.0,2.486539415566318,0.0,0.08333333333333333,2.4849069118499756,0.00849538643503786,60.37486453465652,0.0011142529854038282,0.0,0.0,0.0,0.0,0.0,0.0,22.765495750046433,34.91816448796021
2,0.0,0.0,0.0,2.4843685852681094,30.664081599749306,0.0020178643867963357,0.0,0.0,2.4843685852681094,0.0,0.08333333333333333,2.4849069118499756,0.006616960434920109,85.08897930645344,0.0012812758405179726,0.0,0.0,0.0,0.0,0.0,0.0,22.942524754036725,38.385638251772434
3,0.0,0.0,0.0,2.482660888189293,33.51007447759789,0.0021796416781406703,0.0,0.0,2.482660888189293,0.0,0.08333333333333333,2.484964370727539,,,,,,,,,,23.190443928598743,43.829705479633375
4,0.0,0.0,0.0,2.478560430868152,34.686950722988215,0.0022150039389928267,0.0,0.0,2.478560430868152,0.0,0.08333333333333333,2.4850873947143555,,,,,,,,,,23.295614574123782,46.07828729206026
5,0.0,0.0,0.0,2.4747742937682213,35.69317154876131,0.002292984535536134,0.0,0.0,2.4747742937682213,0.0,0.08333333333333333,2.4855408668518066,0.006864066026034324,41.0691310225724,0.0008784081436073789,0.0,0.0,0.0,0.0,0.0,0.0,23.55755081767675,47.82879205332771
6,0.0,0.0,0.0,2.468006389276501,37.66335096375667,0.002488934523113418,0.0,0.0,2.468006389276501,0.0,0.08333333333333333,2.4867498874664307,,,,,,,,,,23.99252441130489,51.334177516208456
7,0.0,0.0,0.0,2.462920962020165,38.791516315506165,0.0026902379816728236,0.0,0.0,2.462920962020165,0.0,0.08333333333333333,2.486495018005371,,,,,,,,,,24.200741500329233,53.38228987006025
8,0.0,0.0,0.0,2.4588772163128483,39.14311663419162,0.0027702694555196317,0.0,0.0,2.4588772163128483,0.0,0.08333333333333333,2.487431526184082,,,,,,,,,,24.220650382378427,54.06558159255325
9,0.0,0.0,0.0,2.4535322689969035,39.74262015626681,0.0029518595834947133,0.0,0.0,2.4535322689969035,0.0,0.08333333333333333,2.487069606781006,,,,,,,,,,24.296907914074687,55.1883315580437
10,0.0,0.0,0.0,2.4494899131755203,42.00002864962396,0.003221115337447512,0.0,0.0,2.4494899131755203,0.0,0.07142857142857142,2.4885997772216797,0.013071171555116974,80.04853569183042,0.0013022938728238901,0.0,0.0,0.0,0.0,0.0,0.0,24.789412283446005,59.210644175386676
11,0.0,0.0,0.0,2.4431474533015396,44.90831251029508,0.003561113291001669,0.0,0.0,2.4431474533015396,0.0,0.08333333333333333,2.488748788833618,,,,,,,,,,25.753442222608346,64.063183152532
12,0.0,0.0,0.0,2.433405698063862,48.05613032881036,0.0039970114215624976,0.0,0.0,2.433405698063862,0.0,0.08333333333333333,2.488112211227417,,,,,,,,,,26.970363518457198,69.14189775306058
13,0.0,0.0,0.0,2.4204938584063425,54.23313972092331,0.004561863856457443,0.0,0.0,2.4204938584063425,0.0,0.08333333333333333,2.4882519245147705,,,,,,,,,,28.378778021019624,80.08750106627683
14,0.0,0.0,0.0,2.4031987596501994,61.900270813303436,0.0052453617953251335,0.0,0.0,2.4031987596501994,0.0,0.08333333333333333,2.48309063911438,,,,,,,,,,29.998287279716664,93.80225305343865
15,0.0,0.0,0.0,2.388235035943903,69.24327373668783,0.005909740580999246,0.0,0.0,2.388235035943903,0.0,0.08333333333333333,2.479604721069336,,,,,,,,,,31.55214065774993,106.93440616889993
16,0.0,0.0,0.0,2.3746071387075927,74.70913254414491,0.006604346685534705,0.0,0.0,2.3746071387075927,0.0,0.08333333333333333,2.475950241088867,,,,,,,,,,33.069551927497585,116.34871041302837
