epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2
1,1.0,0.01,0.1,2.4892542448388526,0.3574322515941528,0.001907642763436623,0.003574322362505733,0.00019076427540692972,2.4930194084902846,0.0015125359917409337,0.08333333333333333,2.4849069118499756,0.015942574440523723,0.5098731988915146,0.0010597927093341775,0.0050987316488043865,0.00010597928140926798,0.0051338142219463905,0.31981858813493425,0.006647563842630331,0.32201914697647427,0.6069228523979909,0.10794165735605867
2,1.0,0.01,0.1,2.4834579986467213,0.24540116439177534,0.0011499733405617321,0.0024540115619902203,0.00011499733501795211,2.486027012183211,0.0010344482968538502,0.08333333333333333,2.4849610328674316,0.0070187388772437334,0.41099392338469604,0.0005683786165875871,0.0041099391495625515,5.6837863455809366e-05,0.004128938809055427,0.5855666126699572,0.008098016531159179,0.5882736031742595,0.43752080258527026,0.05328151464410985
3,1.0,0.01,0.1,2.481191073350365,0.1733850584896009,0.0007881932938391288,0.001733850519230554,7.881932986480234e-05,2.4830037320542457,0.0007305643924664371,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.316424770271101,0.030345342683056033
4,1.0,0.01,0.1,2.479616782751428,0.12584940167127912,0.0005906006316702473,0.0012584939637508327,5.906006597221321e-05,2.4809344241623212,0.0005313538926208847,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.23210745226598237,0.019591355242681484
5,1.0,0.01,0.1,2.478884218071496,0.09422734429780874,0.0004998271450922919,0.0009422734306232359,4.998271555115634e-05,2.479876473110022,0.0004002833770696803,0.08333333333333333,2.4849069118499756,0.004205079865988777,0.21827761856826314,0.00017055987181338933,0.002182776151203533,1.7055988178073357e-05,0.002188153053834417,0.5190807834253294,0.004056043814060315,0.5203594517984018,0.17430131098899906,0.0141533830839493
6,1.0,0.01,0.1,2.478027701583048,0.07376853218895228,0.00045454348301236065,0.0007376852970275381,4.5454348757079194e-05,2.4788108179778527,0.00031603345083040075,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.1356752896729517,0.011861771691378956
7,1.0,0.01,0.1,2.4775541501693596,0.0604056337152619,0.00043539073147527273,0.0006040563347441643,4.3539074195716e-05,2.4782017853091793,0.0002613849666598053,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.11027827474213303,0.010532993430563485
8,1.0,0.01,0.1,2.4759507901492093,0.051016500883330165,0.0004120838038223393,0.0005101649968371135,4.120838196359632e-05,2.476502103772713,0.00022269157407909637,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.09312548852572138,0.008907511942938175
9,1.0,0.01,0.1,2.475717799798962,0.04480162607874599,0.00039964500887210445,0.0004480162419245711,3.9964501608544623e-05,2.4762058368853572,0.00019710677185127547,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.08151319034384778,0.008090062614725887
10,1.0,0.01,0.1,2.475257673690323,0.04034512777285403,0.0003793059482622696,0.00040345126687847205,3.793059600684814e-05,2.475698999611728,0.00017831754147327653,0.08333333333333333,2.4849069118499756,0.003998863108893,0.08255776586969481,0.0002532240602773122,0.0008255775626867326,2.532240644424451e-05,0.0008295884702860351,0.2064530693363185,0.00633240142377729,0.2074560813149938,0.07336750382913369,0.007322750844962241
11,1.0,0.01,0.1,2.474287119666804,0.037114476999861035,0.00037537500536367424,0.0003711447555919638,3.753750162838723e-05,2.474695784705026,0.00016517171914768954,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.06751404415412121,0.0067149108362331246
12,1.0,0.01,0.1,2.4735842169664815,0.034830065658909115,0.00037856475833207115,0.000348300651477637,3.785647655454129e-05,2.47397033852267,0.00015611238355399442,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.06320064886763256,0.006459482876574316
13,1.0,0.01,0.1,2.472975350903562,0.03293731978576688,0.0003755484475060819,0.000329373188033498,3.755484576866306e-05,2.4733423066426474,0.0001483751278265248,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.05989623351884996,0.00597840642336942
14,1.0,0.01,0.1,2.472797388464161,0.031400093433676404,0.0003770559097651437,0.0003140009226351207,3.770559137725558e-05,2.473149081310594,0.00014223021896299354,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.05711607920990138,0.005684107665466257
15,1.0,0.01,0.1,2.4721427755799024,0.030093901051711707,0.0003829768825989223,0.00030093900856350365,3.829768852037402e-05,2.472482019775706,0.00013722374793029553,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.05479845143021076,0.005389349390840776
16,1.0,0.01,0.1,2.4716989107673633,0.02907258234982236,0.0003859493593681722,0.00029072581158018,3.859493640080041e-05,2.4720282263271574,0.00013323659550375396,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.05288772990930306,0.0052574350131537745
17,1.0,0.01,0.1,2.4705513139189623,0.028172940336385816,0.00040049796720418484,0.0002817293906964285,4.0049798398522305e-05,2.4708731355026954,0.0001302459039332893,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.051169551331902534,0.0051763288471559235
18,1.0,0.01,0.1,2.4698409176529377,0.02731917999851519,0.0004033969599323222,0.0002731917979113161,4.033969659121325e-05,2.4701544491641494,0.00012694400366501128,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.049657943820430164,0.0049804161922291255
19,1.0,0.01,0.1,2.4690401229924057,0.026611671608306867,0.0004091657265078432,0.00026611671871694024,4.091657339372096e-05,2.4693470682416643,0.00012435330201865884,0.08333333333333333,2.4849069118499756,,,,,,,,,,0.04828314937766571,0.0049401941645502555
