epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,0.0,0.0,0.0,2.49207641704973,491.3969991293298,0.005789901366338723,0.0,0.0,2.49207641704973,0.0,0.08333333333333333,2.4860599040985107,0.11344574953056936,883.7041719243847,0.0014493660738031059,0.0,0.0,0.0,0.0,0.0,0.0,24.495069247720163,16.78213616533657,1432.9137804356376
2,0.0,0.0,0.0,2.4604121276310513,518.7378552776606,0.005848532907260829,0.0,0.0,2.4604121276310513,0.0,0.09027777777777778,2.4843907356262207,0.026305289269139873,2246.329408724375,0.0015955086255970603,0.0,0.0,0.0,0.0,0.0,0.0,24.4119245164776,16.936468602047526,1514.865156636591
3,0.0,0.0,0.0,2.4443447557045546,588.5338288141405,0.0062162342333842375,0.0,0.0,2.4443447557045546,0.0,0.09722222222222222,2.48231840133667,,,,,,,,,,24.655453384845885,18.230528540947763,1722.7154362427389
4,0.0,0.0,0.0,2.4326556406004705,641.3951571492443,0.0068269832678485454,0.0,0.0,2.4326556406004705,0.0,0.10416666666666667,2.465773344039917,,,,,,,,,,24.976738392998964,19.562644370862007,1879.6460906404636
5,0.0,0.0,0.0,2.411339334694736,697.0378946642458,0.007582273248506136,0.0,0.0,2.411339334694736,0.0,0.07837301587301587,2.463822841644287,0.022377044483211254,3843.072349055912,0.0019307291471769286,0.0,0.0,0.0,0.0,0.0,0.0,25.432787368301682,21.082947010427663,2044.5980133739479
6,0.0,0.0,0.0,2.4038731883602176,794.7039456654744,0.008586818650493114,0.0,0.0,2.4038731883602176,0.0,0.09226190476190475,2.4564309120178223,,,,,,,,,,26.026681883610053,23.559837196862226,2334.5254351670073
7,0.0,0.0,0.0,2.3924839180636117,851.5682391168328,0.00906905776816268,0.0,0.0,2.3924839180636117,0.0,0.09722222222222222,2.455740213394165,,,,,,,,,,26.382891702569907,24.881503064127674,2503.4403853555964
8,0.0,0.0,0.0,2.3774396010807584,937.6682057470955,0.009286250656217387,0.0,0.0,2.3774396010807584,0.0,0.0992063492063492,2.4537343978881836,,,,,,,,,,26.639626731150326,26.136283753045454,2760.228620676904
9,0.0,0.0,0.0,2.359421673822321,1003.5359760750591,0.009396892353546085,0.0,0.0,2.359421673822321,0.0,0.0853174603174603,2.4624037742614746,,,,,,,,,,27.049842187746872,26.391890706375833,2957.166276994137
10,0.0,0.0,0.0,2.337728992386652,1078.367696686579,0.009945933309523149,0.0,0.0,2.337728992386652,0.0,0.09226190476190477,2.461578845977783,0.04905626205690766,1044.7223857471658,0.003064059153179998,0.0,0.0,0.0,0.0,0.0,0.0,27.421503726873873,27.189440423568225,3180.4921181657432
11,0.0,0.0,0.0,2.327115759792098,1213.257335144148,0.010516563127468148,0.0,0.0,2.327115759792098,0.0,0.10615079365079365,2.4521400928497314,,,,,,,,,,27.601301935166376,28.46705095616142,3583.703646057444
12,0.0,0.0,0.0,2.3083843417504157,1342.5529876551407,0.011065158330981272,0.0,0.0,2.3083843417504157,0.0,0.1111111111111111,2.4594202041625977,,,,,,,,,,27.66947862162237,29.86570471207164,3970.123769211892
13,0.0,0.0,0.0,2.2908354158450734,1422.4363162751451,0.011172471039009996,0.0,0.0,2.2908354158450734,0.0,0.11805555555555557,2.4611752033233643,,,,,,,,,,27.715116454894286,30.693358009325248,4208.900358269014
14,0.0,0.0,0.0,2.276064934705908,1432.6105207748544,0.011307803206241942,0.0,0.0,2.276064934705908,0.0,0.11805555555555557,2.4625847339630127,,,,,,,,,,27.844803992319026,30.89782611433282,4239.088987892138
15,0.0,0.0,0.0,2.2642287026173893,1387.5861394622855,0.011407209629202567,0.0,0.0,2.2642287026173893,0.0,0.125,2.4602086544036865,,,,,,,,,,28.18796359405255,31.618884746466158,4102.95168999099
16,0.0,0.0,0.0,2.2544844901500185,1376.258677392326,0.011616898929818875,0.0,0.0,2.2544844901500185,0.0,0.11805555555555557,2.461149215698242,,,,,,,,,,28.545477501086236,32.15040312289371,4068.08006930064
17,0.0,0.0,0.0,2.2404588302934028,1397.6173041601394,0.012135398340942065,0.0,0.0,2.2404588302934028,0.0,0.12003968253968254,2.441890239715576,,,,,,,,,,29.173245106629782,33.70757064228419,4129.9709808822345
18,0.0,0.0,0.0,2.2366133011146583,1529.4301806136375,0.013121350863932435,0.0,0.0,2.2366133011146583,0.0,0.12003968253968254,2.4415509700775146,,,,,,,,,,30.096081686101968,35.686709786446286,4522.507811239378
19,0.0,0.0,0.0,2.2164840870592966,1572.0863068624947,0.013432786713407188,0.0,0.0,2.2164840870592966,0.0,0.13392857142857142,2.4321932792663574,,,,,,,,,,30.768170873802827,38.369140168680794,4647.121496308896
20,0.0,0.0,0.0,2.1979150903409606,1508.0480336174496,0.013227083726678678,0.0,0.0,2.1979150903409606,0.0,0.12698412698412698,2.4394233226776123,0.04395212207293199,3860.3867135463256,0.0024898031611070123,0.0,0.0,0.0,0.0,0.0,0.0,30.97325720269996,37.94504541209971,4455.2257725096815
21,0.0,0.0,0.0,2.1915391907224144,1520.2853310563682,0.01338476774390152,0.0,0.0,2.1915391907224144,0.0,0.12698412698412698,2.428569793701172,,,,,,,,,,31.24911245257432,38.31728999257703,4491.289423038134
22,0.0,0.0,0.0,2.1760477990989227,1619.5621083665017,0.013951649432504957,0.0,0.0,2.1760477990989227,0.0,0.12698412698412698,2.4284989833831787,,,,,,,,,,31.808144337954495,40.38002571920109,4786.498156128981
23,0.0,0.0,0.0,2.167135815612215,1687.1427010882537,0.01453930710036814,0.0,0.0,2.167135815612215,0.0,0.12698412698412698,2.425687313079834,,,,,,,,,,32.482412170830365,41.47148594880884,4987.474353258458
24,0.0,0.0,0.0,2.1545211878988297,1693.2330517662167,0.014763134180627469,0.0,0.0,2.1545211878988297,0.0,0.13392857142857142,2.4187421798706055,,,,,,,,,,32.93988846337324,41.714654709098674,5005.044747909047
25,0.0,0.0,0.0,2.1448562149336743,1659.7987096264521,0.014788242416029954,0.0,0.0,2.1448562149336743,0.0,0.13392857142857142,2.4159207344055176,,,,,,,,,,33.25157157648451,42.14107681510781,4904.003536467298
26,0.0,0.0,0.0,2.133291544479265,1666.3753622189652,0.014906919551708715,0.0,0.0,2.133291544479265,0.0,0.14087301587301587,2.405285120010376,,,,,,,,,,33.54433640760727,43.54282987138285,4922.0387700354995
27,0.0,0.0,0.0,2.122290549302881,1735.4224229507315,0.015399703377675066,0.0,0.0,2.122290549302881,0.0,0.15277777777777776,2.4049510955810547,,,,,,,,,,33.9424573139972,44.88516092874918,5127.439685079604
28,0.0,0.0,0.0,2.121609423123621,1799.3531964773156,0.015877878383161074,0.0,0.0,2.121609423123621,0.0,0.14583333333333331,2.397778272628784,,,,,,,,,,34.21404693787356,46.00002821300198,5317.845501845552
29,0.0,0.0,0.0,2.110591502690274,1833.0881629195353,0.016203907169337527,0.0,0.0,2.110591502690274,0.0,0.14583333333333331,2.410432815551758,,,,,,,,,,34.29163777520447,47.3018958638334,5417.670955585736
30,0.0,0.0,0.0,2.104357824473291,1845.340823674161,0.01593977752303554,0.0,0.0,2.104357824473291,0.0,0.15277777777777776,2.407878875732422,0.04311876157999584,8947.10407059178,0.003646906410310249,0.0,0.0,0.0,0.0,0.0,0.0,34.34979418756219,46.413956844047505,5455.258711744299
