epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,0.2,0.01032957209447662,19.361886259252024,0.1,1.9361886259252026,0.019361886259252028,0.19361886259252026,2.594219793345965,0.00024575775531990204,0.0073236749113157465,0.0007348250843770481,0.0014227599285466022,2.5956425675016264,0.0005484346130562665,0.08333333333333333,2.488375425338745,2.5017731189727783,1,0,False,0.027784175987701658,0.00032354959619136187,0.011645103181558356,0.022547116327858677,0.041270143815448176,0.00017663062823232643,3.2413614434534735e-05,0.0005282290059357413
2,0.2,0.01032957209447662,19.361886259252024,0.2,3.872377251850405,0.038723772518504056,0.3872377251850405,2.494471361633012,0.00020652160051189806,0.005753027352146971,0.0005773679688817336,0.0022357864974214088,2.4967071201633053,0.0008962967191404217,0.08333333333333333,2.4854087829589844,2.4880855083465576,2,0,False,,,,,,0.00017707207525792577,2.5338372044562218e-05,0.0004171543488044151
3,0.2,0.01032957209447662,19.361886259252024,0.3,5.8085658777756075,0.05808565877775607,0.5808565877775608,2.4818013920841446,0.00017657632048469416,0.004510399630203484,0.0004528057313161115,0.0026301520178495246,2.4844315290040693,0.0010597753818007167,0.08333333333333333,2.4852283000946045,2.486950159072876,3,0,False,,,,,,0.0001817021163588425,2.0310955188536083e-05,0.0003277158832944739
4,0.2,0.01032957209447662,19.361886259252024,0.4,7.74475450370081,0.07744754503700811,0.774475450370081,2.481473448354488,0.0001510312796041182,0.003596611492890422,0.0003611714573254049,0.002797184199841754,2.4842706690967185,0.001127227132612126,0.08333333333333333,2.4849438667297363,2.485133647918701,4,0,False,,,,,,0.00019236590327849698,1.618983052028668e-05,0.00024453811008858265
5,0.2,0.01032957209447662,19.361886259252024,0.5,9.680943129626012,0.09680943129626013,0.9680943129626013,2.4807399890919357,0.0001296231016919831,0.00281295260148389,0.0002825914956460965,0.0027357523246201816,2.483475710561887,0.0011027968818375004,0.08333333333333333,2.4849438667297363,2.485133647918701,4,1,False,0.0018008826425241964,0.00012299478340947653,0.06829694534513456,0.6611788438134236,0.1760588385982423,0.00021015395839753113,1.2607571716686244e-05,0.00016610776759498142
6,0.2,0.01032957209447662,19.361886259252024,0.6,11.617131755551215,0.11617131755551215,1.1617131755551215,2.480809652866882,0.00012161920938950205,0.002095765941143164,0.00021079279498995414,0.0024488077446074576,2.4832584303956025,0.0009871002161643307,0.08333333333333333,2.4849069118499756,2.4849066734313965,6,0,False,,,,,,0.00023644658630287433,9.69797524774051e-06,0.00011871306242889335
7,0.2,0.01032957209447662,19.361886259252024,0.7,13.553320381476416,0.13553320381476416,1.3553320381476417,2.4794520392065,0.00012173873210877256,0.001604494129398937,0.00016166680513900381,0.0021911219195999755,2.48164311949029,0.000883712160974568,0.08333333333333333,2.4849069118499756,2.4849066734313965,6,1,False,,,,,,0.0002705785653252546,7.59425561798914e-06,8.704337578851139e-05
8,0.2,0.01032957209447662,19.361886259252024,0.8,15.48950900740162,0.15489509007401622,1.548950900740162,2.4786715560853994,0.0001217027394617579,0.001183919378968273,0.00011960896802124393,0.00185268415978079,2.4805242358714907,0.0007474504458778557,0.08333333333333333,2.4849069118499756,2.4849066734313965,6,2,False,,,,,,0.00031560750411889114,5.563965404879365e-06,4.3936745647746565e-05
9,0.2,0.01032957209447662,19.361886259252024,0.9,17.425697633326823,0.17425697633326823,1.7425697633326824,2.476761736681047,0.00013398707060316873,0.0008685259836025195,8.819246910823622e-05,0.0015368152508925302,2.4782985233398804,0.0006204937794912481,0.08333333333333333,2.4849069118499756,2.4849066734313965,6,3,False,,,,,,0.00036855093005118113,4.118116714111201e-06,2.9292164283236032e-05
10,0.2,0.01032957209447662,19.361886259252024,1.0,19.361886259252024,0.19361886259252026,1.9361886259252026,2.4775965074253574,0.00015030800687608416,0.000610781338263428,6.258121417687482e-05,0.0012116903894406179,2.4788081362817866,0.0004890588059069269,0.08333333333333333,2.4849069118499756,2.4849066734313965,6,4,False,0.0023734162615642205,3.256873345410617e-05,0.013722301469629885,0.26568964027014075,-0.1955504149842285,0.0004318290758355426,2.9553589616616295e-06,1.6139565311454582e-05
