epoch,target_grad_ratio,calibration_ratio_median,kappa,warmup_scale,regularizer_multiplier,effective_lambda_p2,effective_lambda_a1,train_task_loss,train_p2,train_a1,train_base_regularizer,train_weighted_regularizer,train_total_loss,train_weighted_reg_to_task_loss_ratio,val_wholecount_ba,val_wholecount_loss,val_objective_loss,last_progress_epoch,epochs_since_progress,early_stop_triggered,first_batch_task_hidden_grad_norm,first_batch_base_reg_hidden_grad_norm,first_batch_base_reg_to_task_hidden_grad_ratio,first_batch_effective_reg_to_task_hidden_grad_ratio,first_batch_task_reg_hidden_grad_cosine,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
1,0.1,0.012834756099963809,7.791344005382539,0.1,0.779134400538254,0.00779134400538254,0.0779134400538254,2.535047983343548,0.00018447773625904681,0.007096332930695272,0.0007114780940241284,0.0005543370573483279,2.535602281097701,0.00021866925635750562,0.09722222222222222,2.4831576347351074,2.4831576347351074,1,0,False,0.02003804361238262,0.0002478953812785904,0.012371236737173387,0.009638856119134412,0.07727169664383363,0.00016196932475440838,3.6078150577711144e-05,0.00035538575930848295
2,0.1,0.012834756099963809,7.791344005382539,0.2,1.558268801076508,0.01558268801076508,0.1558268801076508,2.477928543665323,0.00015899220624980285,0.005871630737817687,0.0005887529850623245,0.0009174353942810438,2.478845957429397,0.0003702428775141288,0.09027777777777778,2.4819834232330322,2.4819834232330322,2,0,False,,,,,,0.00015924942885884588,3.0591774217498074e-05,0.0002871354243985783
3,0.1,0.012834756099963809,7.791344005382539,0.3,2.337403201614762,0.02337403201614762,0.2337403201614762,2.463759399322142,0.00014710162724250055,0.005162066307556839,0.000517677658008293,0.0012100214585854243,2.4649693982326224,0.000491128094292949,0.09027777777777778,2.4804093837738037,2.4804093837738037,3,0,False,,,,,,0.0001605889452789652,2.7676388086866717e-05,0.00025303955324883405
4,0.1,0.012834756099963809,7.791344005382539,0.4,3.116537602153016,0.03116537602153016,0.3116537602153016,2.4571471304573413,0.000140298467139788,0.004752654006998031,0.0004766684021468542,0.0014855549749401326,2.458632648504129,0.0006045852755523153,0.09722222222222221,2.477882146835327,2.477882146835327,4,0,False,,,,,,0.00016368161520753183,2.585471963127009e-05,0.0002313590736561491
5,0.1,0.012834756099963809,7.791344005382539,0.5,3.8956720026912697,0.038956720026912695,0.389567200269127,2.4470112713602035,0.00013612291347151286,0.004507874593093812,0.0004521486999205732,0.0017614230736384805,2.448772687715015,0.000719826301682448,0.09722222222222221,2.4742655754089355,2.4742655754089355,5,0,False,0.003924986822764573,0.00010843369665035829,0.027626512278067415,0.10762383041367383,-0.11229472656296578,0.00016860603907393218,2.4387247040239643e-05,0.00021537545618197196
6,0.1,0.012834756099963809,7.791344005382539,0.6,4.674806403229524,0.04674806403229524,0.4674806403229524,2.437149566545339,0.00012997441986522024,0.004194288515355983,0.0004207286146680204,0.0019668249370091034,2.4391163995877396,0.0008070185613585788,0.10416666666666667,2.4734792709350586,2.4734792709350586,6,0,False,,,,,,0.00017401344213384667,2.2834289188761457e-05,0.00019307552401830798
7,0.1,0.012834756099963809,7.791344005382539,0.7,5.453940803767777,0.05453940803767777,0.5453940803767777,2.428553805704166,0.00013210374603026727,0.004101368495048362,0.00041145789343823653,0.0022440670455265758,2.430797925709447,0.0009240343122131906,0.09722222222222222,2.476844072341919,2.476844072341919,6,1,False,,,,,,0.00018154872376884522,2.18871032936544e-05,0.00019287541397281088
8,0.1,0.012834756099963809,7.791344005382539,0.8,6.233075204306032,0.06233075204306032,0.6233075204306032,2.422813928065735,0.00013310036948541813,0.003951825419915343,0.0003965135459670326,0.002471498761120895,2.425285395574652,0.0010200943343156475,0.09722222222222222,2.477130174636841,2.477130174636841,6,2,False,,,,,,0.00019248911006181386,2.0655414162495408e-05,0.00018615658123890923
9,0.1,0.012834756099963809,7.791344005382539,0.9,7.012209604844285,0.07012209604844286,0.7012209604844286,2.4175219318337366,0.00013377109060146912,0.0038394966285367994,0.0003852873792945569,0.0027017157309225373,2.4202236722956014,0.0011175558307647841,0.09027777777777778,2.4829771518707275,2.4829771518707275,6,3,False,,,,,,0.00020739227408509567,1.9531883132166513e-05,0.00017438911193536544
10,0.1,0.012834756099963809,7.791344005382539,1.0,7.791344005382539,0.07791344005382539,0.779134400538254,2.4115272549056352,0.00013381719178273287,0.003580093174802521,0.000359347497478525,0.002799800069555448,2.414327041622694,0.001161007019041552,0.08333333333333333,2.4836676120758057,2.4836676120758057,6,4,False,0.008595517759997335,0.00017035503990287,0.019819055077250267,0.15441707596848026,-0.3250253636103004,0.00022627225498049304,1.809221357344852e-05,0.00015708710243306557
