target_grad_ratio,architecture,objective,delta_test_ba_vs_frozen_exp01_mean,delta_test_ba_vs_frozen_exp01_std,delta_test_ba_vs_frozen_exp01_count,delta_last_hidden_events_per_neuron_second_vs_frozen_exp01_mean,delta_last_hidden_events_per_neuron_second_vs_frozen_exp01_std,delta_last_hidden_events_per_neuron_second_vs_frozen_exp01_count
0.05,mid_long,timestep_ce,-0.09885614385614383,0.05735043593285067,5,-6.6986083499005975,1.2698234353037117,5
0.05,mid_long,whole_count_ce,-0.02716810966810961,0.047254427299506185,5,-3.7687458581842277,1.1695221684794677,5
0.05,short_mid,timestep_ce,-0.06935703185703183,0.053870862812989015,5,-2.372340954274354,0.9757308875454377,5
0.05,short_mid,whole_count_ce,-0.01876276501276497,0.03783353770991644,5,-2.216177932405567,1.571171398410461,5
0.05,short_mid_long,timestep_ce,-0.04195304695304693,0.020310689518155952,5,-1.6352468522200134,0.626144822030603,5
0.05,short_mid_long,whole_count_ce,-0.1289792152292152,0.013100846810833677,5,-4.026093439363818,0.6600503881337915,5
0.1,mid_long,timestep_ce,-0.18826812076812074,0.060643235993515364,5,-6.600132538104705,2.6066178998648586,5
0.1,mid_long,whole_count_ce,-0.023090381840381792,0.038128283905803584,5,-6.0386100066269055,1.1978545098569398,5
0.1,short_mid,timestep_ce,-0.15085386835386833,0.08034844810636549,5,-3.1935553346587144,0.9195110602752873,5
0.1,short_mid,whole_count_ce,-0.06841797091797087,0.04826669604992223,5,-4.428951292246521,2.229466032178498,5
0.1,short_mid_long,timestep_ce,-0.045199800199800175,0.01792058122974162,5,-1.536911862160371,0.5355176366177585,5
0.1,short_mid_long,whole_count_ce,-0.13041139416139413,0.013902123262550062,5,-4.305218687872763,0.7237870436974203,5
0.2,mid_long,timestep_ce,-0.2081035631035631,0.04709084411112569,5,-6.003156063618291,3.300888542125887,5
0.2,mid_long,whole_count_ce,-0.08270354645354641,0.0652831054840743,5,-8.462036116633533,1.1826833867907909,5
0.2,short_mid,timestep_ce,-0.18932067932067934,0.04022897081498768,5,-3.5356693174287614,0.936341246287727,5
0.2,short_mid,whole_count_ce,-0.14802766677766674,0.1377637961229212,5,-6.5518638170974155,2.400036191488531,5
0.2,short_mid_long,timestep_ce,-0.0494205794205794,0.01856899927751558,5,-1.5760271703114646,0.6336299829264666,5
0.2,short_mid_long,whole_count_ce,-0.13041139416139413,0.01589512241179281,5,-4.320245195493705,0.7700150138662895,5
