architecture,objective,profile,seed,target_grad_ratio,calibration_ratio_median,kappa
short_mid_long,whole_count_ce,a1,11,0.05,0.013113486882911432,3.812868419089698
short_mid_long,whole_count_ce,a1,23,0.05,0.012003928897211805,4.165302912749981
short_mid_long,whole_count_ce,a1,37,0.05,0.014656331696422423,3.4114948430243897
short_mid_long,whole_count_ce,a1_p2,11,0.05,0.013187209973601906,3.791552580120417
short_mid_long,whole_count_ce,a1_p2,23,0.05,0.012165718713114193,4.1099092605274405
short_mid_long,whole_count_ce,a1_p2,37,0.05,0.014846387239078508,3.367822702912566
short_mid_long,whole_count_ce,tail,11,0.05,0.026745637937506637,1.8694637277611055
short_mid_long,whole_count_ce,tail,23,0.05,0.02398937301434652,2.0842562233743327
short_mid_long,whole_count_ce,tail,37,0.05,0.03490966475780733,1.4322681225066136
short_mid_long,whole_count_ce,a1_tail,11,0.05,0.03840756202190625,1.3018269676029388
short_mid_long,whole_count_ce,a1_tail,23,0.05,0.03279011641411065,1.5248497250983648
short_mid_long,whole_count_ce,a1_tail,37,0.05,0.04589736709565523,1.0893871078877886
short_mid_long,timestep_ce,a1,11,0.05,0.009115645529268652,5.485075065661477
short_mid_long,timestep_ce,a1,23,0.05,0.009102878433349391,5.492768069583302
short_mid_long,timestep_ce,a1,37,0.05,0.01228195413968299,4.071013409702452
short_mid_long,timestep_ce,a1_p2,11,0.05,0.009230416880430654,5.416873435695486
short_mid_long,timestep_ce,a1_p2,23,0.05,0.009167168427997172,5.4542469021619056
short_mid_long,timestep_ce,a1_p2,37,0.05,0.012431600536540638,4.0220082565421285
short_mid_long,timestep_ce,tail,11,0.05,0.016644213468705038,3.004047027756015
short_mid_long,timestep_ce,tail,23,0.05,0.020307369915929196,2.4621602997825813
short_mid_long,timestep_ce,tail,37,0.05,0.028034988335580005,1.783485671600711
short_mid_long,timestep_ce,a1_tail,11,0.05,0.024690628436653587,2.0250598371070336
short_mid_long,timestep_ce,a1_tail,23,0.05,0.028053589612276282,1.7823031095500146
short_mid_long,timestep_ce,a1_tail,37,0.05,0.037504327458345386,1.3331794859015424
short_mid,whole_count_ce,a1,11,0.05,0.08368575342404806,0.5974732610297792
short_mid,whole_count_ce,a1,23,0.05,0.04891465331818301,1.0221885796625596
short_mid,whole_count_ce,a1,37,0.05,0.14429114141933772,0.34652161947136045
short_mid,whole_count_ce,a1_p2,11,0.05,0.08399949681828846,0.5952416608894966
short_mid,whole_count_ce,a1_p2,23,0.05,0.0490791826611773,1.0187618719158313
short_mid,whole_count_ce,a1_p2,37,0.05,0.1449604133777728,0.34492175370456446
short_mid,whole_count_ce,tail,11,0.05,0.06376815824366397,0.784090388951574
short_mid,whole_count_ce,tail,23,0.05,0.021438477030433077,2.332255221722247
short_mid,whole_count_ce,tail,37,0.05,0.09074318910855932,0.5510055409247654
short_mid,whole_count_ce,a1_tail,11,0.05,0.13497848460613798,0.37042940692287424
short_mid,whole_count_ce,a1_tail,23,0.05,0.060264143040474366,0.8296807600237375
short_mid,whole_count_ce,a1_tail,37,0.05,0.21271704175563017,0.2350540398048602
short_mid,timestep_ce,a1,11,0.05,0.03230841932460328,1.547584222479258
short_mid,timestep_ce,a1,23,0.05,0.019769745927945368,2.5291169740994444
short_mid,timestep_ce,a1,37,0.05,0.10578813000859354,0.4726428191512444
short_mid,timestep_ce,a1_p2,11,0.05,0.032425876868542584,1.5419783465750052
short_mid,timestep_ce,a1_p2,23,0.05,0.019831177528636244,2.521282456767882
short_mid,timestep_ce,a1_p2,37,0.05,0.10614499775270421,0.4710537572056821
short_mid,timestep_ce,tail,11,0.05,0.021575943173052472,2.317395795816152
short_mid,timestep_ce,tail,23,0.05,0.012800245910435899,3.906174955532343
short_mid,timestep_ce,tail,37,0.05,0.053363294432365316,0.9369736357520415
short_mid,timestep_ce,a1_tail,11,0.05,0.050715381330672174,0.9858941939920007
short_mid,timestep_ce,a1_tail,23,0.05,0.030385119188127675,1.645542335721244
short_mid,timestep_ce,a1_tail,37,0.05,0.15514799324006479,0.3222729405377072
mid_long,whole_count_ce,a1,11,0.05,0.03596820377904302,1.3901166793636954
mid_long,whole_count_ce,a1,23,0.05,0.034491844957435645,1.4496180201929487
mid_long,whole_count_ce,a1,37,0.05,0.024198072929000367,2.0662802425096056
mid_long,whole_count_ce,a1_p2,11,0.05,0.03613714160719572,1.3836180111723024
mid_long,whole_count_ce,a1_p2,23,0.05,0.03471953823351348,1.4401113189845614
mid_long,whole_count_ce,a1_p2,37,0.05,0.024293882586450592,2.0581312938379996
mid_long,whole_count_ce,tail,11,0.05,0.06823640534345306,0.7327466877590623
mid_long,whole_count_ce,tail,23,0.05,0.0647379814672159,0.7723441303977111
mid_long,whole_count_ce,tail,37,0.05,0.04110164938558259,1.21649619291285
mid_long,whole_count_ce,a1_tail,11,0.05,0.10064668770192396,0.4967873373844195
mid_long,whole_count_ce,a1_tail,23,0.05,0.09619289989951263,0.5197888830904591
mid_long,whole_count_ce,a1_tail,37,0.05,0.0648351476612124,0.7711866449548087
mid_long,timestep_ce,a1,11,0.05,0.015170555715893803,3.2958581700218326
mid_long,timestep_ce,a1,23,0.05,0.022677348153383976,2.2048433380222576
mid_long,timestep_ce,a1,37,0.05,0.013373202921898196,3.738820108541581
mid_long,timestep_ce,a1_p2,11,0.05,0.015247896746754022,3.2791407779334563
mid_long,timestep_ce,a1_p2,23,0.05,0.022827050626128404,2.1903837170610543
mid_long,timestep_ce,a1_p2,37,0.05,0.013431344100770218,3.7226356219354666
mid_long,timestep_ce,tail,11,0.05,0.028537764918047298,1.7520643310219426
mid_long,timestep_ce,tail,23,0.05,0.04256327288820495,1.1747216933088784
mid_long,timestep_ce,tail,37,0.05,0.02210495174639551,2.2619366273058312
mid_long,timestep_ce,a1_tail,11,0.05,0.042092362558679305,1.1878639487222171
mid_long,timestep_ce,a1_tail,23,0.05,0.06324393432631406,0.790589651523251
mid_long,timestep_ce,a1_tail,37,0.05,0.03486910700533225,1.433934054931602
