architecture,objective,profile,seed,shift,alpha,tau_syn_ms,tau_group,neuron_start,neuron_stop,neuron_count,n_test_samples,fs_hz,tail_stage1_steps,tail_stage2_steps,tail_stage3_steps,valid_firing_rate_hz,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz,tail_firing_rate_hz,valid_spikes_per_neuron_sample,tail_stage1_spikes_per_neuron_sample,tail_stage2_spikes_per_neuron_sample,tail_stage3_spikes_per_neuron_sample,tail_spikes_per_neuron_sample,tail_to_valid_rate_ratio,none_valid_firing_rate_hz,none_tail_stage1_firing_rate_hz,none_tail_stage2_firing_rate_hz,none_tail_stage3_firing_rate_hz,none_tail_firing_rate_hz,none_tail_to_valid_rate_ratio,delta_valid_firing_rate_hz_vs_none,pct_change_valid_firing_rate_hz_vs_none,delta_tail_stage1_firing_rate_hz_vs_none,pct_change_tail_stage1_firing_rate_hz_vs_none,delta_tail_stage2_firing_rate_hz_vs_none,pct_change_tail_stage2_firing_rate_hz_vs_none,delta_tail_stage3_firing_rate_hz_vs_none,pct_change_tail_stage3_firing_rate_hz_vs_none,delta_tail_firing_rate_hz_vs_none,pct_change_tail_firing_rate_hz_vs_none,delta_tail_to_valid_rate_ratio_vs_none,pct_change_tail_to_valid_rate_ratio_vs_none,tail_specific_suppression_pp,tail_stage1_specific_suppression_pp,tail_stage2_specific_suppression_pp,tail_stage3_specific_suppression_pp
short_mid_long,whole_count_ce,none,11,2,0.75,54.31342963722199,short_mid,0,22,22,146,64.0,13,13,12,2.27820953069462,2.860044065523517,1.5710317080180094,0.8152760481527604,1.7733499377334994,2.943337484433375,0.5809464508094645,0.3191158156911581,0.1528642590286426,1.0529265255292652,0.7783963300306314,2.27820953069462,2.860044065523517,1.5710317080180094,0.8152760481527604,1.7733499377334994,0.7783963300306314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,11,3,0.875,117.0136826471659,short_mid,22,44,22,146,64.0,13,13,12,3.851798301102476,4.392757927004502,2.7588849506657724,1.9975093399750932,3.0774070918267027,4.976338729763388,0.8922789539227896,0.5603985056039851,0.37453300124533,1.8272104607721047,0.7989533332900313,3.851798301102476,4.392757927004502,2.7588849506657724,1.9975093399750932,3.0774070918267027,0.7989533332900313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,11,4,0.9375,242.10347130039656,short_mid,44,65,21,146,64.0,13,13,12,4.6991700590110135,5.626373626373627,4.211751718601033,2.97282017829963,4.304459779585951,6.071102413568167,1.1428571428571428,0.855512067840835,0.5574037834311807,2.5557729941291587,0.9160042572478994,4.6991700590110135,5.626373626373627,4.211751718601033,2.97282017829963,4.304459779585951,0.9160042572478994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,11,5,0.96875,492.1461612435418,short_mid,65,86,21,146,64.0,13,13,12,8.517277288649058,13.96477495107632,12.379948818304984,10.517068928027832,12.333848319428707,11.003913894324851,2.836594911937378,2.5146771037182,1.9719504240052184,7.323222439660796,1.4480975435502117,8.517277288649058,13.96477495107632,12.379948818304984,10.517068928027832,12.333848319428707,1.4480975435502117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,11,6,0.984375,992.1669944116244,long,86,107,21,146,64.0,13,13,12,7.441067878443624,13.587435395654571,12.856841788348635,12.013046314416178,12.84031997802726,9.613502935420744,2.7599478147423357,2.611545988258317,2.252446183953033,7.623939986953686,1.7256017802532055,7.441067878443624,13.587435395654571,12.856841788348635,12.013046314416178,12.84031997802726,1.7256017802532055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,11,7,0.9921875,1992.177287539818,long,107,128,21,146,64.0,13,13,12,6.033386979709047,11.517687791660396,11.379597571378394,11.084148727984344,11.333539327771485,7.79484670580561,2.3395303326810177,2.3114807566862363,2.078277886497065,6.729288975864319,1.878470478669351,6.033386979709047,11.517687791660396,11.379597571378394,11.084148727984344,11.333539327771485,1.878470478669351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,23,2,0.75,54.31342963722199,short_mid,0,22,22,146,64.0,13,13,12,3.1758539671064523,3.430213621994444,1.9817990228949132,0.8999584889995849,2.135675427672544,4.103051058530511,0.6967621419676214,0.4025529265255292,0.1687422166874221,1.268057285180573,0.6724728056744925,3.1758539671064523,3.430213621994444,1.9817990228949132,0.8999584889995849,2.135675427672544,0.6724728056744925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,23,3,0.875,117.0136826471659,short_mid,22,44,22,146,64.0,13,13,12,3.54696066028074,4.093878724015711,2.69297825462209,1.7019510170195102,2.859277708592777,4.582503113325031,0.8315691158156912,0.547011207970112,0.3191158156911581,1.6976961394769614,0.8061205021559125,3.54696066028074,4.093878724015711,2.69297825462209,1.7019510170195102,2.859277708592777,0.8061205021559125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,23,4,0.9375,242.10347130039656,short_mid,44,65,21,146,64.0,13,13,12,3.393985294581716,4.36429324100557,2.986602438657233,2.0160904544466187,3.151440244446733,4.3848662752772345,0.8864970645792564,0.6066536203522505,0.378016960208741,1.871167645140248,0.9285367999318704,3.393985294581716,4.36429324100557,2.986602438657233,2.0160904544466187,3.151440244446733,0.9285367999318704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
short_mid_long,whole_count_ce,none,23,5,0.96875,492.1461612435418,short_mid,65,86,21,146,64.0,13,13,12,6.970746946890088,11.797079632696072,10.372823523508456,8.948032180908893,10.410134926356989,9.00587084148728,2.3962818003913893,2.106979778212655,1.6777560339204174,6.181017612524462,1.4934030751182756,6.970746946890088,11.797079632696072,10.372823523508456,8.948032180908893,10.410134926356989,1.4934030751182756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
