architecture,objective,profile,seed,epoch,warmup_scale,kappa,train_task_loss,train_base_regularizer,train_p2,train_a1,train_tail,train_total_loss,val_balanced_accuracy,val_whole_count_loss,val_objective_loss
short_mid_long,whole_count_ce,a1,11,1,0.1,3.812868419089698,2.5084107348923017,0.0007731471782375,0.0,0.007731471717255,0.0,2.508705501507153,0.0902777777777777,2.48121976852417,2.48121976852417
short_mid_long,whole_count_ce,a1,11,2,0.2,3.812868419089698,2.481882830289883,0.0006961749958574,0.0,0.0069617498401558,0.0,2.482413721577025,0.0833333333333333,2.485334873199463,2.485334873199463
short_mid_long,whole_count_ce,a1,11,3,0.3,3.812868419089698,2.4798573278108687,0.0006286774294309,0.0,0.0062867741512452,0.0,2.480576472930777,0.0833333333333333,2.485695600509644,2.485695600509644
short_mid_long,whole_count_ce,a1,11,4,0.4,3.812868419089698,2.4695511787565563,0.0005749358421691,0.0,0.0057493583940405,0.0,2.4704279649278176,0.0833333333333333,2.486166715621948,2.486166715621948
short_mid_long,whole_count_ce,a1,11,5,0.5,3.812868419089698,2.4611892404736837,0.0005464733331007,0.0,0.0054647332264139,0.0,2.4622309971184,0.0833333333333333,2.486945390701294,2.486945390701294
short_mid_long,whole_count_ce,a1,11,6,0.6,3.812868419089698,2.452972128551306,0.0005352751715765,0.0,0.0053527517542371,0.0,2.454196731728244,0.0833333333333333,2.486586093902588,2.486586093902588
short_mid_long,whole_count_ce,a1,11,7,0.7,3.812868419089698,2.447585009051272,0.0005117237180985,0.0,0.0051172371030418,0.0,2.448950793369707,0.0833333333333333,2.486952304840088,2.486952304840088
short_mid_long,whole_count_ce,a1,11,8,0.8,3.812868419089698,2.443488541240331,0.0004757863154639,0.0,0.0047578630766954,0.0,2.444939795541681,0.0833333333333333,2.4860410690307617,2.4860410690307617
short_mid_long,whole_count_ce,a1,11,9,0.9,3.812868419089698,2.4416183502046254,0.0004450857519891,0.0,0.0044508574685969,0.0,2.44314568424389,0.0833333333333333,2.485652446746826,2.485652446746826
short_mid_long,whole_count_ce,a1,11,10,1.0,3.812868419089698,2.4350762638085475,0.0004462492171848,0.0,0.0044624921649361,0.0,2.4367777299963054,0.0833333333333333,2.4869272708892822,2.4869272708892822
short_mid_long,whole_count_ce,a1,11,11,1.0,3.812868419089698,2.4296844559569366,0.0004654178851109,0.0,0.0046541787998144,0.0,2.4314590333456017,0.0833333333333333,2.489056348800659,2.489056348800659
short_mid_long,whole_count_ce,a1,11,12,1.0,3.812868419089698,2.421664850231702,0.0004798554100129,0.0,0.0047985540034502,0.0,2.423494492463524,0.0833333333333333,2.4897382259368896,2.4897382259368896
short_mid_long,whole_count_ce,a1,11,13,1.0,3.812868419089698,2.419374261583601,0.0004506584213507,0.0,0.0045065841607095,0.0,2.421092578342982,0.0833333333333333,2.487182140350342,2.487182140350342
