variant,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
original,2,37,input__events__whole_count,input,events,whole_count,30,10.0,0.4948005698005698,3712188700,"[{""C"": 0.001, ""val_ba"": 0.2988057081807082}, {""C"": 0.01, ""val_ba"": 0.3957150488400489}, {""C"": 0.1, ""val_ba"": 0.45663919413919407}, {""C"": 1.0, ""val_ba"": 0.49415572853072853}, {""C"": 10.0, ""val_ba"": 0.4948005698005698}]",0.6881091617933723,0.6889202998413241,0.6881242584867818,0.5,0.4948005698005698,0.4742494044072243,0.36046511627906974,0.3591555435305435,0.35366278482593944,0.3448275862068966,0.34821428571428575,0.3408868908868909,0.3764705882352941,0.35565476190476186,0.3376475297721428
original,2,37,input__events__fixed250_count,input,events,fixed250_count,480,0.01,0.682247150997151,528088933,"[{""C"": 0.001, ""val_ba"": 0.5311775030525031}, {""C"": 0.01, ""val_ba"": 0.682247150997151}, {""C"": 0.1, ""val_ba"": 0.6781517094017095}, {""C"": 1.0, ""val_ba"": 0.6815081908831909}, {""C"": 10.0, ""val_ba"": 0.6562767094017093}]",0.9122807017543859,0.906167657441491,0.9105821231867783,0.7023809523809523,0.682247150997151,0.6760825856138227,0.6162790697674418,0.6078132515632515,0.6021509992842052,0.5632183908045977,0.5485119047619047,0.5167556729476235,0.6705882352941176,0.6592261904761905,0.6714537913067326
original,2,37,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,1.0,0.5445576414326415,4029802955,"[{""C"": 0.001, ""val_ba"": 0.2887858669108669}, {""C"": 0.01, ""val_ba"": 0.4145909645909645}, {""C"": 0.1, ""val_ba"": 0.45603886853886855}, {""C"": 1.0, ""val_ba"": 0.5445576414326415}, {""C"": 10.0, ""val_ba"": 0.5342236467236466}]",0.7621832358674464,0.7587074334790284,0.7581691041987519,0.5476190476190477,0.5445576414326415,0.5242638774394989,0.436046511627907,0.43764730639730637,0.43817114713713506,0.41379310344827586,0.42440476190476195,0.41465904666369063,0.4588235294117647,0.4449404761904761,0.43214465273288805
original,2,37,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,0.01,0.7578258547008546,2171715929,"[{""C"": 0.001, ""val_ba"": 0.676592389092389}, {""C"": 0.01, ""val_ba"": 0.7578258547008546}, {""C"": 0.1, ""val_ba"": 0.7198183760683762}, {""C"": 1.0, ""val_ba"": 0.7138659951159951}, {""C"": 10.0, ""val_ba"": 0.7355044261294261}]",0.9766081871345029,0.9749349656181955,0.9755102213527868,0.7738095238095238,0.7578258547008546,0.7560414590401613,0.627906976744186,0.6241056397306397,0.6304111627222618,0.6091954022988506,0.6041666666666666,0.609290233187292,0.6470588235294118,0.632936507936508,0.6338134088134088
original,2,37,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,1.0,0.5627340252340253,3650449181,"[{""C"": 0.001, ""val_ba"": 0.2943414224664224}, {""C"": 0.01, ""val_ba"": 0.42134844322344317}, {""C"": 0.1, ""val_ba"": 0.5031059218559218}, {""C"": 1.0, ""val_ba"": 0.5627340252340253}, {""C"": 10.0, ""val_ba"": 0.5441379222629222}]",0.8674463937621832,0.863967945501421,0.8658409295359563,0.5773809523809523,0.5627340252340253,0.5401524748202853,0.48255813953488375,0.4869859307359307,0.4855633295334045,0.4482758620689655,0.45565476190476195,0.4452879228614523,0.5176470588235295,0.5148809523809524,0.5039048369930723
original,2,37,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.7745421245421246,3179410502,"[{""C"": 0.001, ""val_ba"": 0.6737650081400082}, {""C"": 0.01, ""val_ba"": 0.7745421245421246}, {""C"": 0.1, ""val_ba"": 0.7347438441188442}, {""C"": 1.0, ""val_ba"": 0.7243271774521776}, {""C"": 10.0, ""val_ba"": 0.7295355107855109}]",0.9805068226120858,0.9797273364819947,0.9796631144084147,0.7916666666666666,0.7745421245421246,0.7721297505763905,0.6337209302325582,0.6340984247234247,0.6397953126580912,0.6091954022988506,0.6166666666666666,0.6259065682053299,0.6588235294117647,0.6448412698412699,0.6443147345430627
original,2,37,l1__spike__whole_mean,l1,spike,whole_mean,128,1.0,0.49765466015466014,799667048,"[{""C"": 0.001, ""val_ba"": 0.2469971001221001}, {""C"": 0.01, ""val_ba"": 0.39421423483923484}, {""C"": 0.1, ""val_ba"": 0.4209783272283272}, {""C"": 1.0, ""val_ba"": 0.49765466015466014}, {""C"": 10.0, ""val_ba"": 0.47509030321530316}]",0.8576998050682261,0.8554908403515403,0.8639288601557956,0.5119047619047619,0.49765466015466014,0.4728089495458582,0.3953488372093023,0.38707611832611827,0.3945470713297538,0.3563218390804598,0.3413690476190476,0.33927887844296506,0.43529411764705883,0.423611111111111,0.42636921901627783
original,2,37,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,0.1,0.6101343101343101,168064409,"[{""C"": 0.001, ""val_ba"": 0.5016330891330891}, {""C"": 0.01, ""val_ba"": 0.5651327838827838}, {""C"": 0.1, ""val_ba"": 0.6101343101343101}, {""C"": 1.0, ""val_ba"": 0.5743920431420432}, {""C"": 10.0, ""val_ba"": 0.5018480362230361}]",0.9298245614035088,0.9293308435470431,0.9354013990006935,0.625,0.6101343101343101,0.5990582176381355,0.5058139534883721,0.4937124218374218,0.4985510320225021,0.5057471264367817,0.48571428571428577,0.485587846249611,0.5058823529411764,0.494047619047619,0.49390237379367824
original,2,37,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5126729751729752,1912615027,"[{""C"": 0.001, ""val_ba"": 0.3394039987789988}, {""C"": 0.01, ""val_ba"": 0.4479242979242979}, {""C"": 0.1, ""val_ba"": 0.5126729751729752}, {""C"": 1.0, ""val_ba"": 0.5106557794057794}, {""C"": 10.0, ""val_ba"": 0.49617165242165245}]",0.7680311890838206,0.7601066232746861,0.7613985364929268,0.5297619047619048,0.5126729751729752,0.4967983451608368,0.46511627906976744,0.4639399951899952,0.4602056683737718,0.367816091954023,0.3687500000000001,0.3693871351959587,0.5647058823529412,0.5615079365079366,0.5566304837138171
original,2,37,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,1.0,0.7485004578754579,3790695629,"[{""C"": 0.001, ""val_ba"": 0.6746909340659341}, {""C"": 0.01, ""val_ba"": 0.7414568070818072}, {""C"": 0.1, ""val_ba"": 0.747409188034188}, {""C"": 1.0, ""val_ba"": 0.7485004578754579}, {""C"": 10.0, ""val_ba"": 0.741787494912495}]",1.0,1.0,1.0,0.7619047619047619,0.7485004578754579,0.7443944457102352,0.6162790697674418,0.6159436628186629,0.6232226107226108,0.5862068965517241,0.588095238095238,0.6013366936354553,0.6470588235294118,0.6418650793650794,0.6476526741232623
