contrast,rotation,seed,coding,objective,l1_pre_reset_fixed250_ba_delta,l1_spike_fixed250_ba_delta,l2_pre_reset_fixed250_ba_delta,l2_spike_fixed250_ba_delta,l1_quantization_delta_delta,l1_to_l2_transform_delta_delta,l2_quantization_delta_delta,variant
D1_minus_D0,0,11,bb,l2_wcce,0.05788655788655783,0.010780885780885874,-0.1033942364824717,-0.01553101718542882,-0.04710567210567196,-0.11417512226335758,0.08786321929704288,
D1_minus_D0,0,11,bb,l1_l2_joint,0.09442659056629632,-0.0011545031765620717,-0.021124280131633144,0.017345399698340924,-0.09558109374285839,-0.019969776955071072,0.03846967982997407,
D1_minus_D0,0,11,bb,l2_wcce_plus_0p1_l1_tsce,0.030829933954934163,-0.02539778440513729,-0.006600935828876997,-0.022610294117647145,-0.056227718360071455,0.018796848576260294,-0.016009358288770148,
D1_minus_D0,0,11,mm,l2_wcce,0.051397744412450375,0.05545471685177572,-0.03717948717948727,0.02816870629370638,0.004056972439325346,-0.09263420403126299,0.06534819347319365,
D1_minus_D0,0,11,mm,l1_l2_joint,0.10100153114859012,-0.029938811188811143,-0.0033722405045932824,0.01252956602221278,-0.13094034233740126,0.02656657068421786,0.01590180652680606,
D1_minus_D0,0,11,mm,l2_wcce_plus_0p1_l1_tsce,0.05523132912838802,0.04156582796288677,-0.007216823209470147,0.010202991452991417,-0.013665501165501248,-0.04878265117235692,0.017419814662461564,
MM_minus_BB,0,11,,l2_wcce,0.022050682160976276,0.00551784816490708,-0.04456570798482562,-0.011390774258421388,-0.016532833996069196,-0.0500835561497327,0.03317493372640423,original
MM_minus_BB,0,11,,l1_l2_joint,-0.00435363247863263,0.02625005713241002,-0.02201297477032793,0.0009963892316834366,0.03060368961104265,-0.04826303190273795,0.023009364002011368,original
MM_minus_BB,0,11,,l2_wcce_plus_0p1_l1_tsce,0.00625128547922682,-0.041658525298231,-0.010188851181498149,0.009453557063851203,-0.04790981077745782,0.03146967411673285,0.019642408245349352,original
Joint_minus_Baseline,0,11,bb,,-0.02492144293614873,0.0366892911010559,-0.04068998811645863,0.02152406417112307,0.06161073403720463,-0.07737927921751453,0.0622140522875817,original
L1TSCE_minus_Baseline,0,11,bb,,0.010042735042734896,0.054307783719548364,-0.05140931372549029,0.030858214497920478,0.04426504867681347,-0.10571709744503865,0.08226752822341077,original
Joint_minus_Baseline,0,11,mm,,-0.051325757575757636,0.05742150006855884,-0.018137254901960942,0.033911227661227894,0.10874725764431648,-0.07555875497051978,0.052048482563188836,original
L1TSCE_minus_Baseline,0,11,mm,,-0.00575666163901456,0.007131410256410287,-0.01703245692216282,0.05170254582019307,0.012888071895424846,-0.024163867178573106,0.06873500274235589,original
MM_minus_BB,0,11,,l2_wcce,0.015561868686868818,0.05019167923579693,0.021649041318158813,0.03230894922071381,0.03462981054892811,-0.028542637917638114,0.010659907902555,postencode_mask
MM_minus_BB,0,11,,l1_l2_joint,0.002221308103661168,-0.0025342508798390506,-0.004260935143288069,-0.0038194444444447084,-0.004755558983500219,-0.0017266842634490187,0.0004414906988433609,postencode_mask
MM_minus_BB,0,11,,l2_wcce_plus_0p1_l1_tsce,0.030652680652680675,0.025305087069793064,-0.010804738562091298,0.042266842634489765,-0.005347593582887611,-0.03610982563188436,0.053071581196581064,postencode_mask
Joint_minus_Baseline,0,11,bb,,0.011618589743589758,0.024753902143607953,0.04157996823437993,0.05440048105489281,0.013135312400018195,0.016826066090771974,0.012820512820512886,postencode_mask
L1TSCE_minus_Baseline,0,11,bb,,-0.017013888888888773,0.0181291135335252,0.045383986928104414,0.023778937565702152,0.03514300242241397,0.027254873394579215,-0.021605049362402262,postencode_mask
Joint_minus_Baseline,0,11,mm,,-0.0017219708396178923,-0.027972027972028024,0.015669991772933045,0.018272087389734293,-0.02625005713241013,0.04364201974496107,0.0026020956168012477,postencode_mask
L1TSCE_minus_Baseline,0,11,mm,,-0.0019230769230769162,-0.006757478632478664,0.012930207047854303,0.033736830979478105,-0.004834401709401748,0.019687685680332967,0.020806623931623802,postencode_mask
MT_x_Joint,0,11,,,-0.026404314639608906,0.02073220896750294,0.02255273321449769,0.012387163490104824,0.047136523607111847,0.001820524246994748,-0.010165569724392864,original
MT_x_L1TSCE,0,11,,,-0.015799396681749456,-0.04717637346313808,0.03437685680332747,0.02084433132227259,-0.03137697678138862,0.08155323026646555,-0.01353252548105488,original
MT_x_Joint,0,11,,,-0.01334056058320765,-0.05272593011563598,-0.025909976461446882,-0.03612839366515852,-0.03938536953242833,0.026815953654189095,-0.010218417203711638,postencode_mask
MT_x_L1TSCE,0,11,,,0.015090811965811857,-0.024886592166003862,-0.03245377988025011,0.009957893413775953,-0.03997740413181572,-0.0075671877142462485,0.042411673294026064,postencode_mask
D1_minus_D0,0,23,bb,l2_wcce,0.01693975958681848,0.035740893093834325,0.020498394579276824,-0.010229700854700985,0.018801133507015844,-0.015242498514557501,-0.03072809543397781,
D1_minus_D0,0,23,bb,l1_l2_joint,0.013235294117647012,0.05130590406325697,-0.025663592943004798,-0.028456796471502455,0.03807060994560996,-0.07696949700626177,-0.0027932035284976564,
D1_minus_D0,0,23,bb,l2_wcce_plus_0p1_l1_tsce,0.035872297637003614,0.0836975524475525,0.023192616207322048,-0.03320292860734042,0.04782525481054889,-0.060504936240230456,-0.05639554481466247,
D1_minus_D0,0,23,mm,l2_wcce,0.02783848096348107,0.026379176379176417,0.10553927281868458,0.02376136934960471,-0.0014593045843046548,0.07916009643950817,-0.08177790346907987,
D1_minus_D0,0,23,mm,l1_l2_joint,0.06932260957996261,0.01664124274418388,0.017245846473787685,0.04706925019425012,-0.05268136683577873,0.0006046037296038032,0.029823403720462438,
D1_minus_D0,0,23,mm,l2_wcce_plus_0p1_l1_tsce,0.06356152017916739,0.052731929018693835,-0.011117967000319862,0.06932789432789421,-0.01082959116047355,-0.0638498960190137,0.08044586132821407,
MM_minus_BB,0,23,,l2_wcce,-0.013437685680332767,-0.008879233511586482,-0.10819107363225022,0.00520262009232586,0.004558452168746285,-0.09931184012066374,0.11339369372457608,original
MM_minus_BB,0,23,,l1_l2_joint,-0.0338056755336168,0.024377113899172742,-0.02137066365007545,0.017636346496640587,0.05818278943278954,-0.04574777754924819,0.03900701014671604,original
MM_minus_BB,0,23,,l2_wcce_plus_0p1_l1_tsce,-0.024165152657799727,0.02856620503679319,-0.012691393573746601,-0.06524449814890987,0.05273135769459292,-0.04125759861053979,-0.05255310457516327,original
