contrast,variant,coding,objective,rotation,l1_pre_reset_fixed250_ba_delta,l1_spike_fixed250_ba_delta,l2_pre_reset_fixed250_ba_delta,l2_spike_fixed250_ba_delta,l1_quantization_delta_delta,l1_to_l2_transform_delta_delta,l2_quantization_delta_delta
D1_minus_D0,,bb,l2_wcce,0,0.032303140759023075,0.027114946600240792,-0.005222616435851794,-0.030046267730091263,-0.005188194158782282,-0.03233756303609259,-0.024823651294239468
D1_minus_D0,,bb,l1_l2_joint,0,0.058571670704023616,0.01748575498575496,-0.028180370827429673,0.00468023942288646,-0.04108591571826866,-0.04566612581318463,0.032860610250316134
D1_minus_D0,,bb,l2_wcce_plus_0p1_l1_tsce,0,0.03983328762740538,0.03983747733747741,0.0148769939211116,-0.01210540548775844,4.189710072025991e-06,-0.02496048341636581,-0.02698239940887004
D1_minus_D0,,mm,l2_wcce,0,0.028676422977893634,0.03758255633255636,0.016180898350015977,0.012912305559364476,0.008906133354662726,-0.021401657982540383,-0.0032685927906515033
D1_minus_D0,,mm,l1_l2_joint,0,0.0644678782546431,0.006345839617898437,0.01586847928759701,0.011137011137010969,-0.058122038636744665,0.009522639669698574,-0.004731468150586042
D1_minus_D0,,mm,l2_wcce_plus_0p1_l1_tsce,0,0.055298792982616564,0.030721715648186227,0.004852588859941924,0.02896256113167876,-0.024577077334430337,-0.025869126788244306,0.024109972271736835
MM_minus_BB,original,,l2_wcce,0,0.006587271660801049,-0.008524107972637326,-0.042355969194204555,-0.014757634794399547,-0.015111379633438374,-0.03383186122156723,0.027598334399805007
MM_minus_BB,original,,l1_l2_joint,0,0.0034963130551364983,0.01585100629218276,-0.01432076229870353,0.01872452846717554,0.012354693237046263,-0.03017176859088629,0.033045290765879066
MM_minus_BB,original,,l2_wcce_plus_0p1_l1_tsce,0,-0.0016950709965415367,0.0009117856544328026,0.0009140709508356215,-0.0191982037570273,0.0026068566509743394,2.285296402818974e-06,-0.02011227470786292
Joint_minus_Baseline,original,bb,,0,-0.02810971708030526,0.010474275180157607,-0.007228487743193661,-0.015533540533540465,0.038583992260462864,-0.017702762923351267,-0.008305052790346804
L1TSCE_minus_Baseline,original,bb,,0,-0.012800802139037485,0.007338991346344266,-0.03610587397352113,0.009234549491902463,0.020139793485381752,-0.04344486531986539,0.045340423465423586
Joint_minus_Baseline,original,mm,,0,-0.03120067568596981,0.034849389444977695,0.020806719152307362,0.01794862272803462,0.06605006513094751,-0.01404267029267033,-0.0028580964242727416
L1TSCE_minus_Baseline,original,mm,,0,-0.02108314479638007,0.016774884973414395,0.0071641661715190486,0.004793980529274711,0.037858029769794466,-0.009610718801895346,-0.002370185642244338
MM_minus_BB,postencode_mask,,l2_wcce,0,0.002960553879671609,0.0019435017596782418,-0.02095245440833678,0.02820093849505619,-0.0010170521199933669,-0.022895956168015024,0.04915339290339297
MM_minus_BB,postencode_mask,,l1_l2_joint,0,0.00939252060575598,0.004711090924326237,0.02972808781632315,0.025181300181300048,-0.0046814296814297425,0.025016996891996917,-0.0045467876350231045
MM_minus_BB,postencode_mask,,l2_wcce_plus_0p1_l1_tsce,0,0.013770434358669648,-0.008203976034858377,-0.009110334110334054,0.021869762862409898,-0.021974410393528026,-0.0009063580754756773,0.030980096972743953
Joint_minus_Baseline,postencode_mask,bb,,0,-0.0018411871353047153,0.0008450835656717744,-0.03018624213477154,0.019192966619437257,0.0026862707009764897,-0.031031325700443313,0.04937920875420879
L1TSCE_minus_Baseline,postencode_mask,bb,,0,-0.005270655270655178,0.02006152208358088,-0.01600626361655773,0.027175411734235284,0.025332177354236058,-0.03606778570013861,0.043181675350793015
Joint_minus_Baseline,postencode_mask,mm,,0,0.004590779590779655,0.0036126727303197694,0.020494300089888395,0.016173328305681117,-0.0009781068604598857,0.016881627359568625,-0.00432097178420728
L1TSCE_minus_Baseline,postencode_mask,mm,,0,0.005539225208342861,0.009914044289044263,-0.0041641433185550065,0.020844236101588993,0.004374819080701402,-0.014078187607599268,0.025008379420144
MT_x_Joint,original,,,0,-0.003090958605664551,0.024375114264820086,0.028035206895501024,0.03348216326157508,0.027466072870484637,0.003660092630680937,0.005446956366074063
MT_x_L1TSCE,original,,,0,-0.008282342657342586,0.009435893627070127,0.04327004014504018,-0.004440568962627752,0.017718236284412714,0.033834146517970044,-0.047710609107667924
MT_x_Joint,postencode_mask,,,0,0.0064319667260843705,0.0027675891646479953,0.05068054222465993,-0.003019638313756142,-0.003664377561436375,0.04791295306001194,-0.053700180538416076
MT_x_L1TSCE,postencode_mask,,,0,0.010809880478998038,-0.010147477794536619,0.011842120298002726,-0.006331175632646291,-0.02095735827353466,0.021989598092539347,-0.01817329593064902
