variant,coding,objective,rotation,seed,l1_pre_reset_fixed250_ba,l1_spike_fixed250_ba,l2_pre_reset_fixed250_ba,l2_spike_fixed250_ba,l1_quantization_delta,l1_to_l2_transform_delta,l2_quantization_delta
original,bb,l1_l2_joint,0,11,0.6248498845925318,0.6367318547465607,0.6070391414141415,0.6170850187394306,0.01188197015402892,-0.029692713332419185,0.010045877325289054
original,bb,l1_l2_joint,0,23,0.6721959413135884,0.5964820718497189,0.6100280234471411,0.6000934114904704,-0.07571386946386949,0.013545951597422223,-0.00993461195667078
original,bb,l1_l2_joint,0,37,0.6252602381278852,0.6254193518899401,0.5982237533708121,0.6023382867132868,0.00015911376205490768,-0.027195598519128006,0.004114533342474691
original,bb,l2_wcce,0,11,0.6497713275286805,0.6000425636455048,0.6477291295306001,0.5955609545683075,-0.04972876388317571,0.047686565885095344,-0.052168174962292646
original,bb,l2_wcce,0,23,0.6835081585081585,0.60121120709356,0.6186608734402853,0.6121422082819142,-0.08229695141459847,0.01744966634672529,-0.006518665158371073
original,bb,l2_wcce,0,37,0.6733557292380822,0.6259566822066821,0.5705863784907903,0.6584141756935874,-0.04739904703140008,-0.0553703037158918,0.0878277972027971
original,bb,l2_wcce_plus_0p1_l1_tsce,0,11,0.6598140625714154,0.6543503473650532,0.5963198158051098,0.626419169066228,-0.005463715206362241,-0.05803053155994331,0.030099353261118122
original,bb,l2_wcce_plus_0p1_l1_tsce,0,23,0.6652292152292152,0.591989179121532,0.6000792712189771,0.649298128342246,-0.07324003610768315,0.008090092097445045,0.0492188571232689
original,bb,l2_wcce_plus_0p1_l1_tsce,0,37,0.6431895310571781,0.6028879004981945,0.5322596725170254,0.6181036896110426,-0.040301630558983614,-0.07062822798116908,0.08584401709401712
original,mm,l1_l2_joint,0,11,0.6204962521138991,0.6629819118789707,0.5850261666438136,0.618081407971114,0.04248565976507157,-0.07795574523515714,0.03305524132730042
original,mm,l1_l2_joint,0,23,0.6383902657799716,0.6208591857488917,0.5886573597970657,0.6177297579871109,-0.01753108003107995,-0.03220182595182597,0.029072398190045257
original,mm,l1_l2_joint,0,37,0.6739084853055441,0.6223451997349057,0.5986451048951049,0.6398791363864894,-0.051563285570638495,-0.023700094839800734,0.04123403149138449
original,mm,l2_wcce,0,11,0.6718220096896568,0.6055604118104119,0.6031634215457745,0.5841701803098861,-0.0662615978792449,-0.0023969902646373553,-0.018993241235888414
original,mm,l2_wcce,0,23,0.6700704728278257,0.5923319735819735,0.5104697998080351,0.6173448283742401,-0.07773849924585219,-0.08186217377393845,0.10687502856620501
original,mm,l2_wcce,0,37,0.6845045477398418,0.6037457436354495,0.5962752525252525,0.6203294254764843,-0.08075880410439229,-0.007470491110197042,0.0240541729512318
original,mm,l2_wcce_plus_0p1_l1_tsce,0,11,0.6660653480506422,0.6126918220668222,0.5861309646236117,0.6358727261300792,-0.05337352598382006,-0.02656085744321046,0.049741761506467475
original,mm,l2_wcce_plus_0p1_l1_tsce,0,23,0.6410640625714155,0.6205553841583252,0.5873878776452305,0.5840536301933361,-0.02050867841309023,-0.03316750651309475,-0.0033342474518943677
original,mm,l2_wcce_plus_0p1_l1_tsce,0,37,0.6560181852461264,0.6187155777229307,0.557882130124777,0.6163000194250193,-0.0373026075231957,-0.06083344759815368,0.058417889300242276
postencode_mask,bb,l1_l2_joint,0,11,0.7192764751588281,0.6355773515699986,0.5859148612825084,0.6344304184377715,-0.08369912358882947,-0.04966249028749026,0.04851555715526312
postencode_mask,bb,l1_l2_joint,0,23,0.6854312354312354,0.6477879759129759,0.5843644305041363,0.5716366150189679,-0.03764325951825953,-0.06342354540883954,-0.012727815485168437
postencode_mask,bb,l1_l2_joint,0,37,0.6933133655560128,0.6277252159605101,0.560470513963161,0.6274904017551077,-0.06558814959550263,-0.06725470199734906,0.06701988779194668
postencode_mask,bb,l2_wcce,0,11,0.7076578854152383,0.6108234494263907,0.5443348930481284,0.5800299373828787,-0.09683443598884767,-0.06648855637826223,0.03569504433475024
postencode_mask,bb,l2_wcce,0,23,0.700447918094977,0.6369521001873943,0.6391592680195621,0.6019125074272133,-0.06349581790758263,0.002207167832167789,-0.03724676059234888
postencode_mask,bb,l2_wcce,0,37,0.6954388340417751,0.6607797431326843,0.6378143710864298,0.5940360905434434,-0.034659090909090806,-0.022965372046254484,-0.04377828054298638
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,11,0.6906439965263496,0.6289525629599159,0.5897188799762328,0.6038088749485808,-0.061691433566433695,-0.039233682983683016,0.014089994972347974
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,23,0.7011015128662188,0.6756867315690845,0.6232718874262991,0.6160951997349056,-0.02541478129713426,-0.05241484414278541,-0.0071766876913935684
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,37,0.6959871623474565,0.6641005644682115,0.5602989739019152,0.6376006958727548,-0.03188659787924497,-0.10380159056629634,0.07730172197083962
postencode_mask,mm,l1_l2_joint,0,11,0.7214977832624893,0.6330431006901596,0.5816539261392203,0.6306109739933268,-0.08845468257232969,-0.051389174550939276,0.048957047854106484
postencode_mask,mm,l1_l2_joint,0,23,0.7077128753599342,0.6375004284930755,0.6059032062708534,0.6647990081813611,-0.07021244686685868,-0.031597222222222165,0.058895801910507695
postencode_mask,mm,l1_l2_joint,0,37,0.6969879793409207,0.6546802870332282,0.6323769367887015,0.6136913535810594,-0.04230769230769249,-0.022303350244526676,-0.01868558320764213
postencode_mask,mm,l2_wcce,0,11,0.7232197541021071,0.6610151286621876,0.5659839343662872,0.6123388866035925,-0.06220462543991956,-0.09503119429590035,0.046354952237305236
postencode_mask,mm,l2_wcce,0,23,0.6979089537913068,0.61871114996115,0.6160090726267197,0.6411061977238448,-0.07919780383015684,-0.002702077334430286,0.02509712509712514
postencode_mask,mm,l2_wcce,0,37,0.6912975912975913,0.6346595194021665,0.5764581619361031,0.6071362665112666,-0.0566380718954248,-0.058201357466063364,0.030678104575163512
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,11,0.7212966771790302,0.6542576500297089,0.5789141414141415,0.6460757175830706,-0.0670390271493213,-0.07534350861556738,0.06716157616892904
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,23,0.7046255827505828,0.6732873131770191,0.5762699106449106,0.6533815245212303,-0.03133826957356378,-0.09701740253210844,0.0771116138763197
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,37,0.7031217148864207,0.6165829676859088,0.5907746869143928,0.62365681703917,-0.08653874720051191,-0.02580828077151598,0.03288213012477714
