variant,coding,objective,rotation,l1_pre_reset_fixed250_ba,l1_spike_fixed250_ba,l2_pre_reset_fixed250_ba,l2_spike_fixed250_ba,l1_quantization_delta,l1_to_l2_transform_delta,l2_quantization_delta
original,bb,l1_l2_joint,0,0.6407686880113351,0.6195444261620732,0.6050969727440316,0.6065055723143958,-0.021224261849261888,-0.014447453418041656,0.0014085995703643217
original,bb,l2_wcce,0,0.6688784050916404,0.6090701509819156,0.6123254604872252,0.6220391128479363,-0.059808254109724755,0.0032553095053096115,0.009713652360711126
original,bb,l2_wcce_plus_0p1_l1_tsce,0,0.6560776029526029,0.6164091423282599,0.5762195865137042,0.6312736623398388,-0.039668460624343004,-0.04018955581455578,0.05505407582613472
original,mm,l1_l2_joint,0,0.6442650010664717,0.635395432454256,0.5907762104453281,0.6252301007815714,-0.008869568612215625,-0.04461922200892795,0.03445389033624339
original,mm,l2_wcce,0,0.6754656767524415,0.6005460430092783,0.5699694912930208,0.6072814780535368,-0.07491963374316313,-0.030576551716257616,0.037311986760516135
original,mm,l2_wcce_plus_0p1_l1_tsce,0,0.6543825319560613,0.6173209279826927,0.5771336574645397,0.6120754585828115,-0.03706160397336866,-0.04018727051815296,0.0349418011182718
postencode_mask,bb,l1_l2_joint,0,0.6993403587153587,0.6370301811478282,0.576916601916602,0.6111858117372824,-0.062310177567530545,-0.06011357923122629,0.034269209820680456
postencode_mask,bb,l2_wcce,0,0.7011815458506634,0.6361850975821565,0.6071028440513735,0.5919928451178451,-0.06499644826850703,-0.029082253530782975,-0.015109998933528343
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,0,0.6959108905800083,0.6562466196657373,0.5910965804348157,0.6191682568520803,-0.03966427091427097,-0.0651500392309216,0.028071676417264674
postencode_mask,mm,l1_l2_joint,0,0.7087328793211146,0.6417412720721544,0.6066446897329251,0.6363671119185824,-0.06699160724896029,-0.035096582339229375,0.02972242218565735
postencode_mask,mm,l2_wcce,0,0.7041420997303351,0.6381285993418347,0.5861503896430367,0.6201937836129013,-0.0660135003885004,-0.051978209698797996,0.03404339396986463
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,0,0.709681324938678,0.6480426436308789,0.5819862463244817,0.6410380197144904,-0.061638681307799,-0.06605639730639727,0.05905177339000863
