variant,coding,objective,l1_pre_reset_fixed250_ba_count,l1_pre_reset_fixed250_ba_mean,l1_pre_reset_fixed250_ba_std,l1_spike_fixed250_ba_count,l1_spike_fixed250_ba_mean,l1_spike_fixed250_ba_std,l2_pre_reset_fixed250_ba_count,l2_pre_reset_fixed250_ba_mean,l2_pre_reset_fixed250_ba_std,l2_spike_fixed250_ba_count,l2_spike_fixed250_ba_mean,l2_spike_fixed250_ba_std,l1_quantization_delta_count,l1_quantization_delta_mean,l1_quantization_delta_std,l1_to_l2_transform_delta_count,l1_to_l2_transform_delta_mean,l1_to_l2_transform_delta_std,l2_quantization_delta_count,l2_quantization_delta_mean,l2_quantization_delta_std
original,bb,l1_l2_joint,3,0.6407686880113351,0.027217573093481093,3,0.6195444261620732,0.020758066384942705,3,0.6050969727440316,0.006137117594286098,3,0.6065055723143958,0.009230567760795526,3,-0.021224261849261888,0.04755201724419415,3,-0.014447453418041656,0.024275130048416596,3,0.0014085995703643217,0.010261410535151273
original,bb,l2_wcce,3,0.6688784050916404,0.017308329346551642,3,0.6090701509819156,0.014635833918193036,3,0.6123254604872252,0.038959647103918575,3,0.6220391128479363,0.03257442848996044,3,-0.059808254109724755,0.01951058751050408,3,0.0032553095053096115,0.05297442229599866,3,0.009713652360711126,0.0713956171949117
original,bb,l2_wcce_plus_0p1_l1_tsce,3,0.6560776029526029,0.011485110685711605,3,0.6164091423282599,0.03330685832744544,3,0.5762195865137042,0.03811677983774019,3,0.6312736623398388,0.0161538797397514,3,-0.039668460624343004,0.033892596490300166,3,-0.04018955581455578,0.042283197498065535,3,0.05505407582613472,0.028326740360363308
original,mm,l1_l2_joint,3,0.6442650010664717,0.02718641296023623,3,0.635395432454256,0.023902143098042793,3,0.5907762104453281,0.00705237660830392,3,0.6252301007815714,0.012687655320957754,3,-0.008869568612215625,0.04761898113918633,3,-0.04461922200892795,0.029181547141729536,3,0.03445389033624339,0.006200281882844017
original,mm,l2_wcce,3,0.6754656767524415,0.007876729136496933,3,0.6005460430092783,0.007171224272308226,3,0.5699694912930208,0.051643215268030826,3,0.6072814780535368,0.020070526089578156,3,-0.07491963374316313,0.007648643613432441,3,-0.030576551716257616,0.04448703603399459,3,0.037311986760516135,0.06397290485818495
original,mm,l2_wcce_plus_0p1_l1_tsce,3,0.6543825319560613,0.01258064347191447,3,0.6173209279826927,0.004113111731425562,3,0.5771336574645397,0.016684152249101632,3,0.6120754585828115,0.026166579097342504,3,-0.03706160397336866,0.016433749222106882,3,-0.04018727051815296,0.018182695729654908,3,0.0349418011182718,0.03343068529035514
postencode_mask,bb,l1_l2_joint,3,0.6993403587153587,0.01770927858388522,3,0.6370301811478282,0.01010997623954815,3,0.576916601916602,0.01426381139909193,3,0.6111858117372824,0.034425937586169894,3,-0.062310177567530545,0.023202251599442444,3,-0.06011357923122629,0.009251399098721831,3,0.034269209820680456,0.04173898481967281
postencode_mask,bb,l2_wcce,3,0.7011815458506634,0.0061424719274708935,3,0.6361850975821565,0.02498697740753568,3,0.6071028440513735,0.054362799245435404,3,0.5919928451178451,0.01108344968131419,3,-0.06499644826850703,0.03111482448217903,3,-0.029082253530782975,0.03475396107669874,3,-0.015109998933528343,0.044119491206666674
postencode_mask,bb,l2_wcce_plus_0p1_l1_tsce,3,0.6959108905800083,0.005229175368692497,3,0.6562466196657373,0.02433688487908397,3,0.5910965804348157,0.031509054307493414,3,0.6191682568520803,0.017104226096989143,3,-0.03966427091427097,0.019348592283335367,3,-0.0651500392309216,0.034115869736075756,3,0.028071676417264674,0.04394048232308528
postencode_mask,mm,l1_l2_joint,3,0.7087328793211146,0.012286697201813546,3,0.6417412720721544,0.011424995575834221,3,0.6066446897329251,0.025369633435078306,3,0.6363671119185824,0.026035512911153837,3,-0.06699160724896029,0.02324148303151712,3,-0.035096582339229375,0.014855316718846859,3,0.02972242218565735,0.04221606267366358
postencode_mask,mm,l2_wcce,3,0.7041420997303351,0.01684918991383338,3,0.6381285993418347,0.021364281878998796,3,0.5861503896430367,0.026383386305327317,3,0.6201937836129013,0.018296546447812485,3,-0.0660135003885004,0.011752277333444238,3,-0.051978209698797996,0.04647808231651904,3,0.03404339396986463,0.01102123782580751
postencode_mask,mm,l2_wcce_plus_0p1_l1_tsce,3,0.709681324938678,0.010087254849006638,3,0.6480426436308789,0.02885854167827824,3,0.5819862463244817,0.0077249922389627836,3,0.6410380197144904,0.015489459596281499,3,-0.061638681307799,0.027993677571316627,3,-0.06605639730639727,0.0365016791782297,3,0.05905177339000863,0.023203199866973754
