probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,original,dynamics_only,dense,on,D,23,l1,pre_reset,valid,whole_mean,128,1.0,0.488415404040404,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.2944635225885226}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4022356116106116}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4663305444555445}, {""C"": 1.0, ""val_balanced_accuracy"": 0.488415404040404}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4524149461649461}]",0.9823529411764705,0.9826981929484244,0.9829701135287472,0.5088757396449705,0.488415404040404,0.48228910936412733,0.5172413793103449,0.5097376479729421,0.4997879804865099
l1__pre_reset__valid__fixed250_ordered_mean,original,dynamics_only,dense,on,D,23,l1,pre_reset,valid,fixed250_ordered_mean,2048,1.0,0.6432702713952714,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5744769119769121}, {""C"": 0.01, ""val_balanced_accuracy"": 0.592825924075924}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6392638611388611}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6432702713952714}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5840118215118215}]",1.0,1.0,1.0,0.650887573964497,0.6432702713952714,0.6462322020579077,0.6724137931034483,0.6701380319027378,0.6597964546845657
l1__pre_reset__window__whole_mean,original,dynamics_only,dense,on,D,23,l1,pre_reset,window,whole_mean,128,1.0,0.5596639471639472,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3110309829059829}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4435779498279499}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5394910644910645}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5596639471639472}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5542190448440447}]",0.9901960784313726,0.9896878738850535,0.9903150469422827,0.5680473372781065,0.5596639471639472,0.5554139364788625,0.5632183908045977,0.5491845776772247,0.5344946233104129
l1__pre_reset__window__fixed250_ordered_mean,original,dynamics_only,dense,on,D,23,l1,pre_reset,window,fixed250_ordered_mean,2048,1.0,0.6488962426462427,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5892409673659673}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6193958818958818}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6436879093129093}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6488962426462427}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6201035076035075}]",1.0,1.0,1.0,0.6568047337278107,0.6488962426462427,0.6513167793204091,0.6666666666666666,0.6573903629050689,0.6434063745038191
l1__communication__valid__whole_mean,original,dynamics_only,dense,on,D,23,l1,communication,valid,whole_mean,128,0.1,0.48172799422799417,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3475770757020757}, {""C"": 0.01, ""val_balanced_accuracy"": 0.42722000222000217}, {""C"": 0.1, ""val_balanced_accuracy"": 0.48172799422799417}, {""C"": 1.0, ""val_balanced_accuracy"": 0.479978354978355}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4395670301920302}]",0.8470588235294118,0.8433517442748663,0.8500189282091152,0.4911242603550296,0.48172799422799417,0.4728147325130083,0.46551724137931033,0.456656068604598,0.45627237937812404
l1__communication__valid__fixed250_ordered_mean,original,dynamics_only,dense,on,D,23,l1,communication,valid,fixed250_ordered_mean,2048,10.0,0.6017274392274392,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5240821678321678}, {""C"": 0.01, ""val_balanced_accuracy"": 0.594699050949051}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5880522255522256}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5976506132756132}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6017274392274392}]",1.0,1.0,1.0,0.6094674556213018,0.6017274392274392,0.6045062682842112,0.5517241379310345,0.5416469559851912,0.5300726911416421
l1__communication__valid__whole_count,original,dynamics_only,dense,on,D,23,l1,communication,valid,whole_count,128,0.1,0.5208267427017427,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3600770757020757}, {""C"": 0.01, ""val_balanced_accuracy"": 0.46976426351426354}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5208267427017427}, {""C"": 1.0, ""val_balanced_accuracy"": 0.46921446608946615}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4407689532689532}]",0.888235294117647,0.8863058313730604,0.8898715497862278,0.5325443786982249,0.5208267427017427,0.5138113096751541,0.4942528735632184,0.48343174390968513,0.4757336732541632
l1__communication__valid__fixed250_count,original,dynamics_only,dense,on,D,23,l1,communication,valid,fixed250_count,2048,0.1,0.624621212121212,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5524756493506494}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6216564685314685}, {""C"": 0.1, ""val_balanced_accuracy"": 0.624621212121212}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6126554001554001}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5995945027195027}]",0.9941176470588236,0.9945159162130959,0.9945198415972278,0.6331360946745562,0.624621212121212,0.6220058013706659,0.6436781609195402,0.6353875291375292,0.6178791936583029
l1__communication__window__whole_mean,original,dynamics_only,dense,on,D,23,l1,communication,window,whole_mean,128,0.1,0.5383481102231101,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3716956654456655}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4645559301809301}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5383481102231101}, {""C"": 1.0, ""val_balanced_accuracy"": 0.47559072871572866}, {""C"": 10.0, ""val_balanced_accuracy"": 0.43069950882450875}]",0.884313725490196,0.8807522702114876,0.8849638169893566,0.5502958579881657,0.5383481102231101,0.5308208661196778,0.46551724137931033,0.4592691622103387,0.4566342943983572
l1__communication__window__fixed250_ordered_mean,original,dynamics_only,dense,on,D,23,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.6157536907536908,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5359959484959484}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6157536907536908}, {""C"": 0.1, ""val_balanced_accuracy"": 0.597885101010101}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5919823232323232}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5895250582750582}]",0.9666666666666667,0.9654075170718138,0.9678778748690665,0.6272189349112426,0.6157536907536908,0.6176123201018011,0.6666666666666666,0.657518625165684,0.6554020561093931
