probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,original,dynamics_only,ff,on,C,23,l1,pre_reset,valid,whole_mean,128,1.0,0.5037271756021756,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3108325702075702}, {""C"": 0.01, ""val_balanced_accuracy"": 0.39636925574425574}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4568428099678099}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5037271756021756}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4809478715728716}]",0.9784313725490196,0.978512707468386,0.9789808336466329,0.514792899408284,0.5037271756021756,0.4956489925025394,0.5229885057471264,0.5171710030165914,0.499868215460107
l1__pre_reset__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.1,0.6091089466089467,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5683774558774558}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5991501554001554}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6091089466089467}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6079070235320235}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5897026584526585}]",1.0,1.0,1.0,0.6153846153846154,0.6091089466089467,0.6105725273547564,0.6724137931034483,0.6726471445221445,0.656322614332635
l1__pre_reset__window__whole_mean,original,dynamics_only,ff,on,C,23,l1,pre_reset,window,whole_mean,128,1.0,0.5386228354978354,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.33840048840048836}, {""C"": 0.01, ""val_balanced_accuracy"": 0.41679223554223555}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5205312049062049}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5386228354978354}, {""C"": 10.0, ""val_balanced_accuracy"": 0.52260101010101}]",0.9784313725490196,0.9787287498405002,0.9785407344866769,0.5502958579881657,0.5386228354978354,0.5335371082251753,0.5114942528735632,0.5046270110608345,0.48831679894179897
l1__pre_reset__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6336926961926962,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5768807581307581}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6061785436785436}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6336926961926962}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6212194055944056}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5801500582750583}]",1.0,1.0,1.0,0.6390532544378699,0.6336926961926962,0.6362468749397063,0.6494252873563219,0.643293512043512,0.6376474442975492
l1__communication__valid__whole_mean,original,dynamics_only,ff,on,C,23,l1,communication,valid,whole_mean,128,0.1,0.4975895632145632,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.36602737540237534}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4863181956931957}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4975895632145632}, {""C"": 1.0, ""val_balanced_accuracy"": 0.47917568542568545}, {""C"": 10.0, ""val_balanced_accuracy"": 0.45267614330114325}]",0.9137254901960784,0.9134303710228995,0.9163051998366262,0.5088757396449705,0.4975895632145632,0.49156441345587903,0.4425287356321839,0.4359081482243247,0.4118103162317559
l1__communication__valid__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,l1,communication,valid,fixed250_ordered_mean,2048,0.01,0.5916618104118103,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.48291118603618605}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5916618104118103}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5569662975912976}, {""C"": 1.0, ""val_balanced_accuracy"": 0.551410742035742}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5285415972915973}]",0.9627450980392157,0.9605811878352163,0.9635210555497062,0.6035502958579881,0.5916618104118103,0.5949710747698363,0.5919540229885057,0.587508569861511,0.5716059403559405
l1__communication__valid__whole_count,original,dynamics_only,ff,on,C,23,l1,communication,valid,whole_count,128,0.1,0.537800394050394,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3581272893772894}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5005275974025973}, {""C"": 0.1, ""val_balanced_accuracy"": 0.537800394050394}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5031048812298812}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4642087079587079}]",0.9215686274509803,0.9202824159399783,0.9241283436327995,0.5502958579881657,0.537800394050394,0.5390998179439039,0.47701149425287354,0.4712491144476439,0.45310488986533315
l1__communication__valid__fixed250_count,original,dynamics_only,ff,on,C,23,l1,communication,valid,fixed250_count,2048,0.01,0.5581682206682207,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.46043886668886663}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5581682206682207}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5432872682872683}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5537039349539349}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5448974636474636}]",0.9627450980392157,0.9594568492108779,0.9631543501365486,0.5680473372781065,0.5581682206682207,0.5563889193871078,0.6494252873563219,0.6454079825403355,0.6386206227358978
l1__communication__window__whole_mean,original,dynamics_only,ff,on,C,23,l1,communication,window,whole_mean,128,0.01,0.4981601731601731,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.36854395604395607}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4981601731601731}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4970782689532689}, {""C"": 1.0, ""val_balanced_accuracy"": 0.47908584471084464}, {""C"": 10.0, ""val_balanced_accuracy"": 0.42510614385614387}]",0.7156862745098039,0.6969036483912401,0.7083535795742503,0.5207100591715976,0.4981601731601731,0.4871726305648946,0.39655172413793105,0.3764056001188354,0.3538538748832866
l1__communication__window__fixed250_ordered_mean,original,dynamics_only,ff,on,C,23,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.5781066156066157,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4848075535575535}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5781066156066157}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5553769147519148}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5541749916749917}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5362436174936175}]",0.9627450980392157,0.9592131121536821,0.9627281854611437,0.591715976331361,0.5781066156066157,0.5802876039672371,0.6551724137931034,0.6506571655468715,0.6436122056012211
