probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,original,pretrained_trainable,diagonal,off,B,11,l1,pre_reset,valid,whole_mean,128,1.0,0.5171065046065045,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.29302503052503054}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4347981879231879}, {""C"": 0.1, ""val_balanced_accuracy"": 0.500737456987457}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5171065046065045}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5115145271395272}]",0.996078431372549,0.9962889658584859,0.9963119562925685,0.5384615384615384,0.5171065046065045,0.5138749275935454,0.5114942528735632,0.5012971913707208,0.49392188251894886
l1__pre_reset__valid__fixed250_ordered_mean,original,pretrained_trainable,diagonal,off,B,11,l1,pre_reset,valid,fixed250_ordered_mean,2048,1.0,0.6404657842157843,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5892069735819736}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6103837135087135}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6296522921522921}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6404657842157843}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5917346542346542}]",1.0,1.0,1.0,0.6449704142011834,0.6404657842157843,0.6392909431992755,0.7011494252873564,0.6937268613739201,0.6881829042332542
l1__pre_reset__window__whole_mean,original,pretrained_trainable,diagonal,off,B,11,l1,pre_reset,window,whole_mean,128,1.0,0.6061785436785436,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3600885225885226}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4708423520923521}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5584488428238428}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6061785436785436}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5547667610167609}]",0.996078431372549,0.9962889658584859,0.9963117422320459,0.621301775147929,0.6061785436785436,0.6015201890702806,0.6206896551724138,0.6227115613145024,0.6080870775601032
l1__pre_reset__window__fixed250_ordered_mean,original,pretrained_trainable,diagonal,off,B,11,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6549096736596738,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5995834027084027}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6349712787212787}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6549096736596738}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6549096736596738}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6261169386169385}]",1.0,1.0,1.0,0.6627218934911243,0.6549096736596738,0.6520009905959695,0.6666666666666666,0.6593065839389368,0.6517731789555655
l1__communication__valid__whole_mean,original,pretrained_trainable,diagonal,off,B,11,l1,communication,valid,whole_mean,128,0.1,0.5490301365301365,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4226110694860694}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4827242202242202}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5490301365301365}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5282332251082251}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4770580114330114}]",0.9490196078431372,0.9479758002923964,0.9498328266792772,0.5621301775147929,0.5490301365301365,0.5408323752531391,0.5,0.49551096370949305,0.470800798000955
l1__communication__valid__fixed250_ordered_mean,original,pretrained_trainable,diagonal,off,B,11,l1,communication,valid,fixed250_ordered_mean,2048,0.01,0.6319014319014319,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5608110639360638}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6319014319014319}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6159292096792096}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6167839105339105}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6276584526584527}]",0.984313725490196,0.9827495817723428,0.9841034207221108,0.6390532544378699,0.6319014319014319,0.6317556837032209,0.6666666666666666,0.6631993006993007,0.649178511511743
l1__communication__valid__whole_count,original,pretrained_trainable,diagonal,off,B,11,l1,communication,valid,whole_count,128,0.1,0.5881653069153069,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4001411782661783}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5521648490398491}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5881653069153069}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5497610028860029}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5458041958041958}]",0.9588235294117647,0.9577637780367123,0.9592582621409022,0.6035502958579881,0.5881653069153069,0.5799705114160789,0.5689655172413793,0.5625012854792267,0.5267560333888934
l1__communication__valid__fixed250_count,original,pretrained_trainable,diagonal,off,B,11,l1,communication,valid,fixed250_count,2048,0.01,0.6487529831279831,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5900252525252526}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6487529831279831}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6320863164613165}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6329410173160173}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5957386363636363}]",0.9803921568627451,0.9791246802751008,0.9804371603204642,0.6568047337278107,0.6487529831279831,0.6507728654570053,0.6839080459770115,0.680309029206088,0.667521522082477
l1__communication__window__whole_mean,original,pretrained_trainable,diagonal,off,B,11,l1,communication,window,whole_mean,128,0.1,0.5841588966588966,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37896062271062275}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5198235791985791}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5841588966588966}, {""C"": 1.0, ""val_balanced_accuracy"": 0.566587925962926}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5126692751692752}]",0.9607843137254902,0.9594104373888769,0.961339800415685,0.6035502958579881,0.5841588966588966,0.5784370239376014,0.5344827586206896,0.5315168083550436,0.500662128276144
l1__communication__window__fixed250_ordered_mean,original,pretrained_trainable,diagonal,off,B,11,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.6423427267177267,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5612325174825173}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6423427267177267}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6208513708513709}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6149485930735931}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5941152597402598}]",0.984313725490196,0.9827495817723428,0.9841034207221108,0.650887573964497,0.6423427267177267,0.6411133313203465,0.6666666666666666,0.660558212212624,0.6492261052538345
l1__communication__window__whole_count,original,pretrained_trainable,diagonal,off,B,11,l1,communication,window,whole_count,128,0.1,0.5841588966588966,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37896062271062275}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5198235791985791}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5841588966588966}, {""C"": 1.0, ""val_balanced_accuracy"": 0.566587925962926}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5126692751692752}]",0.9607843137254902,0.9594104373888769,0.961339800415685,0.6035502958579881,0.5841588966588966,0.5784370239376014,0.5344827586206896,0.5315168083550436,0.500662128276144
l1__communication__window__fixed250_count,original,pretrained_trainable,diagonal,off,B,11,l1,communication,window,fixed250_count,2048,0.01,0.6423427267177267,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5612325174825173}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6423427267177267}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6208513708513709}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6149485930735931}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5941152597402598}]",0.984313725490196,0.9827495817723428,0.9841034207221108,0.650887573964497,0.6423427267177267,0.6411133313203465,0.6666666666666666,0.660558212212624,0.6492261052538345
