probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,pre_reset,valid,whole_mean,128,0.1,0.5158591408591408,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3511179792429792}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4560647685647685}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5158591408591408}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5113296425796424}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5126214063714063}]",0.8274509803921568,0.8229759359739551,0.8254590816488602,0.5325443786982249,0.5158591408591408,0.5135910500964841,0.4367816091954023,0.43019962064079714,0.42155618066849954
l1__pre_reset__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6840444277944279,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6139593045843045}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6840444277944279}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6449456793206794}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6349868881118881}, {""C"": 10.0, ""val_balanced_accuracy"": 0.623639208014208}]",0.9882352941176471,0.9868380737020885,0.9873309486212712,0.6923076923076923,0.6840444277944279,0.6835121843481068,0.6839080459770115,0.6911216234745646,0.6790813486215784
l1__pre_reset__window__whole_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,pre_reset,window,whole_mean,128,1.0,0.553122224997225,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.40312499999999996}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4949134199134199}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5400117243867243}, {""C"": 1.0, ""val_balanced_accuracy"": 0.553122224997225}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5346719252969253}]",0.9509803921568627,0.9512759039728677,0.9525255267009017,0.5621301775147929,0.553122224997225,0.5591780164366308,0.4885057471264368,0.47619321038438683,0.4782144749048061
l1__pre_reset__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6825160950160951,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5859716672216672}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6761058386058386}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6825160950160951}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6782731157731159}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6432303807303806}]",1.0,1.0,1.0,0.6863905325443787,0.6825160950160951,0.6786084971435845,0.6896551724137931,0.7005151915078386,0.6877612449845487
l1__communication__valid__whole_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,valid,whole_mean,128,0.01,0.43756243756243757,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3656669719169719}, {""C"": 0.01, ""val_balanced_accuracy"": 0.43756243756243757}, {""C"": 0.1, ""val_balanced_accuracy"": 0.42679854867354866}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4163662726162726}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4054553085803086}]",0.596078431372549,0.5837197161289999,0.5997900190739925,0.46153846153846156,0.43756243756243757,0.4322850575489694,0.4425287356321839,0.42910924859454275,0.4284324818155078
l1__communication__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,valid,fixed250_ordered_mean,2048,0.01,0.6496441058941058,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5287115662115661}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6496441058941058}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6381857725607726}, {""C"": 1.0, ""val_balanced_accuracy"": 0.590149087024087}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5541982323232323}]",0.9058823529411765,0.8992758000207801,0.9093054193911843,0.6568047337278107,0.6496441058941058,0.6527874251688294,0.6609195402298851,0.6545410267836739,0.6423404830732417
l1__communication__valid__whole_count,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,valid,whole_count,128,0.01,0.4570297757797757,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37552274114774115}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4570297757797757}, {""C"": 0.1, ""val_balanced_accuracy"": 0.44233370795870797}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4378576284826285}, {""C"": 10.0, ""val_balanced_accuracy"": 0.43635808635808626}]",0.6333333333333333,0.619468558896849,0.6350906389624634,0.47928994082840237,0.4570297757797757,0.44818340512173344,0.4885057471264368,0.4687661399058458,0.46375970525474725
l1__communication__valid__fixed250_count,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,valid,fixed250_count,2048,0.01,0.6668182511932512,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5076572732822733}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6668182511932512}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6428866272616273}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5855949605949605}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5170454545454545}]",0.9137254901960784,0.9074703348796543,0.9171785109650706,0.6745562130177515,0.6668182511932512,0.6706218816521202,0.6781609195402298,0.6685933143653733,0.658708277505281
l1__communication__window__whole_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,window,whole_mean,128,0.1,0.473146645021645,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37031440781440783}, {""C"": 0.01, ""val_balanced_accuracy"": 0.45668255355755355}, {""C"": 0.1, ""val_balanced_accuracy"": 0.473146645021645}, {""C"": 1.0, ""val_balanced_accuracy"": 0.44901834276834274}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4471219752469753}]",0.8137254901960784,0.8097851537098398,0.8188037090519259,0.4911242603550296,0.473146645021645,0.46904092049925383,0.47701149425287354,0.4668622023401436,0.4669223691592113
l1__communication__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.6555468836718837,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5132128288378288}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6555468836718837}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6545052170052169}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5852477383727384}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5054268648018648}]",0.9137254901960784,0.9074703348796543,0.9171785109650706,0.6686390532544378,0.6555468836718837,0.6613553660184052,0.6724137931034483,0.6630377588098176,0.6531625312410249
l1__communication__window__whole_count,postencode_mask,dynamics_only,dense,off,B,11,l1,communication,window,whole_count,128,0.1,0.473146645021645,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.37031440781440783}, {""C"": 0.01, ""val_balanced_accuracy"": 0.45668255355755355}, {""C"": 0.1, ""val_balanced_accuracy"": 0.473146645021645}, {""C"": 1.0, ""val_balanced_accuracy"": 0.44901834276834274}, {""C"": 10.0, ""val_balanced_accuracy"": 0.4471219752469753}]",0.8137254901960784,0.8097851537098398,0.8188037090519259,0.4911242603550296,0.473146645021645,0.46904092049925383,0.47701149425287354,0.4668622023401436,0.4669223691592113
