probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,pre_reset,valid,whole_mean,128,1.0,0.5270042457542458,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.35026327838827837}, {""C"": 0.01, ""val_balanced_accuracy"": 0.45039855977355975}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5238927738927739}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5270042457542458}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5049689893439894}]",0.9784313725490196,0.9783719685267599,0.979024617229574,0.5384615384615384,0.5270042457542458,0.5259017435194971,0.4540229885057471,0.4474457527766351,0.4397067490726759
l1__pre_reset__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6604600260850261,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6075986513486513}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6604600260850261}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6126540126540126}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6077929015429014}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6056103618603619}]",0.9901960784313726,0.9886496679049871,0.98970510581126,0.6686390532544378,0.6604600260850261,0.658608705219204,0.7068965517241379,0.7088739487636547,0.6990925532267335
l1__pre_reset__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,pre_reset,window,whole_mean,128,0.1,0.5399621212121212,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.40386904761904757}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4510031635031635}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5399621212121212}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5319052475302475}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5132183788433788}]",0.792156862745098,0.7902003341914733,0.7914276917763473,0.5562130177514792,0.5399621212121212,0.54628472211589,0.5,0.4874045888751772,0.4856195088752185
l1__pre_reset__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,pre_reset,window,fixed250_ordered_mean,2048,10.0,0.6767239704739705,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.593597027972028}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6562933594183594}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6750145687645688}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6647581585081584}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6767239704739705}]",1.0,1.0,1.0,0.6804733727810651,0.6767239704739705,0.6742044526678524,0.7183908045977011,0.7279865967365967,0.7110132369738632
l1__communication__valid__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,valid,whole_mean,128,0.01,0.45644598457098456,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.36956272893772885}, {""C"": 0.01, ""val_balanced_accuracy"": 0.45644598457098456}, {""C"": 0.1, ""val_balanced_accuracy"": 0.44187617937617935}, {""C"": 1.0, ""val_balanced_accuracy"": 0.43293581418581417}, {""C"": 10.0, ""val_balanced_accuracy"": 0.41490696803196797}]",0.6549019607843137,0.6459547755630727,0.6642633717550077,0.47337278106508873,0.45644598457098456,0.45824989986409476,0.4540229885057471,0.43905485854015275,0.4352707139172923
l1__communication__valid__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,valid,fixed250_ordered_mean,2048,0.01,0.6776927933177932,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5415854978354978}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6776927933177932}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6174669080919081}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5832160894660895}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5567165473415473}]",0.9196078431372549,0.9175338416794546,0.925573174187269,0.6863905325443787,0.6776927933177932,0.677197363286413,0.6839080459770115,0.6779837401160931,0.6677178780768145
l1__communication__valid__whole_count,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,valid,whole_count,128,0.1,0.5095553751803752,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3727716727716728}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4635142635142635}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5095553751803752}, {""C"": 1.0, ""val_balanced_accuracy"": 0.4465406121656122}, {""C"": 10.0, ""val_balanced_accuracy"": 0.44005369630369623}]",0.8607843137254902,0.8553300237745267,0.8645072196126683,0.5207100591715976,0.5095553751803752,0.5042055935137361,0.4942528735632184,0.4802658942364824,0.4752768778000284
l1__communication__valid__fixed250_count,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,valid,fixed250_count,2048,0.01,0.665616328116328,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5427874209124209}, {""C"": 0.01, ""val_balanced_accuracy"": 0.665616328116328}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6138573232323231}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5794958513708514}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5631268037518037}]",0.9235294117647059,0.9210799409702348,0.9290602541813389,0.6745562130177515,0.665616328116328,0.6636377923239087,0.6781609195402298,0.6707187828511357,0.6531981464520206
l1__communication__window__whole_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,window,whole_mean,128,0.1,0.521173964923965,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3779800061050061}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4635142635142635}, {""C"": 0.1, ""val_balanced_accuracy"": 0.521173964923965}, {""C"": 1.0, ""val_balanced_accuracy"": 0.45932470307470313}, {""C"": 10.0, ""val_balanced_accuracy"": 0.46088702963702954}]",0.8588235294117647,0.854430245258469,0.8630715743232917,0.5325443786982249,0.521173964923965,0.516100290311628,0.4827586206896552,0.46895367704191243,0.4661647289026198
l1__communication__window__fixed250_ordered_mean,postencode_mask,dynamics_only,dense,on,D,11,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.665616328116328,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5427874209124209}, {""C"": 0.01, ""val_balanced_accuracy"": 0.665616328116328}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6201569264069263}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5847041847041846}, {""C"": 10.0, ""val_balanced_accuracy"": 0.579099025974026}]",0.9235294117647059,0.9213008670925394,0.9291358909064762,0.6745562130177515,0.665616328116328,0.6636377923239087,0.6781609195402298,0.6707187828511357,0.6537250248524621
