probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,pre_reset,valid,whole_mean,128,1.0,0.6274218836718837,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.35632631257631253}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4617805805305805}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5747949966699967}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6274218836718837}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5758366633366633}]",0.9941176470588236,0.9945159162130958,0.9944578304782453,0.6331360946745562,0.6274218836718837,0.6283376390724157,0.5344827586206896,0.5260093868549751,0.5262213150916026
l1__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.7035859973359972,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6323485542235542}, {""C"": 0.01, ""val_balanced_accuracy"": 0.7035859973359972}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6937874625374626}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6885791292041293}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6438141719391718}]",0.9921568627450981,0.9916258583811776,0.9921533663469148,0.7100591715976331,0.7035859973359972,0.700516052362402,0.7183908045977011,0.7200903263403263,0.7148793029105951
l1__pre_reset__window__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,pre_reset,window,whole_mean,128,1.0,0.5846067127317127,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3920138888888889}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4765217421467421}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5542228604728604}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5846067127317127}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5682872682872683}]",0.9901960784313726,0.990977147360126,0.9909409586828941,0.591715976331361,0.5846067127317127,0.586882546283242,0.5632183908045977,0.5521104712281183,0.5568680000684201
l1__pre_reset__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.7248369685869687,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6343687562437562}, {""C"": 0.01, ""val_balanced_accuracy"": 0.714420301920302}, {""C"": 0.1, ""val_balanced_accuracy"": 0.7248369685869687}, {""C"": 1.0, ""val_balanced_accuracy"": 0.722503538128538}, {""C"": 10.0, ""val_balanced_accuracy"": 0.7013632201132202}]",1.0,1.0,1.0,0.727810650887574,0.7248369685869687,0.7227620909819676,0.7183908045977011,0.7224533228209699,0.7153968388256485
l1__communication__valid__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,valid,whole_mean,128,1.0,0.5487665112665113,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.40678592241092243}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5039543789543789}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5251689282939282}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5487665112665113}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5075212981462982}]",0.9921568627450981,0.9925779317169718,0.992662871600253,0.5502958579881657,0.5487665112665113,0.5376719548320424,0.5517241379310345,0.5446035582064993,0.5426431778005991
l1__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,valid,fixed250_ordered_mean,2048,0.1,0.7164196914196914,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6466297591297591}, {""C"": 0.01, ""val_balanced_accuracy"": 0.7090648934398934}, {""C"": 0.1, ""val_balanced_accuracy"": 0.7164196914196914}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6996423715173715}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6716547341547341}]",1.0,1.0,1.0,0.7218934911242604,0.7164196914196914,0.7133711234455564,0.6896551724137931,0.6890694273047214,0.6789421112337779
l1__communication__valid__whole_count,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,valid,whole_count,128,0.1,0.5698232323232323,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4002518315018315}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5162674131424131}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5698232323232323}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5638684232434232}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5046828171828172}]",0.9058823529411765,0.9071715030053528,0.9094460789998219,0.5798816568047337,0.5698232323232323,0.5626439373988393,0.5747126436781609,0.5637193484619957,0.5593570057572135
l1__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,valid,fixed250_count,2048,0.1,0.6999895937395938,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6390540015540015}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6851696914196914}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6999895937395938}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6880237817737817}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6840173715173715}]",1.0,1.0,1.0,0.7041420118343196,0.6999895937395938,0.6956858138230687,0.7298850574712644,0.7304847113670642,0.7208072935175175
l1__communication__window__whole_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,window,whole_mean,128,0.1,0.5770517676767676,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.38909111721611717}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5214757464757465}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5770517676767676}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5537989787989788}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5201815545565546}]",0.903921568627451,0.9053984533599627,0.9074298161911508,0.5857988165680473,0.5770517676767676,0.5701311578762559,0.5689655172413793,0.5561844405594406,0.5534773594620793
l1__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,dense,off,B,37,l1,communication,window,fixed250_ordered_mean,2048,0.1,0.7055451492951493,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6414214257964258}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6843149905649906}, {""C"": 0.1, ""val_balanced_accuracy"": 0.7055451492951493}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6880237817737817}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6660991785991786}]",1.0,1.0,1.0,0.7100591715976331,0.7055451492951493,0.7009747885364038,0.7241379310344828,0.7255827505827505,0.7150249508601748
