probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,pre_reset,valid,whole_mean,128,1.0,0.5385368104118103,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.36051968864468864}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4751484626484626}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4967390248640249}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5385368104118103}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5142291736041736}]",0.9823529411764705,0.9817607915218445,0.9825184307103884,0.5502958579881657,0.5385368104118103,0.5401214706457672,0.5057471264367817,0.48949477809771924,0.4871502529977762
l1__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.7134188727938727,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6462981462981462}, {""C"": 0.01, ""val_balanced_accuracy"": 0.7134188727938727}, {""C"": 0.1, ""val_balanced_accuracy"": 0.7010159978909979}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6789807414807415}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6715156371406371}]",0.9921568627450981,0.9916258583811776,0.9921533663469148,0.7159763313609467,0.7134188727938727,0.7096964754538106,0.7298850574712644,0.7325073415146944,0.7209771856771382
l1__pre_reset__window__whole_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,pre_reset,window,whole_mean,128,1.0,0.5577349733599734,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3970619658119658}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5260125291375292}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5489194832944833}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5577349733599734}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5383741258741259}]",0.9862745098039216,0.9871487664546418,0.9872629937449043,0.5680473372781065,0.5577349733599734,0.560126637848412,0.5862068965517241,0.5673238322135382,0.5705856286345323
l1__pre_reset__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.735871767121767,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6407790126540127}, {""C"": 0.01, ""val_balanced_accuracy"": 0.7341623654123656}, {""C"": 0.1, ""val_balanced_accuracy"": 0.735871767121767}, {""C"": 1.0, ""val_balanced_accuracy"": 0.7082809551559551}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6961548867798868}]",1.0,1.0,1.0,0.7396449704142012,0.735871767121767,0.7337109130136957,0.7068965517241379,0.7148552836052836,0.6980405497962702
l1__communication__valid__whole_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,valid,whole_mean,128,10.0,0.5307647213897214,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.40558399933399936}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4928068459318459}, {""C"": 0.1, ""val_balanced_accuracy"": 0.4931540681540681}, {""C"": 1.0, ""val_balanced_accuracy"": 0.528455919080919}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5307647213897214}]",0.996078431372549,0.9962889658584859,0.9962499451735858,0.5325443786982249,0.5307647213897214,0.5206978595977846,0.4885057471264368,0.4721789444215914,0.4734058097094846
l1__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,valid,fixed250_ordered_mean,2048,1.0,0.6563405344655345,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6015540015540015}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6336378898878898}, {""C"": 0.1, ""val_balanced_accuracy"": 0.650784978909979}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6563405344655345}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6520479520479521}]",1.0,1.0,1.0,0.6568047337278107,0.6563405344655345,0.6469171454513863,0.6206896551724138,0.6150758147081676,0.6126179259456371
l1__communication__valid__whole_count,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,valid,whole_count,128,1.0,0.5571015789765791,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.42474053724053723}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5215499777999778}, {""C"": 0.1, ""val_balanced_accuracy"": 0.54742895992896}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5571015789765791}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5151032994782995}]",0.9803921568627451,0.9805715581630969,0.9817145202818828,0.5562130177514792,0.5571015789765791,0.5355433592420459,0.5229885057471264,0.5164141414141414,0.5173827497390562
l1__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,valid,fixed250_count,2048,0.01,0.6375544594294593,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5899354118104118}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6375544594294593}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6312434093684093}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6315906315906316}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6215822372072372}]",0.9549019607843138,0.9531493313931644,0.9571478403234384,0.6449704142011834,0.6375544594294593,0.6345899163110109,0.6551724137931034,0.6509085481511953,0.639647470266791
l1__communication__window__whole_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,window,whole_mean,128,1.0,0.5682622932622933,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.42474053724053723}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5203480547230547}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5391091547341548}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5682622932622933}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5182147713397715}]",0.9823529411764705,0.982344607808487,0.9834285469959094,0.5680473372781065,0.5682622932622933,0.5460780719105601,0.5229885057471264,0.5129827688651218,0.5150364194865474
l1__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,diagonal,on,D,11,l1,communication,window,fixed250_ordered_mean,2048,10.0,0.6463321400821401,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5951437451437451}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6264433483183482}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6364517427017427}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6420072982572982}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6463321400821401}]",1.0,1.0,1.0,0.6449704142011834,0.6463321400821401,0.6425629188704636,0.6494252873563219,0.6459377428127427,0.6418184159412811
