probe,variant,l1_init,topology,fusion,architecture_case,seed,layer,state,support,aggregation,feature_dim,selected_C,selected_val_balanced_accuracy,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1
l1__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,pre_reset,valid,whole_mean,128,1.0,0.5702200577200577,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.3618818681318681}, {""C"": 0.01, ""val_balanced_accuracy"": 0.478422619047619}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5486582861582862}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5702200577200577}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5059135309135309}]",0.9882352941176471,0.989158222719417,0.9890529588146233,0.5798816568047337,0.5702200577200577,0.5704241352383008,0.5057471264367817,0.4958419031948445,0.49613794074461876
l1__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,pre_reset,valid,fixed250_ordered_mean,2048,0.01,0.6928221084471083,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6630144161394161}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6928221084471083}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6877740315240315}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6769605394605396}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6482784576534576}]",0.9941176470588236,0.9934777102330293,0.9939656027313811,0.7041420118343196,0.6928221084471083,0.6942674559610044,0.7126436781609196,0.7117569930069929,0.7075654480678705
l1__pre_reset__window__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,pre_reset,window,whole_mean,128,1.0,0.5556138306138306,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.40277777777777773}, {""C"": 0.01, ""val_balanced_accuracy"": 0.4949630230880231}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5438349844599845}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5556138306138306}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5348301004551005}]",0.9823529411764705,0.9826030057413035,0.9830823200811046,0.5621301775147929,0.5556138306138306,0.556492187229002,0.5229885057471264,0.5146748880204762,0.5238982292078248
l1__pre_reset__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.7376706626706627,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6406683594183594}, {""C"": 0.01, ""val_balanced_accuracy"": 0.7064973221223222}, {""C"": 0.1, ""val_balanced_accuracy"": 0.7376706626706627}, {""C"": 1.0, ""val_balanced_accuracy"": 0.717344807969808}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6962655400155401}]",1.0,1.0,1.0,0.7396449704142012,0.7376706626706627,0.740035439738326,0.7126436781609196,0.7140228643905114,0.7053903938000303
l1__communication__valid__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,valid,whole_mean,128,0.1,0.5531201437451437,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.38635323010323}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5380792818292818}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5531201437451437}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5331415112665113}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5262237762237763}]",0.9294117647058824,0.9285048986094707,0.9332205670228356,0.5562130177514792,0.5531201437451437,0.547473792180749,0.5402298850574713,0.5314276817953288,0.534400148636026
l1__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,valid,fixed250_ordered_mean,2048,0.1,0.6941454378954378,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6155400155400156}, {""C"": 0.01, ""val_balanced_accuracy"": 0.673625333000333}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6941454378954378}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6561875624375625}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6681533744033744}]",0.9980392156862745,0.9981884057971014,0.9981684981684982,0.6923076923076923,0.6941454378954378,0.6900690259561227,0.7183908045977011,0.7129212086932676,0.708675671627367
l1__communication__valid__whole_count,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,valid,whole_count,128,0.1,0.5681478243978245,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4341058247308247}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5225916444666444}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5681478243978245}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5618978243978244}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5430638805638807}]",0.9431372549019608,0.9413571938682321,0.9454733598633016,0.5798816568047337,0.5681478243978245,0.5619280339289983,0.5517241379310345,0.5409252308149367,0.5380904318731264
l1__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,valid,fixed250_count,2048,0.01,0.6843892218892219,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6171790015540014}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6843892218892219}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6776657370407371}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6297150765900765}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6653891247641249}]",0.9686274509803922,0.9680811366777204,0.9702843048960816,0.6923076923076923,0.6843892218892219,0.6886669262991864,0.7471264367816092,0.7389393082407786,0.7363992629410085
l1__communication__window__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,window,whole_mean,128,0.1,0.5681478243978245,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4341058247308247}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5274527555777555}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5681478243978245}, {""C"": 1.0, ""val_balanced_accuracy"": 0.549474136974137}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5274388805638807}]",0.9372549019607843,0.9358731100813279,0.9400870513191629,0.5798816568047337,0.5681478243978245,0.5609234579244222,0.5459770114942529,0.5353696752593812,0.532875060824422
l1__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,window,fixed250_ordered_mean,2048,0.01,0.6852439227439228,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.610768745143745}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6852439227439228}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6788676601176601}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6473602786102787}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6633821040071041}]",0.9705882352941176,0.969892730880619,0.9719338412245592,0.6923076923076923,0.6852439227439228,0.687932130656025,0.7413793103448276,0.7316743509758216,0.7294216261167557
l1__communication__window__whole_count,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,window,whole_count,128,0.1,0.5681478243978245,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4341058247308247}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5274527555777555}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5681478243978245}, {""C"": 1.0, ""val_balanced_accuracy"": 0.549474136974137}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5274388805638807}]",0.9372549019607843,0.9358731100813279,0.9400870513191629,0.5798816568047337,0.5681478243978245,0.5609234579244222,0.5459770114942529,0.5353696752593812,0.532875060824422
l1__communication__window__fixed250_count,postencode_mask,pretrained_trainable,ff,on,C,37,l1,communication,window,fixed250_count,2048,0.01,0.6852439227439228,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.610768745143745}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6852439227439228}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6788676601176601}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6473602786102787}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6633821040071041}]",0.9705882352941176,0.969892730880619,0.9719338412245592,0.6923076923076923,0.6852439227439228,0.687932130656025,0.7413793103448276,0.7316743509758216,0.7294216261167557
rsnn__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,pre_reset,valid,whole_mean,128,0.1,0.5378826035076035,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.482674617049617}, {""C"": 0.01, ""val_balanced_accuracy"": 0.515883769008769}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5378826035076035}, {""C"": 1.0, ""val_balanced_accuracy"": 0.473547286047286}, {""C"": 10.0, ""val_balanced_accuracy"": 0.46799173049173043}]",0.9058823529411765,0.9037552864351174,0.9062832766170907,0.5562130177514792,0.5378826035076035,0.5337183415462659,0.4942528735632184,0.4813682640888523,0.4802523399560073
rsnn__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,pre_reset,valid,fixed250_ordered_mean,2048,10.0,0.6750239343989345,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6406659312909313}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6713571151071153}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6586836774336774}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6730169136419137}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6750239343989345}]",1.0,1.0,1.0,0.6804733727810651,0.6750239343989345,0.6808725895428037,0.603448275862069,0.595445689930984,0.5954668349341804
rsnn__pre_reset__window__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,pre_reset,window,whole_mean,128,0.1,0.5501800283050283,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.46896159396159404}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5177281052281052}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5501800283050283}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5330423049173049}, {""C"": 10.0, ""val_balanced_accuracy"": 0.514008214008214}]",0.8921568627450981,0.8897805228532868,0.8921091408455629,0.5680473372781065,0.5501800283050283,0.5465125670944636,0.5229885057471264,0.5107093274372686,0.5159972875535102
rsnn__pre_reset__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,pre_reset,window,fixed250_ordered_mean,2048,0.1,0.6938100094350094,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.665068611943612}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6788794538794539}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6938100094350094}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6725056193806195}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6638632201132201}]",0.9980392156862745,0.99822695035461,0.9981881917365788,0.6982248520710059,0.6938100094350094,0.6926378640146756,0.6781609195402298,0.6732703162850222,0.6753502459048031
rsnn__communication__valid__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,valid,whole_mean,128,1.0,0.5671828171828172,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.4958711427461427}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5367171023421023}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5619744838494838}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5671828171828172}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5530705405705406}]",0.9980392156862745,0.998062015503876,0.998061753437007,0.5739644970414202,0.5671828171828172,0.5673157719064497,0.5862068965517241,0.5827490116093058,0.5703458901367301
rsnn__communication__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,valid,fixed250_ordered_mean,2048,0.1,0.70073156010656,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6691246253746254}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6901182151182153}, {""C"": 0.1, ""val_balanced_accuracy"": 0.70073156010656}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6997870185370186}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6603681041181041}]",1.0,1.0,1.0,0.7041420118343196,0.70073156010656,0.6942523020913357,0.6896551724137931,0.6856144876365464,0.678968840092451
rsnn__communication__valid__whole_count,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,valid,whole_count,128,0.1,0.589091810966811,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5333152958152958}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5633973665223665}, {""C"": 0.1, ""val_balanced_accuracy"": 0.589091810966811}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5743617493617493}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5471181596181597}]",0.9764705882352941,0.9755014918693038,0.9768817556272295,0.5857988165680473,0.589091810966811,0.576486296095564,0.6091954022988506,0.6004337778234837,0.5901870382229565
rsnn__communication__valid__fixed250_count,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,valid,fixed250_count,2048,0.01,0.6814355783105782,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6341065184815184}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6814355783105782}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6786806943056942}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6551327145077145}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6656104312354312}]",0.9921568627450981,0.9915397257369053,0.9921281122419643,0.6804733727810651,0.6814355783105782,0.6758120478684995,0.6781609195402298,0.6788258718405777,0.6721760317172704
rsnn__communication__window__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,window,whole_mean,128,0.01,0.5842671217671218,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.512644647019647}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5842671217671218}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5803505522255522}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5627795815295814}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5303276584526584}]",0.9215686274509803,0.9200625515310766,0.9242199647241929,0.5976331360946746,0.5842671217671218,0.5785675417989687,0.5977011494252874,0.5826060377530966,0.5748938259325843
rsnn__communication__window__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,window,fixed250_ordered_mean,2048,0.01,0.6979152791652791,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.636002886002886}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6979152791652791}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6879564879564879}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6954580142080142}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6979020979020979}]",0.9941176470588236,0.9933127753822953,0.9939571264648664,0.6982248520710059,0.6979152791652791,0.6896618330400207,0.7241379310344828,0.7243305509849628,0.7183420067346651
rsnn__communication__window__whole_count,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,window,whole_count,128,0.01,0.5842671217671218,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.512644647019647}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5842671217671218}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5803505522255522}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5627795815295814}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5303276584526584}]",0.9215686274509803,0.9200625515310766,0.9242199647241929,0.5976331360946746,0.5842671217671218,0.5785675417989687,0.5977011494252874,0.5826060377530966,0.5748938259325843
rsnn__communication__window__fixed250_count,postencode_mask,pretrained_trainable,ff,on,C,37,rsnn,communication,window,fixed250_count,2048,0.01,0.6979152791652791,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.636002886002886}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6979152791652791}, {""C"": 0.1, ""val_balanced_accuracy"": 0.6879564879564879}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6954580142080142}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6979020979020979}]",0.9941176470588236,0.9933127753822953,0.9939571264648664,0.6982248520710059,0.6979152791652791,0.6896618330400207,0.7241379310344828,0.7243305509849628,0.7183420067346651
readout__pre_reset__valid__whole_mean,postencode_mask,pretrained_trainable,ff,on,C,37,readout,pre_reset,valid,whole_mean,128,1.0,0.5379034160284161,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.5253961316461316}, {""C"": 0.01, ""val_balanced_accuracy"": 0.5198003385503385}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5302170052170051}, {""C"": 1.0, ""val_balanced_accuracy"": 0.5379034160284161}, {""C"": 10.0, ""val_balanced_accuracy"": 0.5379034160284161}]",0.9980392156862745,0.998062015503876,0.9981038569273863,0.5502958579881657,0.5379034160284161,0.5366249109508227,0.5632183908045977,0.5504840543443484,0.5379044567836201
readout__pre_reset__valid__fixed250_ordered_mean,postencode_mask,pretrained_trainable,ff,on,C,37,readout,pre_reset,valid,fixed250_ordered_mean,2048,0.001,0.6432678432678433,"[{""C"": 0.001, ""val_balanced_accuracy"": 0.6432678432678433}, {""C"": 0.01, ""val_balanced_accuracy"": 0.6402670246420247}, {""C"": 0.1, ""val_balanced_accuracy"": 0.5928238428238427}, {""C"": 1.0, ""val_balanced_accuracy"": 0.6155535436785436}, {""C"": 10.0, ""val_balanced_accuracy"": 0.6147328366078366}]",0.9627450980392157,0.9612345945556474,0.9631306036243438,0.650887573964497,0.6432678432678433,0.6419592893675509,0.603448275862069,0.5949567793317793,0.589540694423233
