temporal_mode,source_method,representation,quantile,test_ba_mean,test_ba_std,active_fraction_test_mean,events_per_sample_test_mean,zero_event_fraction_test_mean
t0,r0b_analog,r0_direct_l2,0.0,0.5862734487734488,0.00974412952227766,1.0,82.68493150684931,0.0
t0,r0b_analog,r0a_integrated_128d,0.0,0.5862734487734488,0.00974412952227766,1.0,82.68493150684931,0.0
t0,r0b_analog,r0b_analog_16d,0.0,0.5107325544825545,0.011566430282310136,1.0,82.68493150684931,0.0
t0,r0b_analog,r1_main_what_posthoc,0.0,0.49656292781292777,0.018685454736871897,1.0,82.68493150684931,0.0
t0,r0b_analog,r2_main_activity_x_what_posthoc,0.0,0.5198401135901135,0.043135304033413036,1.0,82.68493150684931,0.0
t0,r0b_analog,r1_legacy_raw_softmax_posthoc,0.0,0.529309348059348,0.014630657323364864,1.0,82.68493150684931,0.0
t0,r0b_analog,r2_legacy_rms_x_raw_softmax_posthoc,0.0,0.5329466829466829,0.02283658283670588,1.0,82.68493150684931,0.0
t0,r2_main_frozen,r2_dense,0.0,0.5347684722684721,0.006157267975486003,1.0,82.68493150684931,0.0
t0,r2_main_frozen,r2_hard_token,0.0,0.481801763051763,0.018559557409633953,1.0,82.68493150684931,0.0
t0,r2_main_frozen,magnitude_only,0.0,0.14972804972804973,0.01992502003712794,1.0,,0.0
t0,r2_main_frozen,r3_gate,0.2,0.5289934602434602,0.008119730473944974,0.7784128561961564,64.36301369863014,0.0
t0,r2_main_frozen,r4_peak,0.2,0.5154817404817404,0.018254866308391914,0.4527004638833665,37.43150684931507,0.0
t0,r2_main_frozen,r4_count_only,0.2,0.1873036685536685,0.01609417392841783,0.4527004638833665,37.43150684931507,0.0
t0,r2_main_frozen,r3_gate,0.4,0.5320274632774632,0.010121956552701705,0.5779765849348354,47.78995433789955,0.0
t0,r2_main_frozen,r4_peak,0.4,0.5299862174862174,0.016407938215369802,0.3465043074884029,28.65068493150685,0.0
t0,r2_main_frozen,r4_count_only,0.4,0.16232101232101226,0.016783624620621225,0.3465043074884029,28.65068493150685,0.0
t0,r2_main_frozen,r3_gate,0.6,0.4811843249343249,0.009468319134794687,0.37872763419483096,31.315068493150687,0.0
t0,r2_main_frozen,r4_peak,0.6,0.4939308376808376,0.02775421824570851,0.23655290479346144,19.55936073059361,0.0
t0,r2_main_frozen,r4_count_only,0.6,0.17151968401968398,0.022693993788689307,0.23655290479346144,19.55936073059361,0.0
t0,r2_main_frozen,r3_gate,0.8,0.434471546971547,0.020703929640095115,0.18599514026949415,15.378995433789953,0.0
t0,r2_main_frozen,r4_peak,0.8,0.4470857845857846,0.02202570313237967,0.12447537000220893,10.292237442922376,0.002283105022831033
t0,r2_main_frozen,r4_count_only,0.8,0.1735495985495985,0.03810579551823215,0.12447537000220893,10.292237442922376,0.002283105022831033
t0,r2_main_frozen,r3_gate,0.9,0.38566942316942315,0.023619983530737566,0.08957366909653186,7.4063926940639275,0.0342465753424657
t0,r2_main_frozen,r4_peak,0.9,0.37780367780367774,0.02898628741276263,0.06428098078197476,5.315068493150685,0.03652968036529677
t0,r2_main_frozen,r4_count_only,0.9,0.1643708143708143,0.030359758422499616,0.06428098078197476,5.315068493150685,0.03652968036529677
t0,r2_main_e2e,r2_dense,0.0,0.5362010674510674,0.027385490284843265,1.0,82.68493150684931,0.0
t0,r2_main_e2e,r2_hard_token,0.0,0.48019734894734895,0.014708208447300941,1.0,82.68493150684931,0.0
t0,r2_main_e2e,magnitude_only,0.0,0.15000023125023118,0.02067239372291031,1.0,,0.0
t0,r2_main_e2e,r3_gate,0.2,0.5346220908720908,0.023649764688201375,0.776121051468964,64.17351598173515,0.0
t0,r2_main_e2e,r4_peak,0.2,0.5178155178155178,0.02455905130298997,0.46512591119946983,38.45890410958904,0.0
