representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
r0a_integrated_128d,128,0.9432645336868841,0.5162157287157286,0.5210699023199022,0.5273972602739726,0.5152861017277494
r0b_analog_k,16,0.9143687126298518,0.5042087542087542,0.5316829004329003,0.541095890410959,0.5244755935486518
r1_raw_what,16,0.9246766227234168,0.5390993265993266,0.4910984848484848,0.5,0.4886812287894197
r1_norm_what,16,0.8321921554423747,0.4773929773929774,0.4611471861471861,0.4657534246575342,0.43474486071001905
r2_mh_qraw,16,0.9016675873998682,0.545544733044733,0.5523649961149961,0.5547945205479452,0.5402135440996471
r2_mh_qnorm,16,0.9025258652758565,0.5071248196248196,0.48623667998667996,0.4863013698630137,0.47236340284232453
r2_ms_qraw,16,0.9042501438348124,0.5044733044733044,0.532758214008214,0.5342465753424658,0.5237773867143866
r2_ms_qnorm,16,0.8986714908130854,0.5064935064935064,0.465764097014097,0.4657534246575342,0.455321008076312
r2_mh_qraw_hard,16,0.5256964395930508,0.3780904280904281,0.33532162282162287,0.3356164383561644,0.30066498316498314
r2_mh_qnorm_hard,16,0.5256964395930508,0.3780904280904281,0.33532162282162287,0.3356164383561644,0.30066498316498314
r2_ms_qraw_hard,16,0.5283284952127144,0.3564574314574314,0.31290306915306915,0.3082191780821918,0.27818839037905974
r2_ms_qnorm_hard,16,0.5283284952127144,0.3564574314574314,0.31290306915306915,0.3082191780821918,0.27818839037905974
