representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
r0_direct_l2,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
r0a_integrated_128d,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
r0b_analog_k,128,0.9209915784235014,0.558044733044733,0.5716110278610279,0.5753424657534246,0.564220771177293
r1_raw_what,128,0.9752790313120009,0.5593073593073593,0.5582431457431457,0.5616438356164384,0.5504244138077764
r1_norm_what,128,0.9624431068567662,0.5545454545454546,0.541874098124098,0.547945205479452,0.5312617604790387
r2_mh_qraw,128,0.9635298985029347,0.572564935064935,0.5712884337884337,0.5684931506849316,0.5589843489843489
r2_mh_qnorm,128,0.9528159369924046,0.5662518037518037,0.5320658508158508,0.5342465753424658,0.5185311140574299
r2_ms_qraw,128,0.9619575714589096,0.5517316017316017,0.5831931956931957,0.5821917808219178,0.5707025307887376
r2_ms_qnorm,128,0.9544499239205092,0.5662518037518037,0.5380182317682317,0.541095890410959,0.5244348773524975
r2_mh_qraw_hard,128,0.8751200843880197,0.4637385762385762,0.45098235098235095,0.4589041095890411,0.44661426132014365
r2_mh_qnorm_hard,128,0.8751200843880197,0.4637385762385762,0.45098235098235095,0.4589041095890411,0.44661426132014365
r2_ms_qraw_hard,128,0.8751200843880199,0.4637385762385762,0.44502997002997,0.4520547945205479,0.44033489658489655
r2_ms_qnorm_hard,128,0.8751200843880199,0.4637385762385762,0.44502997002997,0.4520547945205479,0.44033489658489655
