seed,model_kind,history_ms,layer,state,phase,bias_mode,shared_C,retrained_C,full_test_ba,trunc_shared_test_ba,trunc_retrained_test_ba,context_drop_shared_pp,information_loss_retrained_pp,geometry_shift_pp,full_test_accuracy,trunc_shared_test_accuracy,trunc_retrained_test_accuracy,full_test_macro_f1,trunc_shared_test_macro_f1,trunc_retrained_test_macro_f1,fit_intercept,scaler_with_mean
37,c2,1000,L1,spike50,0.25,no_bias,0.1,0.1,0.21217809967809967,0.21217809967809967,0.21217809967809967,0.0,0.0,0.0,0.19863013698630136,0.19863013698630136,0.19863013698630136,0.18778157148103755,0.18778157148103755,0.18778157148103755,False,False
37,c2,1000,L1,spike50,0.25,affine,0.1,0.1,0.24843351093351096,0.24843351093351096,0.24843351093351096,0.0,0.0,0.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.2224838777779954,0.2224838777779954,0.2224838777779954,True,True
37,c2,1000,L1,spike50,0.5,no_bias,1.0,1.0,0.3915071040071039,0.3915071040071039,0.3990828615828615,0.0,-0.7575757575757569,0.7575757575757569,0.3972602739726027,0.3972602739726027,0.4041095890410959,0.3903495360848302,0.3903495360848302,0.40053939524527754,False,False
37,c2,1000,L1,spike50,0.5,affine,0.1,1.0,0.4375444000444,0.4375444000444,0.3864704739704739,0.0,5.107392607392608,-5.107392607392608,0.4452054794520548,0.4452054794520548,0.3904109589041096,0.4304019389485331,0.4304019389485331,0.38506142431429785,True,True
37,c2,1000,L1,spike50,0.75,no_bias,0.1,0.1,0.5042651792651792,0.49831279831279834,0.5087294649794649,0.5952380952380876,-0.44642857142856984,1.0416666666666574,0.5068493150684932,0.5,0.5068493150684932,0.5059544583696883,0.49868729130504486,0.5098762764804744,False,False
37,c2,1000,L1,spike50,0.75,affine,0.1,0.1,0.5100912975912976,0.5184246309246309,0.5136897824397825,-0.8333333333333304,-0.35984848484849064,-0.47348484848483974,0.5136986301369864,0.5205479452054794,0.5136986301369864,0.5131075460487224,0.5213713655917956,0.5152379687612072,True,True
37,c2,1000,L1,spike50,1.0,no_bias,0.001,0.01,0.16716616716616714,0.17486818736818735,0.270263764013764,-0.770202020202021,-10.309759684759687,9.539557664557666,0.1780821917808219,0.18493150684931506,0.2808219178082192,0.11052191938130336,0.1148940024780742,0.2567217715420885,False,False
37,c2,1000,L1,spike50,1.0,affine,0.001,0.001,0.18410755910755913,0.16462703962703962,0.17296037296037295,1.9480519480519516,1.1147186147186183,0.8333333333333331,0.19863013698630136,0.1780821917808219,0.18493150684931506,0.14910585272427376,0.11528045711995133,0.12655888290563214,True,True
37,c2,1000,L1,syn_current,0.25,no_bias,0.1,0.1,0.20536963036963032,0.20536963036963032,0.20536963036963032,0.0,0.0,0.0,0.19863013698630136,0.19863013698630136,0.19863013698630136,0.18735976135401422,0.18735976135401422,0.18735976135401422,False,False
37,c2,1000,L1,syn_current,0.25,affine,0.1,0.1,0.23721278721278719,0.23721278721278719,0.23721278721278719,0.0,0.0,0.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.22329490737152713,0.22329490737152713,0.22329490737152713,True,True
37,c2,1000,L1,syn_current,0.5,no_bias,1.0,1.0,0.5347964535464534,0.5347964535464534,0.5347964535464534,0.0,0.0,0.0,0.5547945205479452,0.5547945205479452,0.5547945205479452,0.5245523586439541,0.5245523586439541,0.5245523586439541,False,False
37,c2,1000,L1,syn_current,0.5,affine,10.0,10.0,0.5378850316350315,0.5378850316350315,0.5378850316350315,0.0,0.0,0.0,0.5547945205479452,0.5547945205479452,0.5547945205479452,0.5285500283214711,0.5285500283214711,0.5275836397247698,True,True
37,c2,1000,L1,syn_current,0.75,no_bias,0.1,0.1,0.5378961316461316,0.5438485125985125,0.5378961316461316,-0.5952380952380931,0.0,-0.5952380952380931,0.547945205479452,0.5547945205479452,0.547945205479452,0.5347333283648886,0.5424418146321218,0.5347333283648886,False,False
37,c2,1000,L1,syn_current,0.75,affine,0.1,0.1,0.5347846597846597,0.5407370407370407,0.5347846597846597,-0.5952380952380931,0.0,-0.5952380952380931,0.541095890410959,0.547945205479452,0.541095890410959,0.5363850655517323,0.5441411983078649,0.5367298439524826,True,True
37,c2,1000,L1,syn_current,1.0,no_bias,10.0,10.0,0.3213258963258963,0.32827034077034073,0.3034687534687534,-0.694444444444442,1.7857142857142905,-2.4801587301587324,0.3287671232876712,0.3356164383561644,0.3082191780821918,0.32070894093026525,0.32566527634141,0.3016432843646087,False,False
37,c2,1000,L1,syn_current,1.0,affine,10.0,10.0,0.33128260628260625,0.33128260628260625,0.33128260628260625,0.0,0.0,0.0,0.3356164383561644,0.3356164383561644,0.3356164383561644,0.33399252390538,0.33399252390538,0.33373335249795916,True,True
37,c2,1000,L1,pre_reset,0.25,no_bias,0.1,0.1,0.2389013764013764,0.2389013764013764,0.2389013764013764,0.0,0.0,0.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.21809392634823668,0.21809392634823668,0.21809392634823668,False,False
37,c2,1000,L1,pre_reset,0.25,affine,0.1,0.1,0.23622072372072375,0.23622072372072375,0.23622072372072375,0.0,0.0,0.0,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.21970704045939574,0.21970704045939574,0.21970704045939574,True,True
37,c2,1000,L1,pre_reset,0.5,no_bias,0.1,0.1,0.50132992007992,0.50132992007992,0.4894251581751581,0.0,1.1904761904761973,-1.1904761904761973,0.5205479452054794,0.5205479452054794,0.5068493150684932,0.4846254177805847,0.4846254177805847,0.47271102861293945,False,False
37,c2,1000,L1,pre_reset,0.5,affine,0.1,1.0,0.4981664169164169,0.4981664169164169,0.4522609335109335,0.0,4.59054834054834,-4.59054834054834,0.5136986301369864,0.5136986301369864,0.4657534246575342,0.4875293669663239,0.4875293669663239,0.4409833724880414,True,True
37,c2,1000,L1,pre_reset,0.75,no_bias,0.01,0.1,0.5334838772338771,0.5410596348096347,0.5292901542901542,-0.7575757575757569,0.41937229437228885,-1.1769480519480457,0.547945205479452,0.5547945205479452,0.5342465753424658,0.5380405620313701,0.5444741967470753,0.5381974599306721,False,False
