architecture,train_regime,objective,mean_delta_ba,sd_delta_ba,mean_snn_test_ba,mean_baseline_test_ba
1h1024,trainable_dynamics,timestep_ce,-0.06389367712897116,0.04411091816088835,0.5627487141580279,0.6266423912869991
1h1024,trainable_dynamics,whole_count_ce,-0.051944175105939704,0.008488781020043032,0.5746982161810593,0.6266423912869991
1h1024,weight_only,timestep_ce,-0.02477572581739244,0.027862675394849826,0.6018666654696067,0.6266423912869991
1h1024,weight_only,whole_count_ce,-0.04309308837495105,0.03643912250874254,0.583549302912048,0.6266423912869991
1h128,trainable_dynamics,timestep_ce,-0.10250659380561333,0.05743504854838176,0.5241357974813857,0.6266423912869991
1h128,trainable_dynamics,whole_count_ce,-0.08846954380042614,0.04563511799976715,0.5381728474865729,0.6266423912869991
1h128,weight_only,timestep_ce,-0.04486957532300665,0.026314020389841316,0.5817728159639924,0.6266423912869991
1h128,weight_only,whole_count_ce,-0.06333053520553505,0.02680986750513591,0.563311856081464,0.6266423912869991
1h256,trainable_dynamics,timestep_ce,-0.06726791500075806,0.026478986455713466,0.559374476286241,0.6266423912869991
1h256,trainable_dynamics,whole_count_ce,-0.06917268688102018,0.04214548818547651,0.5574697044059789,0.6266423912869991
1h256,weight_only,timestep_ce,-0.03238034886319193,0.03257894624447574,0.5942620424238071,0.6266423912869991
1h256,weight_only,whole_count_ce,-0.06777107922941249,0.057150892829923416,0.5588713120575866,0.6266423912869991
1h512,trainable_dynamics,timestep_ce,-0.0735071414605728,0.06320938344709909,0.5531352498264263,0.6266423912869991
1h512,trainable_dynamics,whole_count_ce,-0.04172729276895933,0.02847630823751134,0.5849150985180397,0.6266423912869991
1h512,weight_only,timestep_ce,-0.022598074129936863,0.05631467020641865,0.6040443171570622,0.6266423912869991
1h512,weight_only,whole_count_ce,-0.009441062749886209,0.04945290727191872,0.6172013285371128,0.6266423912869991
2h128,trainable_dynamics,timestep_ce,-0.1242065237776021,0.0378414760046704,0.502435867509397,0.6266423912869991
2h128,trainable_dynamics,whole_count_ce,-0.0848011783060802,0.05749321582340213,0.5418412129809188,0.6266423912869991
2h128,weight_only,timestep_ce,-0.09579889291899085,0.024320073526435233,0.5308434983680083,0.6266423912869991
2h128,weight_only,whole_count_ce,-0.08562400743773291,0.0474218167937211,0.5410183838492661,0.6266423912869991
