architecture,train_regime,objective,mean_delta_ba,sd_delta_ba,mean_snn_test_ba,mean_baseline_test_ba
1h1024,trainable_dynamics,timestep_ce,-0.07132993867062483,0.058717360101290125,0.5553124526163743,0.6266423912869991
1h1024,trainable_dynamics,whole_count_ce,-0.05772141121405818,0.02662971846417201,0.5689209800729409,0.6266423912869991
1h1024,weight_only,timestep_ce,-0.02477572581739244,0.027862675394849826,0.6018666654696067,0.6266423912869991
1h1024,weight_only,whole_count_ce,-0.03874072777259043,0.030127140546458313,0.5879016635144086,0.6266423912869991
1h128,trainable_dynamics,timestep_ce,-0.029597059621569406,0.03108643328179491,0.5970453316654297,0.6266423912869991
1h128,trainable_dynamics,whole_count_ce,-0.06920316203404431,0.035191802513089135,0.5574392292529547,0.6266423912869991
1h128,weight_only,timestep_ce,-0.03704823453597953,0.06369019019125262,0.5895941567510196,0.6266423912869991
1h128,weight_only,whole_count_ce,-0.07093019543999929,0.028518023469552463,0.5557121958469998,0.6266423912869991
1h256,trainable_dynamics,timestep_ce,-0.041750560623109556,0.041211924479127214,0.5848918306638895,0.6266423912869991
1h256,trainable_dynamics,whole_count_ce,-0.05347052638719304,0.055787423045820884,0.573171864899806,0.6266423912869991
1h256,weight_only,timestep_ce,-0.017708183700830753,0.04706446162381005,0.6089342075861683,0.6266423912869991
1h256,weight_only,whole_count_ce,-0.03110947014133277,0.06348116274837257,0.5955329211456662,0.6266423912869991
1h512,trainable_dynamics,timestep_ce,-0.04317162050005182,0.03542416190794635,0.5834707707869472,0.6266423912869991
1h512,trainable_dynamics,whole_count_ce,-0.021821755767834145,0.03524687298279451,0.6048206355191649,0.6266423912869991
1h512,weight_only,timestep_ce,-0.019680389962252704,0.051264568599463135,0.6069620013247463,0.6266423912869991
1h512,weight_only,whole_count_ce,-0.011504046062869514,0.052880283918047784,0.6151383452241296,0.6266423912869991
2h128,trainable_dynamics,timestep_ce,-0.13467571145267215,0.05120836189231323,0.4919666798343269,0.6266423912869991
2h128,trainable_dynamics,whole_count_ce,-0.10142854150207085,0.05310174510373006,0.5252138497849282,0.6266423912869991
2h128,weight_only,timestep_ce,-0.09593408588506618,0.06100644955074348,0.5307083054019329,0.6266423912869991
2h128,weight_only,whole_count_ce,-0.07359467647457839,0.018310133632826103,0.5530477148124207,0.6266423912869991
