n_bins,probe,mean_count_BA,mean_rate_BA,mean_delta_rate_minus_count_BA,sd_delta_rate_minus_count_BA
1,knn5,0.2844865328933956,0.2011204096375665,-0.0833661232558291,0.03156998110505491
1,logreg,0.4080302050890286,0.37267334154589066,-0.03535686354313803,0.02765819231418906
2,knn5,0.4601254886181357,0.3434543284420735,-0.1166711601760621,0.04867479313173447
2,logreg,0.5675369134315212,0.5130429664743391,-0.0544939469571822,0.03952264842116754
4,knn5,0.5689916360872244,0.49764904893581363,-0.07134258715141066,0.06513170033796233
4,logreg,0.6866501100569727,0.6572896443607228,-0.02936046569625002,0.012178387453913116
6,knn5,0.60597140468464,0.5386656712024359,-0.06730573348220414,0.040522998165345644
6,logreg,0.7014951461029892,0.6856679177757609,-0.015827228327228344,0.004620719825844621
8,knn5,0.571552478476498,0.52961850241262,-0.04193397606387803,0.02356299467843891
8,logreg,0.741750009703441,0.7171575043511318,-0.02459250535230928,0.002729058211312212
10,knn5,0.5249131610038472,0.4975010941309961,-0.027412066872851176,0.0403361151406149
10,logreg,0.7433642202024555,0.7146008040615883,-0.028763416140867155,0.037936897338816764
12,knn5,0.47155760679044995,0.4661495140661807,-0.005408092724269213,0.05147766908929048
12,logreg,0.7199039386539386,0.7074702802643978,-0.012433658389540728,0.019324920580729633
16,knn5,0.3779312780538271,0.41690986255937235,0.038978584505545255,0.11535240010162923
16,logreg,0.6848905225130716,0.6551334059912491,-0.029757116521822335,0.008156386141699314
20,knn5,0.33853650207816877,0.3173460163656242,-0.021190485712544577,0.010279953874310412
20,logreg,0.6718619547663666,0.6417803397582809,-0.030081615008085632,0.021275065583978982
