representation,condition,seed,C,accuracy,balanced_accuracy,macro_f1
SNN250,cls_only,11,0.001,0.6031746031746031,0.590244708994709,0.5792928691979167
SNN250,cls_only,11,0.01,0.6428571428571429,0.6441468253968253,0.6285223618938339
SNN250,cls_only,11,0.1,0.626984126984127,0.6234457671957672,0.6172704435271449
SNN250,cls_only,11,1.0,0.6349206349206349,0.6303902116402116,0.6228189154731805
SNN250,cls_only,11,10.0,0.5714285714285714,0.5644179894179894,0.5557734183916488
SNN125,cls_only,11,0.001,0.6507936507936508,0.6466931216931217,0.6347053612404491
SNN125,cls_only,11,0.01,0.6587301587301587,0.6582671957671957,0.6496507097044731
SNN125,cls_only,11,0.1,0.6428571428571429,0.6366402116402117,0.6281881817131898
SNN125,cls_only,11,1.0,0.6507936507936508,0.6435846560846561,0.6324705812629131
SNN125,cls_only,11,10.0,0.5555555555555556,0.5533068783068783,0.5350491161670324
SNN250,cls_only,23,0.001,0.6190476190476191,0.6103835978835979,0.596680926644162
SNN250,cls_only,23,0.01,0.6428571428571429,0.6504960317460318,0.6281266066272461
SNN250,cls_only,23,0.1,0.6190476190476191,0.6245701058201059,0.6073423119458924
SNN250,cls_only,23,1.0,0.5873015873015873,0.5979497354497354,0.5849707193690232
SNN250,cls_only,23,10.0,0.5873015873015873,0.5947089947089946,0.5815148653363756
SNN125,cls_only,23,0.001,0.6428571428571429,0.6419642857142858,0.6269162269498778
SNN125,cls_only,23,0.01,0.6428571428571429,0.6514219576719577,0.6333039858006787
SNN125,cls_only,23,0.1,0.6428571428571429,0.6500330687830688,0.6364299206051125
SNN125,cls_only,23,1.0,0.626984126984127,0.6335978835978836,0.6241708861102454
SNN125,cls_only,23,10.0,0.5952380952380952,0.609292328042328,0.5929242247484944
SNN250,cls_only,101,0.001,0.6428571428571429,0.6257936507936508,0.6185168641252906
SNN250,cls_only,101,0.01,0.6507936507936508,0.6353835978835979,0.6236957652789624
SNN250,cls_only,101,0.1,0.6190476190476191,0.6137235449735451,0.592411118878997
SNN250,cls_only,101,1.0,0.5873015873015873,0.5810846560846561,0.5616191104257959
SNN250,cls_only,101,10.0,0.6111111111111112,0.6019179894179895,0.590238582451111
SNN125,cls_only,101,0.001,0.6587301587301587,0.6410714285714286,0.6323491108707827
SNN125,cls_only,101,0.01,0.6507936507936508,0.6343584656084656,0.6101685623744447
SNN125,cls_only,101,0.1,0.6349206349206349,0.6276124338624338,0.6139485896721032
SNN125,cls_only,101,1.0,0.6111111111111112,0.6081679894179894,0.5891315221243282
SNN125,cls_only,101,10.0,0.5952380952380952,0.5915013227513228,0.5756392460856937
SNN250,con250,11,0.001,0.7619047619047619,0.7453373015873015,0.7382918289440029
SNN250,con250,11,0.01,0.753968253968254,0.7446097883597883,0.7349947324178957
SNN250,con250,11,0.1,0.7301587301587301,0.722387566137566,0.7134023218422195
SNN250,con250,11,1.0,0.7301587301587301,0.722387566137566,0.7114672482958927
SNN250,con250,11,10.0,0.7142857142857143,0.7071097883597884,0.69632859797025
SNN125,con250,11,0.001,0.7777777777777778,0.7641865079365079,0.7553407522429261
SNN125,con250,11,0.01,0.746031746031746,0.7376653439153439,0.7237125354516659
SNN125,con250,11,0.1,0.7222222222222222,0.7104828042328042,0.6984406996321627
SNN125,con250,11,1.0,0.7142857142857143,0.7071097883597884,0.6947675666457916
SNN125,con250,11,10.0,0.6984126984126984,0.6918320105820106,0.679561677526859
SNN250,con250,23,0.001,0.6031746031746031,0.590244708994709,0.5889270115743228
SNN250,con250,23,0.01,0.6349206349206349,0.630026455026455,0.618500290559114
SNN250,con250,23,0.1,0.6031746031746031,0.598776455026455,0.587751361125974
SNN250,con250,23,1.0,0.6031746031746031,0.5997023809523809,0.5911509470062101
SNN250,con250,23,10.0,0.5555555555555556,0.5534060846560847,0.5399683595963086
SNN125,con250,23,0.001,0.6428571428571429,0.6347883597883598,0.6278289898425352
SNN125,con250,23,0.01,0.6031746031746031,0.6008597883597883,0.5864461926961927
SNN125,con250,23,0.1,0.6031746031746031,0.6017857142857143,0.5913941628966083
SNN125,con250,23,1.0,0.5793650793650794,0.5773809523809524,0.5620624114770231
SNN125,con250,23,10.0,0.5714285714285714,0.5681216931216931,0.5553642875239971
SNN250,con250,101,0.001,0.6587301587301587,0.6424603174603175,0.636212840291603
SNN250,con250,101,0.01,0.6507936507936508,0.6402447089947091,0.630696485221769
SNN250,con250,101,0.1,0.6428571428571429,0.6309854497354498,0.6152383005233882
SNN250,con250,101,1.0,0.626984126984127,0.6121362433862435,0.599265311488805
SNN250,con250,101,10.0,0.6031746031746031,0.5899140211640211,0.5749721110728975
SNN125,con250,101,0.001,0.6825396825396826,0.6694113756613757,0.6564923064314545
SNN125,con250,101,0.01,0.6587301587301587,0.6471891534391535,0.634200113967382
