configuration,configuration_label,objective,layer,shift,tau_syn_ms,mean,std
single_scale_2,Single-scale 2,timestep_ce,L1,2,54.31342963722199,0.011207063176496576,0.0018277847748074396
single_scale_2,Single-scale 2,timestep_ce,L2,2,54.31342963722199,0.09374374413242766,0.016992328467816436
single_scale_2,Single-scale 2,relative_10bin_ce,L1,2,54.31342963722199,0.005782147393417275,0.0006793777535892639
single_scale_2,Single-scale 2,relative_10bin_ce,L2,2,54.31342963722199,0.03946028688977248,0.009521838848558397
single_scale_3,Single-scale 3,timestep_ce,L1,3,117.0136826471659,0.02481573234205876,0.0021659523676918857
single_scale_3,Single-scale 3,timestep_ce,L2,3,117.0136826471659,0.18305660826706427,0.004241830562226282
single_scale_3,Single-scale 3,relative_10bin_ce,L1,3,117.0136826471659,0.014349665893527722,0.002100485615708342
single_scale_3,Single-scale 3,relative_10bin_ce,L2,3,117.0136826471659,0.10221505170366689,0.012493911071337339
short_to_multi_scale,Short → Multi-scale,timestep_ce,L1,2,54.31342963722199,0.0016623350176717471,0.0007468024629572428
short_to_multi_scale,Short → Multi-scale,timestep_ce,L1,3,117.0136826471659,0.01576176620830572,0.0027915295478660165
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,2,54.31342963722199,0.024283591381006886,0.0016945981097947803
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,3,117.0136826471659,0.04453569587764419,0.013015051857186606
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,4,242.10347130039656,0.08897935140479872,0.012358031982493956
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,5,492.1461612435418,0.1790855396720208,0.03855840948563337
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,6,992.1669944116244,0.19115465934551423,0.04318564861360597
short_to_multi_scale,Short → Multi-scale,timestep_ce,L2,7,1992.177287539818,0.1949929212603169,0.013599557522339876
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L1,2,54.31342963722199,0.0007994567318312349,0.00023359591001270518
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L1,3,117.0136826471659,0.012308958747514911,0.0023420622908951316
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,2,54.31342963722199,0.033753288350703854,0.007040524346042454
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,3,117.0136826471659,0.06021148242818223,0.023510880972609532
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,4,242.10347130039656,0.06934714464535538,0.005791600462680336
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,5,492.1461612435418,0.08571191896241598,0.02138668669813551
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,6,992.1669944116244,0.10278934856469647,0.04566921128796296
short_to_multi_scale,Short → Multi-scale,relative_10bin_ce,L2,7,1992.177287539818,0.13032035062353153,0.0349717657299281
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,2,54.31342963722199,0.0010229029861236621,0.0006906437022394656
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,3,117.0136826471659,0.010889688325075997,0.004195216203461683
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,4,242.10347130039656,0.027091419735554925,0.006514325386545916
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,5,492.1461612435418,0.06160392144487572,0.0048343837260331705
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,6,992.1669944116244,0.1120827942398519,0.03224557012157255
multi_scale_to_short,Multi-scale → Short,timestep_ce,L1,7,1992.177287539818,0.0752931903528325,0.0185373676240552
multi_scale_to_short,Multi-scale → Short,timestep_ce,L2,2,54.31342963722199,0.09654615708526619,0.008220385287939891
multi_scale_to_short,Multi-scale → Short,timestep_ce,L2,3,117.0136826471659,0.16281089504638835,0.013844063083893217
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,2,54.31342963722199,0.0006275478442476454,0.0003773624221684992
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,3,117.0136826471659,0.006003660576225189,0.0016759433295221464
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,4,242.10347130039656,0.02960149157962279,0.004330222364675764
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,5,492.1461612435418,0.0492481618227145,0.010657836804641715
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,6,992.1669944116244,0.10228444149915322,0.03337353290851071
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L1,7,1992.177287539818,0.05930829166415647,0.0056696050931822
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L2,2,54.31342963722199,0.08860595109896179,0.01038537926110582
multi_scale_to_short,Multi-scale → Short,relative_10bin_ce,L2,3,117.0136826471659,0.15357464587475148,0.024122545814356244
