representation,split_seed,exp341_test_ba,reference_test_ba,difference,abs_difference
relative10,11,0.817824074074074,0.817824074074074,0.0,0.0
relative10,23,0.6836465141612201,0.6836465141612201,0.0,0.0
relative10,37,0.7286220723720724,0.7286220723720724,0.0,0.0
relative10,53,0.6054778554778554,0.6054778554778554,0.0,0.0
relative10,71,0.7381273342670401,0.7381273342670401,0.0,0.0
fixed250,11,0.683183551198257,0.683183551198257,0.0,0.0
fixed250,23,0.5375632197323373,0.5375632197323373,0.0,0.0
fixed250,37,0.6102904040404041,0.6102904040404041,0.0,0.0
fixed250,53,0.4664432789432789,0.4664432789432789,0.0,0.0
fixed250,71,0.6269286881419234,0.6269286881419234,0.0,0.0
fixed500,11,0.6476988017429194,0.6476988017429194,0.0,0.0
fixed500,23,0.5711260893246187,0.5711260893246187,0.0,0.0
fixed500,37,0.5881042568542568,0.5881042568542568,0.0,0.0
fixed500,53,0.6331585081585082,0.6331585081585082,0.0,0.0
fixed500,71,0.5787406629318393,0.5787406629318393,0.0,0.0
