architecture,seed,binary,multi_h,multi_o,multi_ho,hidden_effect_at_output1,output_effect_at_hidden1,hidden_effect_at_output31,output_effect_at_hidden31,interaction
ff,11,0.2598720723720724,0.2646201021201021,0.3265519203019203,0.3274087024087024,0.004748029748029736,0.06667984792984794,0.0008567821067820836,0.06278860028860028,-0.0038912476412476527
ff,23,0.28327089577089576,0.3060730935730936,0.23901098901098902,0.3374895937395938,0.022802197802197832,-0.044259906759906736,0.09847860472860478,0.031416500166500216,0.07567640692640695
ff,37,0.3252331002331002,0.24890248640248638,0.2897102897102897,0.3136058386058386,-0.07633061383061382,-0.03552281052281048,0.0238955488955489,0.06470335220335224,0.10022616272616272
ff,53,0.29321234321234324,0.24152999777999776,0.27455877455877453,0.3471355033855033,-0.05168234543234548,-0.01865356865356871,0.07257672882672878,0.10560550560550555,0.12425907425907426
ff,71,0.3008706571206571,0.29735819735819735,0.29951853701853703,0.3435279997779998,-0.00351245976245973,-0.0013521201021200469,0.04400946275946277,0.04616980241980245,0.0475219225219225
rsnn,11,0.36220793095793097,0.3271908646908646,0.3699217449217449,0.3855443167943167,-0.035017066267066355,0.007713813963813931,0.015622571872571822,0.05835345210345211,0.05063963813963818
rsnn,23,0.37274877899877895,0.24418636918636918,0.311019536019536,0.3986686924186924,-0.12856240981240977,-0.061729242979242926,0.08764915639915638,0.15448232323232322,0.21621156621156615
rsnn,37,0.31038822288822293,0.17621545121545124,0.29086746586746587,0.40603077478077476,-0.1341727716727717,-0.019520757020757062,0.11516330891330889,0.22981532356532353,0.2493360805860806
rsnn,53,0.39361124986124985,0.2080863580863581,0.31184232434232434,0.45047938172938173,-0.18552489177489176,-0.0817689255189255,0.1386370573870574,0.24239302364302365,0.3241619491619492
rsnn,71,0.332788739038739,0.2734522422022422,0.35254884004883996,0.39747613497613493,-0.05933649683649683,0.01976010101010095,0.04492729492729497,0.12402389277389275,0.1042637917637918
