objective,variant,readout,mean,std,count
fixed250_bin_ce,binary,l1_whole_count_linear,-0.00864454989454988,0.023819669483135995,5
fixed250_bin_ce,binary,l2_fixed250_ordered_linear,-0.0627980352980353,0.037404886382231,5
fixed250_bin_ce,binary,l2_relative10_ordered_linear,-0.05118922743922742,0.03293497830389349,5
fixed250_bin_ce,binary,l2_uend_linear,-0.00834595959595964,0.02604326368539111,5
fixed250_bin_ce,binary,l2_whole_count_linear,-0.036935980685980654,0.025217044739738733,5
fixed250_bin_ce,binary,output_whole_count,-0.05557026307026307,0.03954447462092519,5
fixed250_bin_ce,multi_h,l1_whole_count_linear,-0.05318167943167944,0.034705859771989624,5
fixed250_bin_ce,multi_h,l2_fixed250_ordered_linear,-0.04361499611499612,0.03633277634040316,5
fixed250_bin_ce,multi_h,l2_relative10_ordered_linear,-0.022720751470751456,0.05781007819667586,5
fixed250_bin_ce,multi_h,l2_uend_linear,0.0063210400710400514,0.043644378335624325,5
fixed250_bin_ce,multi_h,l2_whole_count_linear,-0.04655885780885784,0.05816436921823241,5
fixed250_bin_ce,multi_h,output_whole_count,-0.05118561993561993,0.030050003544136415,5
fixed250_bin_ce,multi_ho,l1_whole_count_linear,-0.040861777111777096,0.04685801302591613,5
fixed250_bin_ce,multi_ho,l2_fixed250_ordered_linear,-0.024864718614718596,0.049678837344649035,5
fixed250_bin_ce,multi_ho,l2_relative10_ordered_linear,-0.028279775779775716,0.03588713718371594,5
fixed250_bin_ce,multi_ho,l2_uend_linear,-0.03639430014430013,0.044721711637290044,5
fixed250_bin_ce,multi_ho,l2_whole_count_linear,-0.021037296037296038,0.06145099795826064,5
fixed250_bin_ce,multi_ho,output_whole_count,-0.01689962814962811,0.051290781890173824,5
fixed500_bin_ce,binary,l1_whole_count_linear,-0.04663572538572537,0.020312969007864445,5
fixed500_bin_ce,binary,l2_fixed250_ordered_linear,-0.017434648684648668,0.04002495351595122,5
fixed500_bin_ce,binary,l2_relative10_ordered_linear,-0.0357059607059607,0.020579160204933965,5
fixed500_bin_ce,binary,l2_uend_linear,-0.005015540015540054,0.03210168556003217,5
fixed500_bin_ce,binary,l2_whole_count_linear,-0.038518148518148485,0.03588204274066693,5
fixed500_bin_ce,binary,output_whole_count,-0.06200951825951826,0.035812113217020054,5
fixed500_bin_ce,multi_h,l1_whole_count_linear,-0.02114371739371741,0.0575056206464558,5
