objective,phase_weight,progress_weight,seed,fixed_when_architecture,ordered_phase_ba,reset_phase_ba,shuffle_phase_ba,H_reset_phase_ba,H_shuffle_phase_ba,ordered_progress_mae,reset_progress_mae,shuffle_progress_mae,H_reset_progress_mae,H_shuffle_progress_mae,ordered_spearman,reset_spearman,shuffle_spearman,H_reset_spearman,H_shuffle_spearman
phase_only,1.0,0.0,11,rsnn_shortmem,0.34542056231670626,0.3183388909857105,0.23159585938789212,0.02708167133099576,0.11382470292881414,0.12965056187894247,0.14756256066364784,0.19159663683951716,0.01791199878470537,0.06194607496057469,0.9388784757241235,0.8642234469130593,0.6202245471232523,0.07465502881106423,0.3186539286008713
phase_only,1.0,0.0,23,rsnn_shortmem,0.36321816864189993,0.32143631971638803,0.2556835135541144,0.0417818489255119,0.10753465508778554,0.12249497946811048,0.14263614996859472,0.18208216667583543,0.020141170500484237,0.05958718720772495,0.9377768368583566,0.8785972668215669,0.7025891890056932,0.05917957003678964,0.23518764785266333
phase_only,1.0,0.0,37,rsnn_shortmem,0.36300623221313544,0.3217246738805601,0.2792616984691344,0.04128155833257535,0.08374453374400104,0.1231906761810796,0.1482744182217611,0.1616091724740316,0.025083742040681506,0.03841849629295199,0.9503672785218182,0.8489702560550975,0.7478872759193381,0.10139702246672078,0.2024800026024801
phase_only,1.0,0.0,53,rsnn_shortmem,0.36993051052420445,0.3134857415214843,0.26736537458462195,0.05644476900272016,0.1025651359395825,0.12304065570439378,0.145878209234917,0.16974844931535524,0.022837553530523233,0.04670779361096146,0.94780774156774,0.8629259667696576,0.7086059968247536,0.08488177479808234,0.2392017447429864
phase_only,1.0,0.0,71,rsnn_shortmem,0.34888763312641213,0.31223689889594963,0.263439314662769,0.0366507342304625,0.08544831846364315,0.12737795618707187,0.1459430857778412,0.1719631172206304,0.018565129590769336,0.04458516103355853,0.9369189237866024,0.8626416879363829,0.7010839726598836,0.0742772358502195,0.2358349511267187
phase_heavy,5.0,1.0,11,rsnn_shortmem,0.36255114174797337,0.31310547681833434,0.2346529981439281,0.04944566492963903,0.12789814360404528,0.12672121200251252,0.14806966682615347,0.19093341706958533,0.02134845482364095,0.06421220506707281,0.9394787809201003,0.8655961670772979,0.6082486556321568,0.07388261384280237,0.3312301252879435
phase_heavy,5.0,1.0,23,rsnn_shortmem,0.35630687691791485,0.32244458386074987,0.25772499927123477,0.03386229305716498,0.09858187764668008,0.12195952861786705,0.1424895526509579,0.1817044755571509,0.020530024033090843,0.059744946939283866,0.9377093937421854,0.8804711917300536,0.7197573640895081,0.05723820201213181,0.21795202965267735
phase_heavy,5.0,1.0,37,rsnn_shortmem,0.357156929418181,0.32070013949948006,0.27713777910019155,0.03645678991870094,0.08001915031798945,0.12833835419318448,0.1487533600669201,0.1645459588668118,0.020415005873735625,0.036207604673627325,0.949463051773713,0.846942769766298,0.766452856781872,0.10252028200741503,0.183010194991841
phase_heavy,5.0,1.0,53,rsnn_shortmem,0.356647957039686,0.31417483238554206,0.2545758933890105,0.042473124654143934,0.1020720636506755,0.12378495931625366,0.14534527257288973,0.1727207702826964,0.02156031325663607,0.04893581096644273,0.9457673167596237,0.8648866364513249,0.671600596289955,0.08088068030829876,0.2741667204696686
phase_heavy,5.0,1.0,71,rsnn_shortmem,0.3574905506403437,0.31269324089849926,0.2552718913328362,0.04479730974184443,0.10221865930750751,0.1294410592838101,0.1474472595098084,0.186679258197546,0.018006200225998276,0.05723819891373588,0.9160149740425378,0.8589570234815168,0.635534216386636,0.05705795056102103,0.28048075765590186
joint,1.0,1.0,11,rsnn_shortmem,0.35357947065161355,0.318747908863666,0.23501517129520894,0.03483156178794755,0.11856429935640461,0.1271279613193992,0.14761042528568882,0.19047042332487565,0.02048246396628961,0.06334246200547644,0.9427004928754017,0.8668782969112149,0.6071926259379236,0.07582219596418682,0.33550786693747814
joint,1.0,1.0,23,rsnn_shortmem,0.3640194564671617,0.3211343779554835,0.25226830896641567,0.04288507851167822,0.11175114750074605,0.12482805616439205,0.14164584175976988,0.1845960220551654,0.016817785595377832,0.05976796589077335,0.9354127936877089,0.8813734527325656,0.7024132746585033,0.05403934095514329,0.23299951902920557
joint,1.0,1.0,37,rsnn_shortmem,0.3667578840323028,0.3176320541894205,0.28105874007939874,0.04912582984288233,0.08569914395290407,0.12390386394850195,0.14884179861169972,0.16104549116467776,0.02493793466319777,0.03714162721617581,0.9463236839355754,0.845938974475649,0.7827408907809325,0.10038470945992639,0.16358279315464297
joint,1.0,1.0,53,rsnn_shortmem,0.355780475698274,0.31736401758401234,0.27051575101943487,0.03841645811426164,0.08526472467883911,0.12354494562398081,0.14605185614056784,0.16439588597580176,0.022506910516587028,0.04085094035182095,0.9484995537920603,0.8626917430984166,0.7485574222353826,0.08580781069364374,0.19994213155667773
joint,1.0,1.0,71,rsnn_shortmem,0.3529374369614095,0.31310763231125605,0.27219927474934885,0.039829804650153455,0.08073816221206065,0.12706281982158144,0.14690757093772497,0.17315362557156447,0.019844751116143533,0.04609080574998303,0.9392361291820363,0.8614240640125703,0.7214831780467809,0.07781206516946593,0.2177529511352554
progress_heavy,0.2,1.0,11,rsnn_shortmem,0.3449732840630766,0.3135910485940745,0.23373241689340105,0.031382235469002095,0.11124086716967554,0.12915253057463527,0.14905944987110895,0.19283985704795953,0.019906919296473674,0.06368732647332426,0.9264798134840646,0.8619349117268607,0.592965168114051,0.06454490175720395,0.33351464537001363
progress_heavy,0.2,1.0,23,rsnn_shortmem,0.3621234470829434,0.31814363573196325,0.27012064479857284,0.04397981135098017,0.09200280228437058,0.12473766868040986,0.1405340007519069,0.17306325570361253,0.015796332071497027,0.048325587023202665,0.929763484141111,0.8836783894387698,0.7481591195355012,0.046085094702341234,0.1816043646056098
progress_heavy,0.2,1.0,37,rsnn_shortmem,0.34994221916542767,0.3153631410635894,0.2914657655623054,0.034579078101838245,0.05847645360312226,0.12623485869230472,0.14843189323397532,0.15751516361759133,0.0221970345416706,0.031280304925286606,0.9353774627090933,0.8467742700016123,0.8353201173032266,0.08860319270748096,0.10005734540586664
progress_heavy,0.2,1.0,53,rsnn_shortmem,0.3500317058099731,0.3160834530666997,0.2822794485679241,0.0339482527432734,0.06775225724204903,0.12494653575632671,0.14639796224767215,0.15698983795838814,0.021451426491345446,0.03204330220206143,0.9525552528171398,0.8593099032856742,0.7848386590817096,0.09324534953146557,0.16771659373543024
