condition,front_end,ff_width,rsnn_width,seed,parameter_count,recurrent_parameter_count,source,dead_fr_threshold,dead_neuron_fraction,highly_active_fr_threshold,highly_active_neuron_fraction,mean_firing_rate,mean_firing_rate_hz,median_neuron_firing_rate,n_neurons,n_valid_timesteps
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,0.0001,0.0,0.1,0.890625,0.32108520750497016,20.54945328031809,0.2628396288933068,64,12072
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,0.0001,0.0,0.1,0.875,0.3987106009774685,25.517478462557985,0.39993373094764745,64,12072
direct_rsnn64,direct,0,64,37,13003,4096,reused_exp5_3_2_2_h64,0.0001,0.0,0.1,0.765625,0.32539787317760105,20.825463883366467,0.3117544731610338,64,12072
direct_rsnn64,direct,0,64,53,13003,4096,reused_exp5_3_2_2_h64,0.0001,0.0,0.1,0.703125,0.35856864024188206,22.948392975480452,0.35118455931080184,64,12072
direct_rsnn64,direct,0,64,71,13003,4096,reused_exp5_3_2_2_h64,0.0001,0.0,0.1,0.765625,0.34840307115639496,22.297796554009278,0.3550364479787939,64,12072
linear64_rsnn64,linear,64,64,11,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.875,0.3063403433565275,19.60578197481776,0.28027667329357187,64,12072
linear64_rsnn64,linear,64,64,23,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.75,0.30910759401921806,19.782886017229956,0.228006958250497,64,12072
linear64_rsnn64,linear,64,64,37,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.765625,0.2770538228959576,17.731444665341286,0.22245692511597084,64,12072
linear64_rsnn64,linear,64,64,53,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.828125,0.3196899333167661,20.46015573227303,0.2468522200132538,64,12072
linear64_rsnn64,linear,64,64,71,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.890625,0.34095168571901924,21.82090788601723,0.30040589794565936,64,12072
ffsnn64_rsnn64,ff_snn,64,64,11,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.734375,0.3264061464546057,20.889993373094764,0.27075049701789267,64,12072
ffsnn64_rsnn64,ff_snn,64,64,23,17099,4096,trained_exp5_3_2_3,0.0001,0.015625,0.1,0.640625,0.2689863423624917,17.21512591119947,0.199759774685222,64,12072
ffsnn64_rsnn64,ff_snn,64,64,37,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.734375,0.27533108639827697,17.621189529489726,0.21955765407554673,64,12072
ffsnn64_rsnn64,ff_snn,64,64,53,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.734375,0.3076268948807157,19.688121272365805,0.2941931742876077,64,12072
ffsnn64_rsnn64,ff_snn,64,64,71,17099,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.84375,0.2915268803843605,18.65772034459907,0.262259774685222,64,12072
ffsnn128_rsnn64,ff_snn,128,64,11,29387,4096,trained_exp5_3_2_3,0.0001,0.015625,0.1,0.78125,0.31937670849900596,20.44010934393638,0.27041915175612985,64,12072
ffsnn128_rsnn64,ff_snn,128,64,23,29387,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.84375,0.3454882683068257,22.111249171636846,0.30152418820410865,64,12072
ffsnn128_rsnn64,ff_snn,128,64,37,29387,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.71875,0.2698742441186216,17.271951623591782,0.25451457919151754,64,12072
ffsnn128_rsnn64,ff_snn,128,64,53,29387,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.8125,0.2591145833333333,16.583333333333332,0.18629887342611,64,12072
ffsnn128_rsnn64,ff_snn,128,64,71,29387,4096,trained_exp5_3_2_3,0.0001,0.0,0.1,0.625,0.2858448268721007,18.294068919814446,0.23910702451954935,64,12072
