seed,axis,position,model,balanced_accuracy
11,relative_fraction,0.1,what_only,0.07575757575757576
11,relative_fraction,0.1,selected,0.07575757575757576
11,relative_fraction,0.2,what_only,0.15432900432900432
11,relative_fraction,0.2,selected,0.12337662337662338
11,relative_fraction,0.3,what_only,0.13327505827505828
11,relative_fraction,0.3,selected,0.10990051615051614
11,relative_fraction,0.4,what_only,0.15290681540681542
11,relative_fraction,0.4,selected,0.14250124875124875
11,relative_fraction,0.5,what_only,0.2095265845265845
11,relative_fraction,0.5,selected,0.22034215784215783
11,relative_fraction,0.6,what_only,0.2552475302475303
11,relative_fraction,0.6,selected,0.21988428238428237
11,relative_fraction,0.7,what_only,0.31081210456210456
11,relative_fraction,0.7,selected,0.26917665667665663
11,relative_fraction,0.8,what_only,0.3708319458319458
11,relative_fraction,0.8,selected,0.32861027861027864
11,relative_fraction,0.9,what_only,0.3987741425241425
11,relative_fraction,0.9,selected,0.399802281052281
11,relative_fraction,1.0,what_only,0.44606851481851484
11,relative_fraction,1.0,selected,0.45224428349428347
11,elapsed_seconds,0.25,what_only,0.09472194472194471
11,elapsed_seconds,0.25,selected,0.09082584082584082
11,elapsed_seconds,0.5,what_only,0.18163641913641912
11,elapsed_seconds,0.5,selected,0.13893190143190143
11,elapsed_seconds,0.75,what_only,0.2285721223221223
11,elapsed_seconds,0.75,selected,0.20854562104562105
11,elapsed_seconds,1.0,what_only,0.32252261627261625
11,elapsed_seconds,1.0,selected,0.2631611444111444
11,elapsed_seconds,1.25,what_only,0.4089653402153402
11,elapsed_seconds,1.25,selected,0.38534312909312907
11,elapsed_seconds,1.5,what_only,0.43578712953712956
11,elapsed_seconds,1.5,selected,0.4260538073038073
11,elapsed_seconds,1.75,what_only,0.4401161338661339
11,elapsed_seconds,1.75,selected,0.44391095016095017
11,elapsed_seconds,2.0,what_only,0.44606851481851484
11,elapsed_seconds,2.0,selected,0.45224428349428347
11,elapsed_seconds,2.25,what_only,0.44606851481851484
11,elapsed_seconds,2.25,selected,0.45224428349428347
11,elapsed_seconds,2.5,what_only,0.44606851481851484
11,elapsed_seconds,2.5,selected,0.45224428349428347
11,elapsed_seconds,2.75,what_only,0.44606851481851484
11,elapsed_seconds,2.75,selected,0.45224428349428347
11,elapsed_seconds,3.0,what_only,0.44606851481851484
11,elapsed_seconds,3.0,selected,0.45224428349428347
11,elapsed_seconds,3.25,what_only,0.44606851481851484
11,elapsed_seconds,3.25,selected,0.45224428349428347
11,elapsed_seconds,3.5,what_only,0.44606851481851484
11,elapsed_seconds,3.5,selected,0.45224428349428347
11,elapsed_seconds,3.75,what_only,0.44606851481851484
11,elapsed_seconds,3.75,selected,0.45224428349428347
11,elapsed_seconds,4.0,what_only,0.44606851481851484
11,elapsed_seconds,4.0,selected,0.45224428349428347
23,relative_fraction,0.1,what_only,0.09267399267399268
23,relative_fraction,0.1,selected,0.08596403596403596
23,relative_fraction,0.2,what_only,0.13404095904095903
23,relative_fraction,0.2,selected,0.09781884781884782
23,relative_fraction,0.3,what_only,0.14819486069486068
23,relative_fraction,0.3,selected,0.15347291597291596
23,relative_fraction,0.4,what_only,0.15279442779442778
23,relative_fraction,0.4,selected,0.13817224442224443
23,relative_fraction,0.5,what_only,0.19810675435675432
23,relative_fraction,0.5,selected,0.14179362304362303
23,relative_fraction,0.6,what_only,0.2551101676101675
23,relative_fraction,0.6,selected,0.14563977688977686
23,relative_fraction,0.7,what_only,0.2697184759684759
23,relative_fraction,0.7,selected,0.1972631535131535
23,relative_fraction,0.8,what_only,0.3798715173715173
23,relative_fraction,0.8,selected,0.2885690698190698
23,relative_fraction,0.9,what_only,0.4407550782550782
23,relative_fraction,0.9,selected,0.42553071928071934
23,relative_fraction,1.0,what_only,0.49152375402375403
23,relative_fraction,1.0,selected,0.5266899766899766
23,elapsed_seconds,0.25,what_only,0.12036574536574535
23,elapsed_seconds,0.25,selected,0.08390914640914642
23,elapsed_seconds,0.5,what_only,0.13718503718503716
23,elapsed_seconds,0.5,selected,0.13083097458097456
23,elapsed_seconds,0.75,what_only,0.2066482128982129
23,elapsed_seconds,0.75,selected,0.14961913086913084
23,elapsed_seconds,1.0,what_only,0.3325119325119325
23,elapsed_seconds,1.0,selected,0.2987318237318237
23,elapsed_seconds,1.25,what_only,0.4083888333888333
23,elapsed_seconds,1.25,selected,0.4014554889554889
23,elapsed_seconds,1.5,what_only,0.45180513930513927
23,elapsed_seconds,1.5,selected,0.48339993339993326
23,elapsed_seconds,1.75,what_only,0.49152375402375403
23,elapsed_seconds,1.75,selected,0.5207375957375957
23,elapsed_seconds,2.0,what_only,0.49152375402375403
23,elapsed_seconds,2.0,selected,0.5266899766899766
23,elapsed_seconds,2.25,what_only,0.49152375402375403
23,elapsed_seconds,2.25,selected,0.5266899766899766
23,elapsed_seconds,2.5,what_only,0.49152375402375403
23,elapsed_seconds,2.5,selected,0.5266899766899766
23,elapsed_seconds,2.75,what_only,0.49152375402375403
23,elapsed_seconds,2.75,selected,0.5266899766899766
