anchor,seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,what_norm_ratio,coordinate_a,coordinate_b,coordinate_abs_delta,anchor_q_l1_distance,delta_z_l1_distance,q_l1_distance,delta_w_pair_fro,top_support_a,top_support_b,different_top_support,anchor_margin_a,residual_margin_a,margin_delta_a,anchor_margin_b,residual_margin_b,margin_delta_b
clock,11,79,51,5,80,43,2,1.0,1.0,0.796875,0.671875,0.125,0.1048296090302756,0.0133357308804988,0.1042022957844892,0.0006076331805093,8,8,False,-0.1165680475533008,-0.1164855100214481,8.253753185272217e-05,-0.0869201058521866,-0.0868681166321039,5.198922008275986e-05
clock,11,55,14,4,70,14,7,1.0,1.0,0.21875,0.21875,0.0,0.0,0.0094948159530758,0.0003052044958167,0.0001915787104993,9,9,False,-0.0305300438776612,-0.0306527707725763,-0.0001227268949151,-0.0107421060092747,-0.0108550596050918,-0.000112953595817
clock,11,56,9,3,89,12,8,0.9999999403953552,1.0,0.140625,0.1875,0.046875,0.030366645542017,0.0102302422747015,0.028979250930206,0.0009612474384892,8,8,False,-0.0293195508420467,-0.0293958559632301,-7.630512118339539e-05,0.0049219205975532,0.0047097653150558,-0.0002121552824974
clock,11,119,12,1,56,9,3,0.9999999403953552,1.0,0.1875,0.140625,0.046875,0.030366645542017,0.0102302422747015,0.028979250930206,0.0009612474384892,8,8,False,-0.038300116546452,-0.0383050725795328,-4.956033080816269e-06,-0.0293195508420467,-0.0293958559632301,-7.630512118339539e-05
clock,11,89,12,8,119,12,1,0.9999999403953552,1.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,8,8,False,0.0049219205975532,0.0047097653150558,-0.0002121552824974,-0.038300116546452,-0.0383050725795328,-4.956033080816269e-06
oracle_progress,11,98,15,0,10,17,9,1.0,1.0,0.1515151515151515,0.1588785046728972,0.0073633531577456,0.0230167725967476,0.0,0.0230167725967476,0.0,9,9,False,-0.0473032910376787,-0.0473032910376787,0.0,0.0046866033226251,0.0046866033226251,0.0
oracle_progress,11,103,3,5,55,7,4,1.0,1.0,0.029126213592233,0.075268817204301,0.046142603612068,0.1178591062571285,0.0,0.1178591062571285,0.0,2,2,False,-0.0329727940261364,-0.0329727940261364,0.0,-0.0345673151314258,-0.0345673151314258,0.0
clock,23,79,46,5,80,40,2,1.0,1.0,0.71875,0.625,0.09375,0.0777472227782709,0.0,0.0777472227782709,0.0,8,8,False,-0.0179851166903972,-0.0179851166903972,0.0,-0.0275126276537776,-0.0275126276537776,0.0
clock,23,80,45,2,79,46,5,1.0,1.0,0.703125,0.71875,0.015625,0.0130639870185405,0.0,0.0130639870185405,0.0,8,8,False,-0.0255408883094787,-0.0255408883094787,0.0,-0.0179851166903972,-0.0179851166903972,0.0
clock,23,83,18,6,108,13,2,1.0,1.0,0.28125,0.203125,0.078125,0.0534115720547561,0.0,0.0534115720547561,0.0,7,7,False,-0.0390918049961328,-0.0390918049961328,0.0,-0.0044474061578512,-0.0044474061578512,0.0
clock,23,100,12,6,84,10,0,1.0,1.0,0.1875,0.15625,0.03125,0.020358859510452,0.0,0.020358859510452,0.0,3,3,False,-0.0529230460524559,-0.0529230460524559,0.0,-0.0147373783402144,-0.0147373783402144,0.0
clock,23,100,13,6,84,6,0,1.0,1.0,0.203125,0.09375,0.109375,0.070045469937213,0.0,0.070045469937213,0.0,5,5,False,-0.0163275869563221,-0.0163275869563221,0.0,-0.0259545966982841,-0.0259545966982841,0.0
clock,23,118,13,7,108,13,2,1.0,1.0,0.203125,0.203125,0.0,0.0,0.0,0.0,0.0,7,7,False,0.0044474061578512,0.0044474061578512,0.0,-0.0044474061578512,-0.0044474061578512,0.0
oracle_progress,23,11,9,0,56,10,3,1.0,1.0,0.087378640776699,0.1282051282051282,0.0408264874284291,0.1184616001337417,0.0,0.1184616001337417,0.0,7,7,False,-0.0477584917098283,-0.0477584917098283,0.0,-0.0124796740710735,-0.0124796740710735,0.0
oracle_progress,23,83,18,6,56,10,3,1.0,1.0,0.1764705882352941,0.1282051282051282,0.0482654600301659,0.150141484940832,0.0,0.150141484940832,0.0,7,7,False,-0.0191584629938006,-0.0191584629938006,0.0,-0.0124796740710735,-0.0124796740710735,0.0
oracle_progress,23,84,11,0,100,13,6,1.0,1.0,0.1235955056179775,0.1262135922330097,0.0026180866150321,0.0078385826054727,0.0,0.0078385826054727,0.0,5,5,False,-0.0217604571953415,-0.0217604571953415,0.0,-0.0161708462983369,-0.0161708462983369,0.0
clock,37,55,6,4,119,13,1,1.0,1.0,0.09375,0.203125,0.109375,0.070045469937213,0.0538059808313846,0.0745495519686301,0.0032469332417122,6,6,False,-0.0320958700031042,-0.0320623670704662,3.350293263792992e-05,-0.0044132247567176,-0.0043843351304531,2.8889626264572144e-05
clock,37,103,7,5,96,15,9,1.0,1.0,0.109375,0.234375,0.125,0.0814203236932371,0.0284191779792308,0.0837555925227206,0.0018706809123409,8,8,False,-0.0219574458897113,-0.02165655978024,0.0003008861094713,-0.0342918293317779,-0.0340792931383475,0.0002125361934304
clock,37,25,16,2,96,15,9,1.0,1.0,0.25,0.234375,0.015625,0.0106834482430713,0.0032027859706431,0.0103206967796722,0.0002678256958045,8,8,False,-0.0238705528900027,-0.0237468741834163,0.0001236787065863,-0.0342918293317779,-0.0340792931383475,0.0002125361934304
clock,37,64,15,8,86,17,6,1.0,1.0,0.234375,0.265625,0.03125,0.0214760000981186,8.36147228255868e-06,0.0214594163244328,5.398847181039289e-05,8,8,False,0.0060284193605184,0.0059927497059106,-3.566965460777283e-05,-0.0061982395127415,-0.0061621712520718,3.606826066970825e-05
clock,53,3,22,4,80,21,2,1.0,1.0,0.34375,0.328125,0.015625,0.0113182809691352,0.0,0.0113182809691352,0.0,2,2,False,-0.1003995276987552,-0.1003995276987552,0.0,0.0365522112697362,0.0365522112697362,0.0
clock,53,30,20,7,72,12,6,1.0,1.0,0.3125,0.1875,0.125,0.0858806360483868,0.0,0.0858806360483868,0.0,7,7,False,0.0208651050925254,0.0208651050925254,0.0,-0.0581843052059412,-0.0581843052059412,0.0
clock,53,57,21,8,80,21,2,1.0,1.0,0.328125,0.328125,0.0,0.0,0.0,0.0,0.0,2,2,False,-0.0612568664364516,-0.0612568664364516,0.0,0.0365522112697362,0.0365522112697362,0.0
