family,seed,comparison,left_condition,right_condition,delta_test_balanced_accuracy
relative10,11,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.09226884226884235
relative10,11,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.0
relative10,11,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.03901098901098898
relative10,11,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.09615176490176491
relative10,11,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.07648393273393272
relative10,11,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.054795898545898614
relative10,11,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.09226884226884235
relative10,23,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.05136877011877017
relative10,23,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.08620337995338001
relative10,23,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.050773532023532075
relative10,23,hard_optimization_gap,hard_random_train,hard_teacher_frozen,0.03396880896880905
relative10,23,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.05242188367188383
relative10,23,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,0.036482961482961596
relative10,23,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,0.03483460983460984
relative10,37,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.08698593073593075
relative10,37,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.05107739482739493
relative10,37,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.0543019480519481
relative10,37,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.09538031413031411
relative10,37,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.021203102453102418
relative10,37,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.0690073815073815
relative10,37,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.03590853590853582
relative10,53,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.06728479853479852
relative10,53,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,-0.038981851481851626
relative10,53,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.054067460317460236
relative10,53,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.10305805305805305
relative10,53,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.07503399378399378
relative10,53,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.0853001165501166
relative10,53,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.10626665001665014
relative10,71,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.08042096792096787
relative10,71,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.02431457431457429
relative10,71,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.003977272727272774
relative10,71,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.03366078366078362
relative10,71,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,-0.04258866133866135
relative10,71,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.1026723276723277
relative10,71,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.05610639360639358
fixed250,11,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.008053751803751674
fixed250,11,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,-0.04138292263292265
fixed250,11,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,-0.014148351648351598
fixed250,11,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.020831252081252027
fixed250,11,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.05720182595182599
fixed250,11,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,0.021913503163503267
fixed250,11,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.04943667443667432
fixed250,23,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.04756701631701632
fixed250,23,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.09167568542568538
fixed250,23,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,0.026535964035964033
fixed250,23,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.02741702741702745
fixed250,23,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.03573509823509824
fixed250,23,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,0.05330780330780327
fixed250,23,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,0.04410866910866906
fixed250,37,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.08651279276279267
fixed250,37,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.033915390165390136
fixed250,37,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,-0.05147005772005764
fixed250,37,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.06606726606726598
fixed250,37,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,-0.01137057387057383
fixed250,37,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.012497918747918724
fixed250,37,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.05259740259740253
fixed250,53,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.044094794094794
fixed250,53,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,0.037337662337662336
fixed250,53,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,-0.015512265512265477
fixed250,53,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.0063131313131312705
fixed250,53,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,0.008802308802308811
fixed250,53,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,0.017557442557442626
fixed250,53,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.0067571317571316625
fixed250,71,softness_penalty,soft_teacher_frozen,hard_teacher_frozen,-0.014552114552114581
fixed250,71,teacher_init_retrain_gain,soft_teacher_init_retrain,soft_teacher_frozen,-0.09097014097014083
fixed250,71,teacher_initialization_benefit,soft_teacher_init_retrain,soft_random_train,-0.07291250416250411
fixed250,71,hard_optimization_gap,hard_random_train,hard_teacher_frozen,-0.07078130203130195
fixed250,71,soft_linear_minus_soft_random,soft_linear_refit,soft_random_train,-0.0037719225219224883
fixed250,71,soft_representation_gap_to_hard_teacher,soft_linear_refit,hard_teacher_frozen,-0.03638167388167379
fixed250,71,soft_teacher_init_gap_to_hard_teacher,soft_teacher_init_retrain,hard_teacher_frozen,-0.10552225552225541
