architecture,routing,seed,sample_index,label,routing_disagreement_rate,oracle_true_class_margin,predicted_true_class_margin,margin_delta_pred_minus_oracle
rsnn64_progress,hard,53,0,8,0.9298245614035088,-0.36221925148265655,-0.8960084502691643,-0.5337891987865078
rsnn64_progress,hard,53,1,1,0.7254901960784313,2.002648939196206,0.6382859243938128,-1.364363014802393
rsnn64_progress,hard,53,2,11,0.7285714285714285,-3.8576023499047096,-3.957593663386433,-0.09999131348172341
rsnn64_progress,hard,53,3,4,0.7894736842105263,2.617373595013328,0.41093999669118375,-2.2064335983221444
rsnn64_progress,hard,53,4,5,0.5137614678899083,3.546170978109558,4.2709724297271805,0.7248014516176227
rsnn64_progress,hard,53,5,2,0.7777777777777778,4.0584448759341285,0.5855803565114002,-3.4728645194227283
rsnn64_progress,hard,53,6,7,0.6989247311827957,2.018353727894464,-0.22356626077225883,-2.241919988666723
rsnn64_progress,hard,53,7,3,0.5894736842105263,2.6257215691923648,1.1367319637370201,-1.4889896054553446
rsnn64_progress,hard,53,8,6,0.5784313725490197,3.4452577079828046,1.330944600188559,-2.1143131077942456
rsnn64_progress,hard,53,9,0,0.6880733944954128,2.4523951148134984,-0.9442488660131669,-3.3966439808266653
rsnn64_progress,hard,53,10,9,0.6481481481481481,4.095802722496046,3.9576906726399557,-0.13811204985609038
rsnn64_progress,hard,53,11,0,0.4423076923076923,2.9669322600252332,2.92022965555911,-0.046702604466123177
rsnn64_progress,hard,53,12,5,0.7719298245614035,4.463045662874492,1.2946244816318995,-3.168421181242593
rsnn64_progress,hard,53,13,6,0.5,1.6068294285535227,0.3084587853050724,-1.2983706432484503
rsnn64_progress,hard,53,14,4,0.9130434782608695,3.9877585202528962,-0.5679863292924097,-4.555744849545306
rsnn64_progress,hard,53,15,3,0.631578947368421,3.6119129860937846,0.734101670046357,-2.8778113160474277
rsnn64_progress,hard,53,16,8,0.8793103448275862,1.5118918855596348,0.057803010621990225,-1.4540888749376446
rsnn64_progress,hard,53,17,7,0.8351648351648352,1.0504044803419674,1.9880080911666482,0.9376036108246808
rsnn64_progress,hard,53,18,1,0.8823529411764706,3.854220614935951,-3.119004651153011,-6.973225266088962
rsnn64_progress,hard,53,19,11,0.7674418604651163,-3.5097638664215083,-6.944478196012824,-3.4347143295913156
rsnn64_progress,hard,53,20,9,0.7766990291262136,6.021544288018731,-0.6003435455772888,-6.62188783359602
rsnn64_progress,hard,53,21,2,0.8714285714285714,3.3132191547454113,-1.9526947859153552,-5.2659139406607665
rsnn64_progress,hard,53,22,10,0.5901639344262295,2.095282617476414,0.8126627267963613,-1.2826198906800528
rsnn64_progress,hard,53,23,9,0.7685185185185185,3.5530265077095464,-5.839383836722391,-9.392410344431937
rsnn64_progress,hard,53,24,11,0.8723404255319149,-2.1764169959838,-1.1072076827158526,1.0692093132679474
rsnn64_progress,hard,53,25,2,0.6710526315789473,1.7775307887479812,2.684143754981278,0.9066129662332969
rsnn64_progress,hard,53,26,0,0.8823529411764706,-0.9221906059865432,-2.662794628652364,-1.7406040226658206
rsnn64_progress,hard,53,27,10,0.8181818181818182,1.3684254713241444,0.8734997367719188,-0.49492573455222555
rsnn64_progress,hard,53,28,6,0.8,3.162298227561905,1.6305513037389119,-1.5317469238229933
rsnn64_progress,hard,53,29,1,0.8968253968253969,-0.08695506437970835,-5.444748686788671,-5.357793622408963
rsnn64_progress,hard,53,30,7,0.7142857142857143,1.4594465077241239,-0.3368300851402637,-1.7962765928643876
rsnn64_progress,hard,53,31,5,0.6902654867256637,1.1414622959561598,0.6459739317215849,-0.4954883642345749
rsnn64_progress,hard,53,32,4,0.776,3.6119423262717305,-6.293407843711748,-9.905350169983478
rsnn64_progress,hard,53,33,8,0.9565217391304348,-1.3333384746392767,-1.0297301545497248,0.30360832008955185
rsnn64_progress,hard,53,34,1,0.7142857142857143,-1.4388607097392683,-3.016162140533197,-1.5773014307939288
rsnn64_progress,hard,53,35,11,0.9482758620689655,1.5898389835217586,-3.1766611319774256,-4.766500115499184
rsnn64_progress,hard,53,36,4,0.8181818181818182,1.0469289514133493,1.3557684370155698,0.3088394856022205
rsnn64_progress,hard,53,37,5,0.6785714285714286,4.383107496203536,1.9723836051822445,-2.4107238910212914
rsnn64_progress,hard,53,38,2,1.0,2.0939058761221077,-2.18475977058597,-4.2786656467080775
rsnn64_progress,hard,53,39,7,0.9183673469387755,1.1135236143309157,0.45148995398903935,-0.6620336603418764
rsnn64_progress,hard,53,40,3,0.6746987951807228,2.471649989319758,1.9296364904448637,-0.5420134988748941
rsnn64_progress,hard,53,41,6,0.8735632183908046,2.96868703313077,0.3169922642621259,-2.6516947688686443
rsnn64_progress,hard,53,42,0,0.5595238095238095,2.670933539713026,1.125677751532562,-1.545255788180464
rsnn64_progress,hard,53,43,9,0.7887323943661971,1.7198440879744794,0.9234376435558715,-0.7964064444186079
rsnn64_progress,hard,53,44,5,0.6283185840707964,2.8182093317311114,0.5670667953801853,-2.251142536350926
rsnn64_progress,hard,53,45,8,0.9038461538461539,0.009234487227331556,-0.7588960641114681,-0.7681305513387997
rsnn64_progress,hard,53,46,3,0.8589743589743589,-0.7479947243809875,0.06422837061836617,0.8122230949993536
rsnn64_progress,hard,53,47,4,0.6276595744680851,1.152572181754067,3.1487091385665735,1.9961369568125065
rsnn64_progress,hard,53,48,6,0.7931034482758621,1.749375387882992,1.8830929137212706,0.13371752583827856
rsnn64_progress,hard,53,49,1,0.6862745098039216,-0.5135594319979191,-3.5701210987547256,-3.0565616667568065
rsnn64_progress,hard,53,50,10,0.8181818181818182,-2.0095229724411183,-2.6795295431911654,-0.6700065707500471
rsnn64_progress,hard,53,51,0,0.7938931297709924,-0.7978010960126465,-0.48356502848843874,0.31423606752420774
rsnn64_progress,hard,53,52,9,0.675,1.8138829987054805,1.058473216490313,-0.7554097822151675
rsnn64_progress,hard,53,53,7,0.9516129032258065,0.22927679252006783,-0.07489669202095683,-0.30417348454102466
rsnn64_progress,hard,53,54,6,0.84,-1.0276049140567576,-2.264569058389725,-1.2369641443329673
rsnn64_progress,hard,53,55,4,0.8404255319148937,0.44080443469857755,0.03783701212603319,-0.40296742257254436
rsnn64_progress,hard,53,56,3,0.4810126582278481,-2.679084700263047,-2.8524916407568526,-0.17340694049380545
rsnn64_progress,hard,53,57,8,0.9298245614035088,-0.6605134538390303,0.4267031210333698,1.0872165748724
rsnn64_progress,hard,53,58,7,0.84,0.1738444417824212,-1.0667601061322785,-1.2406045479146997
rsnn64_progress,hard,53,59,1,0.8387096774193549,-3.662638262347116,-4.668511381723874,-1.0058731193767585
rsnn64_progress,hard,53,60,11,0.8387096774193549,-0.21676683005989617,-3.720272706043943,-3.5035058759840467
rsnn64_progress,hard,53,61,9,0.6627906976744186,0.657934172872956,-0.8950985496171597,-1.5530327224901157
rsnn64_progress,hard,53,62,2,0.8333333333333334,1.4300358379666704,-0.17691076947789952,-1.60694660744457
rsnn64_progress,hard,53,63,10,0.9814814814814815,-1.0969978561417975,-2.1239808234549855,-1.026982967313188
rsnn64_progress,hard,53,64,8,1.0,-1.469002748058756,0.6017831660624324,2.0707859141211884
rsnn64_progress,hard,53,65,1,0.7160493827160493,-0.6562787349939754,-2.394539331382475,-1.7382605963884998
rsnn64_progress,hard,53,66,11,0.9117647058823529,2.5106708832913682,-2.3548478103480193,-4.8655186936393875
rsnn64_progress,hard,53,67,4,0.7228915662650602,0.4541664851051337,-0.26789284682746484,-0.7220593319325985
rsnn64_progress,hard,53,68,5,0.7972972972972973,-0.31708810095102535,-1.242343391291115,-0.9252552903400897
rsnn64_progress,hard,53,69,2,0.8070175438596491,0.0893558762312523,-1.4757430465574544,-1.5650989227887067
rsnn64_progress,hard,53,70,7,0.9791666666666666,0.25592304757265083,-0.28328112962526575,-0.5392041771979166
rsnn64_progress,hard,53,71,3,0.7941176470588235,0.5461998290682004,-0.16473074510940933,-0.7109305741776097
rsnn64_progress,hard,53,72,6,0.5921052631578947,1.610706178863893,0.2762624321990188,-1.3344437466648742
rsnn64_progress,hard,53,73,0,0.75,0.7572243916182853,-0.5924892888712385,-1.3497136804895238
rsnn64_progress,hard,53,74,9,0.8307692307692308,-0.6917205598867895,0.8374377334782821,1.5291582933650716
