seed,sample_a,timestep_a,label_a,sample_b,timestep_b,label_b,what_cosine_similarity,q_l1_distance,evidence_l1_distance,top_support_a,top_support_b,different_top_support,high_similarity
11,76,28,1,130,64,7,1.0,0.09408708661794662,0.013095461763441563,8,8,False,True
11,124,33,8,76,28,1,1.0,0.08497589826583862,0.012363919988274574,8,8,False,True
11,80,37,2,76,28,1,1.0,0.08154946565628052,0.011264081113040447,8,8,False,True
11,80,43,2,76,28,1,1.0,0.08138270676136017,0.009849635884165764,8,8,False,True
11,97,32,2,76,28,1,1.0,0.04196905344724655,0.005664729047566652,8,8,False,True
11,76,7,1,130,64,7,1.0,0.035230278968811035,0.002845591865479946,8,8,False,True
11,103,7,5,122,8,2,1.0,0.03330669552087784,0.00381970452144742,7,7,False,True
11,49,15,1,124,28,8,1.0,0.03307178616523743,0.004116165451705456,2,2,False,True
11,124,28,8,134,16,9,1.0,0.033069297671318054,0.004116474185138941,2,2,False,True
11,126,18,11,124,28,8,1.0,0.03306650370359421,0.004116737749427557,2,2,False,True
11,130,29,7,40,17,3,1.0,0.03293309360742569,0.0052807386964559555,8,8,False,True
11,76,16,1,130,64,7,1.0,0.03028786927461624,0.0032797004096210003,8,8,False,True
11,130,64,7,80,37,2,1.0,0.02784297615289688,0.0026786283124238253,8,8,False,True
11,76,19,1,130,64,7,1.0,0.02522469311952591,0.002826901851221919,8,8,False,True
11,55,14,4,103,3,5,1.0,0.01622718572616577,0.0021476401016116142,8,8,False,True
11,136,15,5,53,32,7,1.0,0.0014114603400230408,0.00011926935985684395,11,11,False,True
11,139,19,4,128,13,5,1.0,0.00014206767082214355,2.189306542277336e-05,5,5,False,True
11,134,16,9,49,15,1,1.0,2.2664666175842285e-05,1.9241124391555786e-06,2,2,False,True
11,26,18,0,57,18,8,1.0,0.0,0.0,2,2,False,True
11,3,23,4,130,47,7,0.9999999403953552,0.0805395171046257,0.00880346167832613,7,7,False,True
11,61,5,9,89,12,8,0.9999999403953552,0.005977064371109009,0.0009238477796316147,8,8,False,True
11,72,9,6,89,12,8,0.9999999403953552,0.0007471218705177307,0.00011565349996089935,8,8,False,True
11,135,14,2,144,10,9,0.9999999403953552,0.0005306601524353027,0.00011103600263595581,2,2,False,True
11,88,74,3,141,71,1,0.8965513110160828,0.1824052780866623,0.37927961349487305,1,1,False,False
11,133,65,0,138,39,3,0.89475417137146,0.09761753678321838,0.558030366897583,1,1,False,False
11,138,38,3,140,39,6,0.8938195109367371,0.07231484353542328,0.5098382830619812,8,8,False,False
11,143,81,0,88,74,3,0.8933244943618774,0.2541891932487488,0.6428963541984558,1,1,False,False
11,107,82,4,112,67,0,0.893274188041687,0.12790225446224213,0.5978323817253113,6,0,True,False
11,9,38,0,19,34,11,0.8925927877426147,0.10969043523073196,0.5134506225585938,9,9,False,False
11,42,83,0,136,63,5,0.8896849155426025,0.10545212030410767,0.5653191804885864,4,4,False,False
11,4,38,5,21,37,2,0.8894994258880615,0.06732077896595001,0.28942471742630005,2,2,False,False
11,47,70,4,68,62,5,0.8892969489097595,0.09285654872655869,0.28406816720962524,8,8,False,False
11,2,57,11,9,53,0,0.8889129161834717,0.1703135371208191,0.5834208726882935,9,0,True,False
11,4,40,5,5,42,2,0.8888888955116272,0.07598696649074554,0.2802349328994751,2,2,False,False
11,133,83,0,88,74,3,0.8869903087615967,0.29669833183288574,0.6997077465057373,1,1,False,False
11,72,39,6,88,49,3,0.8869903087615967,0.09846844524145126,0.5780220627784729,1,6,True,False
11,54,59,6,126,47,11,0.8869507312774658,0.15165874361991882,0.6133266687393188,4,0,True,False
11,42,58,0,111,59,6,0.8867627382278442,0.07415036857128143,0.4731021821498871,0,6,True,False
11,133,80,0,88,74,3,0.8852682709693909,0.2089802324771881,0.5927809476852417,1,1,False,False
11,71,67,3,133,80,0,0.8852682709693909,0.1874484419822693,0.42409253120422363,1,1,False,False
11,138,40,3,140,36,6,0.8846520781517029,0.07554125785827637,0.29004788398742676,3,1,True,False
11,5,64,2,26,57,0,0.8844389915466309,0.19546490907669067,0.5933994650840759,2,2,False,False
11,10,86,9,29,88,1,0.883455753326416,0.11276277899742126,0.5523597598075867,9,9,False,False
11,2,51,11,11,53,0,0.8822899460792542,0.16038593649864197,0.41094109416007996,9,9,False,False
11,28,78,6,112,78,0,0.881862461566925,0.17512008547782898,0.37396323680877686,4,0,True,False
11,133,78,0,88,74,3,0.8816288113594055,0.24078026413917542,0.5136062502861023,1,1,False,False
11,4,43,5,5,49,2,0.8812025189399719,0.06890299916267395,0.4903563857078552,2,2,False,False
