contrast,architecture,training_family,regularization,seed,metric,delta
ordered_minus_wholecount,234x234,e2e_wc,task_only,11,accuracy,0.020547945205479534
ordered_minus_wholecount,234x234,e2e_wc,task_only,11,balanced_accuracy,0.009460678210678197
ordered_minus_wholecount,234x234,e2e_wc,task_only,11,macro_f1,0.01425202229531597
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,11,accuracy,0.21004566210045666
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,11,balanced_accuracy,0.20511201761201753
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,11,macro_f1,0.2272614865344753
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,11,accuracy,-0.18949771689497713
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,11,balanced_accuracy,-0.19565133940133933
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,11,macro_f1,-0.21300946423915934
ordered_minus_wholecount,234x234,e2e_wc,task_only,23,accuracy,0.047945205479452024
ordered_minus_wholecount,234x234,e2e_wc,task_only,23,balanced_accuracy,0.04248321123321119
ordered_minus_wholecount,234x234,e2e_wc,task_only,23,macro_f1,0.03798755185740976
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,23,accuracy,0.23972602739726023
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,23,balanced_accuracy,0.23392417767417772
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,23,macro_f1,0.23951092198784912
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,23,accuracy,-0.1917808219178082
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,23,balanced_accuracy,-0.19144096644096653
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,23,macro_f1,-0.20152337013043936
ordered_minus_wholecount,234x234,e2e_wc,task_only,37,accuracy,0.0547945205479452
ordered_minus_wholecount,234x234,e2e_wc,task_only,37,balanced_accuracy,0.0546987734487735
ordered_minus_wholecount,234x234,e2e_wc,task_only,37,macro_f1,0.05636465072652119
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,37,accuracy,0.20776255707762553
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,37,balanced_accuracy,0.20010036260036262
ordered_minus_phase_shuffled,234x234,e2e_wc,task_only,37,macro_f1,0.21205189603169655
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,37,accuracy,-0.15296803652968033
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,37,balanced_accuracy,-0.14540158915158913
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_only,37,macro_f1,-0.15568724530517536
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,accuracy,0.18493150684931509
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.1722541347541347
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.18473621556270214
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,11,accuracy,0.16438356164383555
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.15831945831945832
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.16418323034594245
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,accuracy,0.020547945205479534
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.013934676434676385
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.02055298521675969
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,accuracy,0.0273972602739726
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.02104492729492735
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.02459555693108606
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,23,accuracy,0.17579908675799089
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.16935865060865046
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.17967679705271306
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,accuracy,-0.14840182648401828
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,-0.1483137233137231
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,23,macro_f1,-0.155081240121627
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,accuracy,0.0547945205479452
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.060849567099567015
ordered_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.08531526436823589
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,37,accuracy,0.17351598173515986
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.17082408332408328
ordered_minus_phase_shuffled,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.19187151874308195
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,accuracy,-0.11872146118721466
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,-0.10997451622451626
phase_shuffled_minus_wholecount,234x234,e2e_wc,task_plus_reg,37,macro_f1,-0.10655625437484606
ordered_minus_wholecount,234x234,local_tsce,task_only,11,accuracy,0.020547945205479423
ordered_minus_wholecount,234x234,local_tsce,task_only,11,balanced_accuracy,0.017557442557442515
ordered_minus_wholecount,234x234,local_tsce,task_only,11,macro_f1,0.019030369785013712
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,accuracy,0.12100456621004563
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,balanced_accuracy,0.12339026714026707
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,macro_f1,0.131225970914785
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,accuracy,-0.1004566210045662
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,balanced_accuracy,-0.10583282458282456
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,macro_f1,-0.11219560112977128
ordered_minus_wholecount,234x234,local_tsce,task_only,23,accuracy,-0.0547945205479452
ordered_minus_wholecount,234x234,local_tsce,task_only,23,balanced_accuracy,-0.04796869796869796
ordered_minus_wholecount,234x234,local_tsce,task_only,23,macro_f1,-0.021234334072519512
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,accuracy,0.07990867579908678
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,balanced_accuracy,0.09404253154253156
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,macro_f1,0.1189890976278889
