architecture,training_family,regularization,source,n,events_per_neuron_second_mean,mean_abs_evidence_mean,mean_abs_final_membrane_mean,mean_events_per_valid_output_position_mean,mean_total_output_events_per_sample_mean,negative_evidence_fraction_mean,potential_multi_crossing_fraction_mean,zero_spike_sample_fraction_mean,negative_event_fraction_mean,positive_event_fraction_mean,events_per_neuron_second_std,mean_abs_evidence_std,mean_abs_final_membrane_std,mean_events_per_valid_output_position_std,mean_total_output_events_per_sample_std,negative_evidence_fraction_std,potential_multi_crossing_fraction_std,zero_spike_sample_fraction_std,negative_event_fraction_std,positive_event_fraction_std
234x234,e2e_wc,task_only,native_e2e_lif,3,9.852882703777334,0.2997036383433463,0.4974740162562097,0.15395129224652085,152.75342465753425,0.393856766806568,0.028226474486414844,0.0,,,0.17368561103077837,0.0103930884661012,0.021934282106881378,0.002713837672355912,2.6927217847134695,0.01016159546273935,0.0024684183436932587,0.0,0.0,0.0
234x234,e2e_wc,task_only,native_w_analog_sum,3,,0.2997036383433463,,,,0.393856766806568,,,,,0.0,0.0103930884661012,0.0,0.0,0.0,0.01016159546273935,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,probe_analog_sum,3,,0.028726323243026226,,,,0.40622008688609085,,,,,0.0,0.007670514782788827,0.0,0.0,0.0,0.0025256430229905692,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,probe_bipolar_lif_beta05_cap1,3,0.0,0.028726323243026226,0.039454885423047634,0.0,0.0,0.40622008688609085,0.0,1.0,0.0,0.0,0.0,0.007670514782788827,0.010198179544957551,0.0,0.0,0.0025256430229905692,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,probe_if_beta1_cap1,3,1.2778145939179737,0.028726323243026226,1.0457892229145227,0.01996585302996834,19.810502283105023,0.40622008688609085,0.0,0.00228310502283105,,,0.28881493973271327,0.007670514782788827,0.1761100805252866,0.004512733433323645,4.477620658116414,0.0025256430229905692,0.0,0.003954453898559081,0.0,0.0
234x234,e2e_wc,task_only,probe_lif_beta05_cap1,3,0.0,0.028726323243026226,0.07495483937136682,0.0,0.0,0.40622008688609085,0.0,1.0,,,0.0,0.007670514782788827,0.017776370087021695,0.0,0.0,0.0025256430229905692,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_only,probe_lif_beta05_cap31,3,0.0,0.028726323243026226,0.07495483937136682,0.0,0.0,0.40622008688609085,0.0,1.0,,,0.0,0.007670514782788827,0.017776370087021695,0.0,0.0,0.0025256430229905692,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_plus_reg,native_e2e_lif,3,9.232604373757455,0.3071367957582663,0.5377274360412884,0.14425944333996024,143.13698630136986,0.3959115676312495,0.0281183270745895,0.0,,,0.2739462843038517,0.014917363537728235,0.024680132137926167,0.004280410692247683,4.247105578916226,0.015276371178273707,0.0012947054740693347,0.0,0.0,0.0
234x234,e2e_wc,task_plus_reg,native_w_analog_sum,3,,0.3071367957582663,,,,0.3959115676312495,,,,,0.0,0.014917363537728235,0.0,0.0,0.0,0.015276371178273707,0.0,0.0,0.0,0.0
234x234,e2e_wc,task_plus_reg,probe_analog_sum,3,,0.05435674673241656,,,,0.40001196524556365,,,,,0.0,0.051627535410439684,0.0,0.0,0.0,0.006198350014414224,0.0,0.0,0.0,0.0
