contrast,architecture,training_family,regularization,seed,metric,delta
analog_minus_if,234x234,e2e_wc,task_only,11,accuracy,0.07534246575342463
analog_minus_if,234x234,e2e_wc,task_only,11,balanced_accuracy,0.07859224109224106
analog_minus_if,234x234,e2e_wc,task_only,11,macro_f1,0.08224203179440548
if_minus_lif,234x234,e2e_wc,task_only,11,accuracy,0.452054794520548
if_minus_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.43319943944943945
if_minus_lif,234x234,e2e_wc,task_only,11,macro_f1,0.4979536642138115
analog_minus_lif,234x234,e2e_wc,task_only,11,accuracy,0.5273972602739726
analog_minus_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.5117916805416804
analog_minus_lif,234x234,e2e_wc,task_only,11,macro_f1,0.580195696008217
multispike_minus_lif,234x234,e2e_wc,task_only,11,accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_only,11,macro_f1,0.0
bipolar_minus_lif,234x234,e2e_wc,task_only,11,accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_only,11,macro_f1,0.0
native_analog_minus_native_lif,234x234,e2e_wc,task_only,11,accuracy,0.013698630136986356
native_analog_minus_native_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.016240703740703688
native_analog_minus_native_lif,234x234,e2e_wc,task_only,11,macro_f1,0.010341048623196847
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,11,accuracy,0.08904109589041087
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,11,balanced_accuracy,0.0995337995337996
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,11,macro_f1,0.10917377788281285
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,11,accuracy,0.10273972602739723
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,11,balanced_accuracy,0.11577450327450328
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,11,macro_f1,0.1195148265060097
analog_minus_if,234x234,e2e_wc,task_only,23,accuracy,0.013698630136986245
analog_minus_if,234x234,e2e_wc,task_only,23,balanced_accuracy,0.011857586857586866
analog_minus_if,234x234,e2e_wc,task_only,23,macro_f1,0.011267887620552974
if_minus_lif,234x234,e2e_wc,task_only,23,accuracy,0.49315068493150693
if_minus_lif,234x234,e2e_wc,task_only,23,balanced_accuracy,0.4694437506937507
if_minus_lif,234x234,e2e_wc,task_only,23,macro_f1,0.5347147353814875
analog_minus_lif,234x234,e2e_wc,task_only,23,accuracy,0.5068493150684932
analog_minus_lif,234x234,e2e_wc,task_only,23,balanced_accuracy,0.4813013375513376
analog_minus_lif,234x234,e2e_wc,task_only,23,macro_f1,0.5459826230020405
multispike_minus_lif,234x234,e2e_wc,task_only,23,accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_only,23,balanced_accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_only,23,macro_f1,0.0
