architecture,family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,a1_shared_tsce,task_only,11,l2_fixed250_linear,test,0.6164383561643836,0.6009400321900321,0.6033114887870581
234x234,a1_shared_tsce,task_only,11,l2_fixed250_linear,train,0.963855421686747,0.9638407802603574,0.9668757549041559
234x234,a1_shared_tsce,task_only,11,l2_fixed250_linear,val,0.5714285714285714,0.5608585858585858,0.5693827259273483
234x234,a1_shared_tsce,task_only,11,l2_wholecount_linear,test,0.5958904109589042,0.5833825896325896,0.5842811190020444
234x234,a1_shared_tsce,task_only,11,l2_wholecount_linear,train,0.9432013769363167,0.9435885801780627,0.9466798768350418
234x234,a1_shared_tsce,task_only,11,l2_wholecount_linear,val,0.5317460317460317,0.5287457912457912,0.535986684503446
234x234,a1_shared_tsce,task_only,23,l2_fixed250_linear,test,0.5547945205479452,0.550459262959263,0.5663064244836691
234x234,a1_shared_tsce,task_only,23,l2_fixed250_linear,train,0.9965576592082617,0.996545584045584,0.996651896640988
234x234,a1_shared_tsce,task_only,23,l2_fixed250_linear,val,0.5634920634920635,0.550511063011063,0.5624274085944568
234x234,a1_shared_tsce,task_only,23,l2_wholecount_linear,test,0.6095890410958904,0.5984279609279609,0.5875407585561886
234x234,a1_shared_tsce,task_only,23,l2_wholecount_linear,train,0.9328743545611016,0.932492847104942,0.9359075361370631
234x234,a1_shared_tsce,task_only,23,l2_wholecount_linear,val,0.5634920634920635,0.5513949013949014,0.5536938007526243
234x234,a1_shared_tsce,task_only,37,l2_fixed250_linear,test,0.636986301369863,0.6222194472194472,0.6206042568542568
234x234,a1_shared_tsce,task_only,37,l2_fixed250_linear,train,0.9879518072289156,0.9874145469997749,0.9882949789599133
234x234,a1_shared_tsce,task_only,37,l2_fixed250_linear,val,0.5714285714285714,0.5701479076479076,0.5724672510665891
234x234,a1_shared_tsce,task_only,37,l2_wholecount_linear,test,0.6164383561643836,0.6044733044733044,0.6006619337959286
234x234,a1_shared_tsce,task_only,37,l2_wholecount_linear,train,0.8950086058519794,0.8910888506731909,0.8984770319886343
234x234,a1_shared_tsce,task_only,37,l2_wholecount_linear,val,0.5238095238095238,0.5041426166426167,0.5027132201878909
234x234,a1_shared_tsce,task_plus_reg,11,l2_fixed250_linear,test,0.6095890410958904,0.597668303918304,0.6012314027407923
234x234,a1_shared_tsce,task_plus_reg,11,l2_fixed250_linear,train,0.9810671256454389,0.9821153872504224,0.9827873763668636
234x234,a1_shared_tsce,task_plus_reg,11,l2_fixed250_linear,val,0.5476190476190477,0.5373737373737373,0.5461518436992929
234x234,a1_shared_tsce,task_plus_reg,11,l2_wholecount_linear,test,0.5753424657534246,0.5609369796869795,0.5642409250549066
