objective_eval,train_task_ce,train_total_objective
1.0,2.7193305492401123,2.7213406562805176
2.0,2.666536808013916,2.668538808822632
3.0,2.358375072479248,2.3603506088256836
4.0,2.1550354957580566,2.157055616378784
5.0,1.8792760372161865,1.881811499595642
6.0,1.7373583316802979,1.7408872842788696
7.0,1.6770747900009155,1.6809426546096802
8.0,1.6279778480529785,1.6323684453964233
9.0,1.591784119606018,1.596714735031128
10.0,1.5592128038406372,1.565403938293457
11.0,1.526835560798645,1.5330500602722168
12.0,1.507081151008606,1.5134449005126953
13.0,1.4832383394241333,1.4901260137557983
14.0,1.467416763305664,1.474879503250122
15.0,1.4518439769744873,1.4599196910858154
16.0,1.4380360841751099,1.4467350244522095
17.0,1.429309606552124,1.4383800029754639
18.0,1.4209067821502686,1.4302940368652344
19.0,1.4137489795684814,1.4233499765396118
20.0,1.40901517868042,1.418690800666809
21.0,1.4050906896591187,1.4149409532546997
22.0,1.3997457027435303,1.4101758003234863
23.0,1.3957247734069824,1.4065463542938232
24.0,1.3937989473342896,1.4048025608062744
25.0,1.3918427228927612,1.4030284881591797
26.0,1.3898407220840454,1.401222825050354
27.0,1.3878523111343384,1.3993805646896362
28.0,1.3863656520843506,1.39797043800354
29.0,1.3853397369384766,1.397046446800232
30.0,1.3838541507720947,1.3957808017730713
31.0,1.3827226161956787,1.3949215412139893
32.0,1.3820874691009521,1.3944286108016968
33.0,1.3817518949508667,1.3941318988800049
34.0,1.3813745975494385,1.3937679529190063
35.0,1.3811001777648926,1.3935099840164185
36.0,1.3807562589645386,1.3932301998138428
37.0,1.3805245161056519,1.3930578231811523
38.0,1.3803797960281372,1.392961859703064
39.0,1.3802021741867065,1.3928470611572266
40.0,1.3799700736999512,1.3926938772201538
41.0,1.3797780275344849,1.3925604820251465
42.0,1.3796863555908203,1.392486333847046
43.0,1.379677176475525,1.392458200454712
44.0,1.379649043083191,1.3924139738082886
45.0,1.3795925378799438,1.3923616409301758
46.0,1.3795205354690552,1.3923299312591553
47.0,1.3794857263565063,1.3923182487487793
48.0,1.3794442415237427,1.3923025131225586
49.0,1.379406452178955,1.392281413078308
50.0,1.3793829679489136,1.3922680616378784
51.0,1.3793823719024658,1.39225435256958
52.0,1.3793895244598389,1.3922494649887085
53.0,1.3793931007385254,1.3922429084777832
54.0,1.379391074180603,1.3922350406646729
55.0,1.3793729543685913,1.3922289609909058
56.0,1.3793604373931885,1.392225742340088
57.0,1.379341721534729,1.3922234773635864
58.0,1.3793429136276245,1.3922216892242432
59.0,1.37935209274292,1.3922181129455566
60.0,1.3793599605560303,1.3922138214111328
61.0,1.379357099533081,1.3922107219696045
62.0,1.3793541193008423,1.3922090530395508
63.0,1.3793474435806274,1.3922077417373657
64.0,1.3793388605117798,1.3922057151794434
65.0,1.3793492317199707,1.3922061920166016
66.0,1.379341959953308,1.3922040462493896
67.0,1.379347324371338,1.3922019004821777
68.0,1.379357099533081,1.3922005891799927
69.0,1.3793647289276123,1.392199158668518
70.0,1.3793675899505615,1.392197608947754
71.0,1.3793611526489258,1.3921958208084106
72.0,1.3793489933013916,1.392194151878357
73.0,1.3793410062789917,1.3921922445297241
74.0,1.3793386220932007,1.3921892642974854
75.0,1.3793487548828125,1.3921887874603271
76.0,1.3793529272079468,1.3921864032745361
77.0,1.3793580532073975,1.3921856880187988
78.0,1.3793652057647705,1.3921841382980347
79.0,1.3793692588806152,1.3921819925308228
80.0,1.3793647289276123,1.392180323600769
81.0,1.3793575763702393,1.3921791315078735
82.0,1.379348874092102,1.3921785354614258
83.0,1.3793408870697021,1.3921780586242676
84.0,1.379341721534729,1.3921769857406616
85.0,1.3793450593948364,1.3921762704849243
86.0,1.3793474435806274,1.3921757936477661
87.0,1.379347562789917,1.392174482345581
88.0,1.3793585300445557,1.392177939414978
89.0,1.3793489933013916,1.3921741247177124
90.0,1.3793495893478394,1.392173409461975
91.0,1.379350185394287,1.3921730518341064
92.0,1.3793549537658691,1.39217209815979
93.0,1.379356026649475,1.392171859741211
94.0,1.3793574571609497,1.3921713829040527
95.0,1.3793585300445557,1.3921712636947632
96.0,1.3793591260910034,1.3921705484390259
97.0,1.3793587684631348,1.3921703100204468
98.0,1.3793576955795288,1.3921699523925781
99.0,1.3793567419052124,1.3921700716018677
100.0,1.3793575763702393,1.3921700716018677
101.0,1.3793576955795288,1.3921699523925781
