objective_eval,train_task_ce,train_total_objective
1.0,2.7193305492401123,2.920337677001953
2.0,2.6669299602508545,2.8664095401763916
3.0,2.3584225177764893,2.5487890243530273
4.0,2.1517512798309326,2.3336944580078125
5.0,1.8807096481323242,2.0752475261688232
6.0,1.7360559701919556,1.9668045043945312
7.0,1.6896047592163086,1.9168596267700195
8.0,1.6551454067230225,1.8745830059051514
9.0,1.6318464279174805,1.8482497930526733
10.0,1.6118388175964355,1.8269630670547485
11.0,1.5740303993225098,1.7887392044067383
12.0,1.5709503889083862,1.7770824432373047
13.0,1.5747125148773193,1.7620863914489746
14.0,1.588793396949768,1.7688267230987549
15.0,1.5742974281311035,1.7582244873046875
16.0,1.5712705850601196,1.7548526525497437
17.0,1.570469856262207,1.7510336637496948
18.0,1.571921944618225,1.749889850616455
19.0,1.5753140449523926,1.749006748199463
20.0,1.576533317565918,1.7486456632614136
21.0,1.576639175415039,1.7483893632888794
22.0,1.5765074491500854,1.7482774257659912
23.0,1.5762877464294434,1.748185634613037
24.0,1.5762343406677246,1.7481589317321777
25.0,1.5765811204910278,1.7481064796447754
26.0,1.5767990350723267,1.7480852603912354
27.0,1.5770009756088257,1.7480711936950684
28.0,1.5770217180252075,1.7480676174163818
29.0,1.5769606828689575,1.7480651140213013
30.0,1.5769532918930054,1.7480627298355103
31.0,1.5769317150115967,1.7480614185333252
32.0,1.5769455432891846,1.748060941696167
33.0,1.5769577026367188,1.7480610609054565
34.0,1.5769473314285278,1.7480608224868774
35.0,1.5769482851028442,1.748060941696167
36.0,1.5769474506378174,1.748060941696167
37.0,1.5769473314285278,1.748060941696167
38.0,1.5769473314285278,1.7480608224868774
39.0,1.5769537687301636,1.7480605840682983
40.0,1.5769497156143188,1.7480605840682983
