objective_eval,train_task_ce,train_total_objective
1.0,2.476531744003296,2.4784841537475586
2.0,2.4624931812286377,2.464444160461426
3.0,2.359311103820801,2.361301898956299
4.0,2.1135313510894775,2.1164567470550537
5.0,2.0020368099212646,2.0083861351013184
6.0,1.8724493980407715,1.8820372819900513
7.0,1.8437014818191528,1.8545477390289307
8.0,1.8207632303237915,1.8333427906036377
9.0,1.7995115518569946,1.813685417175293
10.0,1.780393123626709,1.7972294092178345
11.0,1.760084629058838,1.7768229246139526
12.0,1.7406060695648193,1.7582290172576904
13.0,1.7207837104797363,1.7412134408950806
14.0,1.7222496271133423,1.7478781938552856
15.0,1.7127933502197266,1.7351069450378418
16.0,1.702630639076233,1.7275738716125488
17.0,1.6931434869766235,1.7209179401397705
18.0,1.6858636140823364,1.7155330181121826
19.0,1.6805058717727661,1.7106752395629883
20.0,1.6757478713989258,1.7056926488876343
21.0,1.6723734140396118,1.7027796506881714
22.0,1.6686222553253174,1.6999759674072266
23.0,1.6635090112686157,1.697122573852539
24.0,1.660224199295044,1.6956884860992432
25.0,1.6581788063049316,1.6944820880889893
26.0,1.656197428703308,1.693058729171753
27.0,1.6553117036819458,1.6922873258590698
28.0,1.6546722650527954,1.6915748119354248
29.0,1.653734564781189,1.6908332109451294
30.0,1.652687430381775,1.6903469562530518
31.0,1.6512775421142578,1.6899324655532837
32.0,1.650545358657837,1.6896512508392334
33.0,1.649970293045044,1.689391851425171
34.0,1.6496047973632812,1.6891417503356934
35.0,1.6491137742996216,1.6888575553894043
36.0,1.649074673652649,1.6888097524642944
37.0,1.6488821506500244,1.6886729001998901
38.0,1.648794412612915,1.6886229515075684
39.0,1.6486058235168457,1.68854820728302
40.0,1.6484129428863525,1.688468337059021
41.0,1.648152470588684,1.6884100437164307
42.0,1.6481249332427979,1.6883845329284668
43.0,1.6481345891952515,1.6883745193481445
44.0,1.648138403892517,1.6883606910705566
45.0,1.6481080055236816,1.6883373260498047
46.0,1.6480211019515991,1.688330054283142
47.0,1.6480023860931396,1.6883161067962646
48.0,1.6479861736297607,1.6883124113082886
49.0,1.6479629278182983,1.688307285308838
50.0,1.6479518413543701,1.688301920890808
51.0,1.6479554176330566,1.6882983446121216
52.0,1.647963285446167,1.6882963180541992
53.0,1.6479655504226685,1.6882957220077515
54.0,1.647965908050537,1.6882948875427246
55.0,1.6479662656784058,1.6882940530776978
56.0,1.647983193397522,1.6882940530776978
