objective_eval,train_task_ce,train_total_objective
1.0,2.5823752880096436,4.534666538238525
2.0,2.56372332572937,4.463140487670898
3.0,2.428736925125122,3.8939404487609863
4.0,2.0960817337036133,2.3390960693359375
5.0,2.5728373527526855,2.829533815383911
6.0,2.0562827587127686,2.2704946994781494
7.0,2.0797386169433594,2.250972270965576
8.0,2.105290651321411,2.2421152591705322
9.0,2.111415147781372,2.24226450920105
10.0,2.10774564743042,2.2415764331817627
11.0,2.1094090938568115,2.2414391040802
12.0,2.1099908351898193,2.2413980960845947
13.0,2.1099486351013184,2.241384744644165
14.0,2.1098358631134033,2.2413806915283203
15.0,2.109832286834717,2.2413806915283203
