objective_eval,train_task_ce,train_total_objective
1.0,2.9911253452301025,2.993150234222412
2.0,2.8733866214752197,2.8754045963287354
3.0,2.296778678894043,2.298779249191284
4.0,2.0661394596099854,2.0681748390197754
5.0,1.5681239366531372,1.5704654455184937
6.0,1.107277750968933,1.1108444929122925
7.0,0.913947343826294,0.9188750982284546
8.0,0.7476118803024292,0.7545100450515747
9.0,0.586624264717102,0.5975573062896729
10.0,0.5374531745910645,0.5513651967048645
11.0,0.5006007552146912,0.5181334018707275
12.0,0.46893393993377686,0.4901163578033447
13.0,0.41821351647377014,0.44707828760147095
14.0,0.372222900390625,0.4130115211009979
15.0,0.3423924744129181,0.3870612680912018
16.0,0.3233439028263092,0.370534211397171
17.0,0.2998000383377075,0.34930139780044556
18.0,0.27928033471107483,0.3304940164089203
19.0,0.2511429190635681,0.3053247928619385
20.0,0.2279830425977707,0.286000519990921
21.0,0.21099263429641724,0.27253058552742004
22.0,0.20428799092769623,0.2665843963623047
23.0,0.19649556279182434,0.2591601610183716
24.0,0.19042345881462097,0.2535983920097351
25.0,0.18331480026245117,0.24792438745498657
26.0,0.1740582287311554,0.24190860986709595
27.0,0.16543437540531158,0.23660635948181152
28.0,0.16015665233135223,0.23258131742477417
29.0,0.15521599352359772,0.22745907306671143
30.0,0.15193158388137817,0.22357533872127533
31.0,0.14910514652729034,0.219938725233078
32.0,0.14516037702560425,0.21695756912231445
33.0,0.14181934297084808,0.21510812640190125
34.0,0.13929787278175354,0.21386677026748657
35.0,0.13659654557704926,0.2121470868587494
36.0,0.13380539417266846,0.2100744992494583
37.0,0.13250112533569336,0.20872056484222412
38.0,0.13200029730796814,0.2079523503780365
39.0,0.13191130757331848,0.20740869641304016
40.0,0.13163143396377563,0.20683571696281433
41.0,0.13107605278491974,0.2063683569431305
42.0,0.13009406626224518,0.20591816306114197
43.0,0.12931442260742188,0.205618217587471
44.0,0.1288432776927948,0.2054424285888672
45.0,0.12851376831531525,0.2052554488182068
46.0,0.12834231555461884,0.20510926842689514
47.0,0.12819898128509521,0.2048805058002472
48.0,0.1279636025428772,0.20473982393741608
49.0,0.12798187136650085,0.20467126369476318
50.0,0.12803243100643158,0.20463472604751587
51.0,0.12803731858730316,0.20461058616638184
52.0,0.12802954018115997,0.20456048846244812
53.0,0.12796053290367126,0.20452314615249634
54.0,0.12793804705142975,0.2045031040906906
55.0,0.12788712978363037,0.20449315011501312
56.0,0.12782885134220123,0.2044832706451416
57.0,0.12783239781856537,0.20447705686092377
58.0,0.1278541535139084,0.2044718861579895
59.0,0.1278955638408661,0.20446781814098358
60.0,0.12792366743087769,0.20446336269378662
61.0,0.12791071832180023,0.20446071028709412
62.0,0.12782485783100128,0.2044583261013031
63.0,0.12783001363277435,0.20445305109024048
64.0,0.12784652411937714,0.2044520527124405
65.0,0.1278935819864273,0.2044498175382614
66.0,0.12792447209358215,0.2044486105442047
67.0,0.1279299408197403,0.2044474184513092
68.0,0.12790967524051666,0.20444661378860474
69.0,0.12786659598350525,0.20444554090499878
70.0,0.12782275676727295,0.20444393157958984
71.0,0.12777003645896912,0.20444342494010925
72.0,0.1277756541967392,0.204441636800766
73.0,0.12780605256557465,0.2044411599636078
74.0,0.1278626024723053,0.204440176486969
75.0,0.12791667878627777,0.20443987846374512
76.0,0.12792177498340607,0.204439178109169
77.0,0.1279076337814331,0.2044389545917511
78.0,0.1279028207063675,0.20443859696388245
79.0,0.12791842222213745,0.20443826913833618
80.0,0.1279267817735672,0.20443803071975708
81.0,0.12793754041194916,0.20443782210350037
82.0,0.1279391497373581,0.20443768799304962
83.0,0.127923384308815,0.20443756878376007
84.0,0.1279202401638031,0.20443736016750336
85.0,0.12791302800178528,0.20443730056285858
86.0,0.12790003418922424,0.20443719625473022
87.0,0.12789267301559448,0.20443713665008545
88.0,0.12789270281791687,0.20443707704544067
89.0,0.12789715826511383,0.2044370472431183
90.0,0.12790152430534363,0.20443697273731232
91.0,0.12790538370609283,0.20443694293498993
92.0,0.12791210412979126,0.20443686842918396
93.0,0.12791812419891357,0.20443689823150635
94.0,0.1279146373271942,0.20443680882453918
95.0,0.12791258096694946,0.204436793923378
96.0,0.1279114931821823,0.2044367641210556
97.0,0.1279105693101883,0.2044367641210556
