objective_eval,train_task_ce,train_total_objective
1.0,2.7866058349609375,2.78680682182312
2.0,2.7269790172576904,2.7271792888641357
3.0,2.408839702606201,2.4090375900268555
4.0,2.2306368350982666,2.230836868286133
5.0,1.9803560972213745,1.980587363243103
6.0,1.9142194986343384,1.9144939184188843
7.0,1.8632608652114868,1.8635369539260864
8.0,1.84011971950531,1.8404003381729126
9.0,1.8136394023895264,1.813934087753296
10.0,1.7762395143508911,1.776558518409729
11.0,1.7404221296310425,1.7408133745193481
12.0,1.7143439054489136,1.7147583961486816
13.0,1.7037118673324585,1.7041257619857788
14.0,1.6842553615570068,1.6846789121627808
15.0,1.6647745370864868,1.665229082107544
16.0,1.6465076208114624,1.6470317840576172
17.0,1.6356940269470215,1.6362546682357788
18.0,1.6270281076431274,1.6276086568832397
19.0,1.611536979675293,1.612172245979309
20.0,1.6075758934020996,1.6082955598831177
21.0,1.597886562347412,1.5985974073410034
22.0,1.5940500497817993,1.5947608947753906
23.0,1.5899732112884521,1.590699315071106
24.0,1.5838373899459839,1.5845954418182373
25.0,1.5804719924926758,1.5812965631484985
26.0,1.5728758573532104,1.5737367868423462
27.0,1.5710749626159668,1.5719420909881592
28.0,1.5685046911239624,1.5693955421447754
29.0,1.5652672052383423,1.566189169883728
30.0,1.5624043941497803,1.5633735656738281
31.0,1.5607346296310425,1.561707615852356
32.0,1.5592937469482422,1.560263752937317
33.0,1.5577939748764038,1.5587730407714844
34.0,1.5560327768325806,1.5570405721664429
35.0,1.554756760597229,1.5557842254638672
36.0,1.554234266281128,1.5552699565887451
37.0,1.5534316301345825,1.5544815063476562
38.0,1.5527249574661255,1.5537916421890259
39.0,1.5520739555358887,1.5531476736068726
40.0,1.5515525341033936,1.5526317358016968
41.0,1.5512315034866333,1.5523147583007812
42.0,1.550521969795227,1.5516208410263062
43.0,1.5498584508895874,1.5509732961654663
44.0,1.5494747161865234,1.5506123304367065
45.0,1.5493171215057373,1.550455093383789
46.0,1.5491667985916138,1.5503038167953491
47.0,1.5489768981933594,1.5501163005828857
48.0,1.548740267753601,1.5498883724212646
49.0,1.5486053228378296,1.5497609376907349
50.0,1.5485280752182007,1.549688458442688
51.0,1.5484087467193604,1.549575686454773
52.0,1.5482544898986816,1.549430012702942
53.0,1.5482350587844849,1.5494223833084106
54.0,1.5481798648834229,1.5493613481521606
55.0,1.5481159687042236,1.5492998361587524
56.0,1.5480871200561523,1.549269437789917
57.0,1.5480626821517944,1.5492466688156128
58.0,1.5480400323867798,1.5492253303527832
59.0,1.5480003356933594,1.5491890907287598
60.0,1.5479792356491089,1.5491688251495361
61.0,1.547936201095581,1.5491302013397217
62.0,1.5479246377944946,1.5491169691085815
63.0,1.5479131937026978,1.5491060018539429
64.0,1.547908902168274,1.549101710319519
65.0,1.5479013919830322,1.549094557762146
66.0,1.5478931665420532,1.5490869283676147
67.0,1.5478794574737549,1.549074411392212
68.0,1.5478729009628296,1.549068570137024
69.0,1.547865629196167,1.5490621328353882
70.0,1.547863245010376,1.5490610599517822
71.0,1.5478571653366089,1.5490543842315674
72.0,1.5478549003601074,1.5490516424179077
73.0,1.5478521585464478,1.5490484237670898
74.0,1.5478479862213135,1.549044132232666
75.0,1.5478383302688599,1.5490344762802124
76.0,1.5478687286376953,1.5490673780441284
77.0,1.5478360652923584,1.5490325689315796
78.0,1.5478293895721436,1.5490269660949707
79.0,1.5478253364562988,1.5490238666534424
80.0,1.5478202104568481,1.5490200519561768
81.0,1.5478163957595825,1.5490169525146484
82.0,1.5478127002716064,1.5490143299102783
83.0,1.5478110313415527,1.5490121841430664
84.0,1.5478097200393677,1.5490103960037231
85.0,1.547808289527893,1.5490087270736694
86.0,1.5478053092956543,1.5490063428878784
87.0,1.547803282737732,1.5490049123764038
88.0,1.5478001832962036,1.5490025281906128
89.0,1.5477982759475708,1.5490007400512695
90.0,1.547797441482544,1.5489991903305054
91.0,1.547796368598938,1.5489976406097412
92.0,1.5477962493896484,1.548997163772583
93.0,1.5477957725524902,1.5489962100982666
94.0,1.5477951765060425,1.5489951372146606
95.0,1.547793984413147,1.5489943027496338
96.0,1.5477923154830933,1.5489931106567383
97.0,1.5477910041809082,1.5489921569824219
98.0,1.5477893352508545,1.5489908456802368
99.0,1.5477895736694336,1.5489912033081055
100.0,1.5477887392044067,1.5489903688430786
