objective_eval,train_task_ce,train_total_objective
1.0,2.6231164932250977,2.623311758041382
2.0,2.5755608081817627,2.5757553577423096
3.0,2.2884678840637207,2.288661003112793
4.0,2.113443613052368,2.1136457920074463
5.0,1.9415907859802246,1.941840410232544
6.0,1.918247938156128,1.9185489416122437
7.0,1.8735623359680176,1.8738576173782349
8.0,1.8573185205459595,1.8576128482818604
9.0,1.8258248567581177,1.8261265754699707
10.0,1.7853047847747803,1.7856338024139404
11.0,1.7569583654403687,1.7573648691177368
12.0,1.7209311723709106,1.721394419670105
13.0,1.710905909538269,1.7113652229309082
14.0,1.6981561183929443,1.698609471321106
15.0,1.6857576370239258,1.6862215995788574
16.0,1.6690666675567627,1.669593334197998
17.0,1.6553361415863037,1.6559065580368042
18.0,1.6483842134475708,1.6489782333374023
19.0,1.6394728422164917,1.6401108503341675
20.0,1.6329913139343262,1.6336828470230103
21.0,1.6269334554672241,1.6276443004608154
22.0,1.623524785041809,1.6242334842681885
23.0,1.6201618909835815,1.6208704710006714
24.0,1.6152925491333008,1.6160191297531128
25.0,1.609449028968811,1.6102241277694702
26.0,1.6070219278335571,1.607875108718872
27.0,1.6038098335266113,1.6046547889709473
28.0,1.6025363206863403,1.6033821105957031
29.0,1.6005687713623047,1.6014248132705688
30.0,1.597943663597107,1.5988329648971558
31.0,1.5960973501205444,1.597024917602539
32.0,1.5950911045074463,1.596024751663208
33.0,1.5942190885543823,1.5951584577560425
34.0,1.5933945178985596,1.5943418741226196
35.0,1.5926032066345215,1.5935664176940918
36.0,1.5915216207504272,1.5924968719482422
37.0,1.5911710262298584,1.592150092124939
38.0,1.5905851125717163,1.5915734767913818
39.0,1.5899707078933716,1.590970754623413
40.0,1.58951735496521,1.5905314683914185
41.0,1.5892510414123535,1.5902690887451172
42.0,1.5890666246414185,1.5900858640670776
43.0,1.588834285736084,1.5898574590682983
44.0,1.588492512702942,1.5895253419876099
45.0,1.5884051322937012,1.5894497632980347
46.0,1.5881304740905762,1.5891791582107544
47.0,1.5880736112594604,1.5891211032867432
48.0,1.5879677534103394,1.589016318321228
49.0,1.587849736213684,1.5889021158218384
50.0,1.5877485275268555,1.5888068675994873
51.0,1.5877010822296143,1.5887631177902222
52.0,1.5876587629318237,1.5887231826782227
53.0,1.5876187086105347,1.5886842012405396
54.0,1.587608814239502,1.588675856590271
55.0,1.5875616073608398,1.5886284112930298
56.0,1.5875498056411743,1.5886162519454956
57.0,1.5875309705734253,1.5885980129241943
58.0,1.5875154733657837,1.588584065437317
59.0,1.5874992609024048,1.588569164276123
60.0,1.5874842405319214,1.588556170463562
61.0,1.5874758958816528,1.5885483026504517
62.0,1.5874563455581665,1.588529109954834
63.0,1.5874862670898438,1.5885608196258545
64.0,1.5874494314193726,1.5885226726531982
65.0,1.587442398071289,1.5885157585144043
66.0,1.5874378681182861,1.588511347770691
67.0,1.5874310731887817,1.5885056257247925
68.0,1.587424874305725,1.5885004997253418
69.0,1.5874207019805908,1.5884971618652344
70.0,1.587417483329773,1.5884944200515747
71.0,1.5874146223068237,1.588491439819336
72.0,1.5874115228652954,1.5884877443313599
73.0,1.5874087810516357,1.5884844064712524
74.0,1.5874052047729492,1.5884803533554077
75.0,1.5874059200286865,1.588480830192566
76.0,1.5874028205871582,1.5884778499603271
77.0,1.5874005556106567,1.5884757041931152
78.0,1.5873985290527344,1.588473916053772
79.0,1.587395191192627,1.5884710550308228
80.0,1.587390661239624,1.5884673595428467
81.0,1.587397575378418,1.5884747505187988
82.0,1.5873892307281494,1.5884660482406616
83.0,1.5873868465423584,1.5884641408920288
84.0,1.5873855352401733,1.5884630680084229
85.0,1.587383508682251,1.5884613990783691
86.0,1.5873817205429077,1.5884599685668945
87.0,1.5873806476593018,1.5884594917297363
88.0,1.5873794555664062,1.5884579420089722
89.0,1.5873793363571167,1.588457703590393
90.0,1.587378740310669,1.5884569883346558
91.0,1.5873781442642212,1.588456392288208
92.0,1.5873774290084839,1.5884557962417603
93.0,1.5873767137527466,1.5884552001953125
94.0,1.5873761177062988,1.5884546041488647
95.0,1.5873757600784302,1.588454246520996
96.0,1.5873754024505615,1.588453769683838
97.0,1.5873751640319824,1.5884535312652588
98.0,1.5873750448226929,1.5884535312652588
