contrast,backbone_objective,seed,left_case,right_case,delta_pp
mean_center_effect_no_bias,tsce,11,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,1.615745365745358
mean_center_effect_no_bias,tsce,23,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,4.604076479076468
mean_center_effect_no_bias,tsce,37,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,1.0549866799866914
mean_center_effect_no_bias,wcce,11,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,-2.1773365523365618
mean_center_effect_no_bias,wcce,23,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,5.253912753912749
mean_center_effect_no_bias,wcce,37,P2_mean_scale_center_no_bias,P0_mean_scale_no_center_no_bias,0.6186868686868907
mean_center_effect_with_bias,tsce,11,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,1.1183261183261184
mean_center_effect_with_bias,tsce,23,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,0.0
mean_center_effect_with_bias,tsce,37,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,0.0
mean_center_effect_with_bias,wcce,11,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,0.0
mean_center_effect_with_bias,wcce,23,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,0.0
mean_center_effect_with_bias,wcce,37,P3_mean_scale_center_bias,P1_mean_scale_no_center_bias,0.0
wholecount_center_effect_no_bias,tsce,11,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,1.0304279054279109
wholecount_center_effect_no_bias,tsce,23,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,4.781121656121656
wholecount_center_effect_no_bias,tsce,37,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,7.94379231879232
wholecount_center_effect_no_bias,wcce,11,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,0.4651598401598456
wholecount_center_effect_no_bias,wcce,23,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,10.052586302586308
wholecount_center_effect_no_bias,wcce,37,P6_wholecount_scale_center_no_bias,P4_wholecount_scale_no_center_no_bias,-1.0531135531135494
wholecount_center_effect_with_bias,tsce,11,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.0
wholecount_center_effect_with_bias,tsce,23,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.0
wholecount_center_effect_with_bias,tsce,37,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.7575757575757569
wholecount_center_effect_with_bias,wcce,11,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.0
wholecount_center_effect_with_bias,wcce,23,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.0
wholecount_center_effect_with_bias,wcce,37,P7_wholecount_scale_center_bias,P5_wholecount_scale_no_center_bias,0.0
mean_bias_effect_no_center,tsce,11,P1_mean_scale_no_center_bias,P0_mean_scale_no_center_no_bias,0.921300921300916
mean_bias_effect_no_center,tsce,23,P1_mean_scale_no_center_bias,P0_mean_scale_no_center_no_bias,3.562409812409806
mean_bias_effect_no_center,tsce,37,P1_mean_scale_no_center_bias,P0_mean_scale_no_center_no_bias,0.1756576756576811
mean_bias_effect_no_center,wcce,11,P1_mean_scale_no_center_bias,P0_mean_scale_no_center_no_bias,-1.4197607947608049
