case,layer,representation,bias_mode,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,selected_C_mean,selected_C_std,selected_C_count
C0_a2_2layer,L1,wholecount,affine,0.6003001628001627,0.02423285380255978,3,0.6095890410958904,0.01812158432236026,3,0.590510511645177,0.019052017975242905,3,0.7000000000000001,0.5196152422706632,3
C0_a2_2layer,L1,wholecount,no_bias,0.5648386335886336,0.03997370745619337,3,0.5730593607305936,0.034474129841418955,3,0.5564224856396489,0.041465913483493655,3,0.7000000000000001,0.5196152422706632,3
C0_a2_2layer,L1,fixed250,affine,0.5444594757094756,0.026305930711848474,3,0.5570776255707762,0.02851597259542652,3,0.5451455353735482,0.0263752382531595,3,0.7000000000000001,0.5196152422706632,3
C0_a2_2layer,L1,fixed250,no_bias,0.5515484515484516,0.02030666852753006,3,0.5639269406392694,0.02201746749085152,3,0.5460455987919591,0.02310933391648811,3,0.01,0.0,3
C0_a2_2layer,L2,wholecount,affine,0.5862734487734488,0.00974412952227766,3,0.6004566210045662,0.003954453898559,3,0.5817243989139445,0.014810518658339806,3,0.01,0.0,3
C0_a2_2layer,L2,wholecount,no_bias,0.5409814722314722,0.03690715353221837,3,0.5479452054794521,0.0381353723481508,3,0.5320582166709394,0.034653843219778095,3,6.670000000000001,5.767729189204362,3
C0_a2_2layer,L2,fixed250,affine,0.5794242794242793,0.02321206829240204,3,0.593607305936073,0.020925003173314353,3,0.5783047641735525,0.028891776281014157,3,0.37000000000000005,0.5474486277268398,3
C0_a2_2layer,L2,fixed250,no_bias,0.5805446867946867,0.016499917605796617,3,0.595890410958904,0.018121584322360204,3,0.5754983575763489,0.021290165708676746,3,3.3699999999999997,5.741924764397388,3
C1_frozen_a2_train_l3,L1,wholecount,affine,0.6003001628001627,0.02423285380255978,3,0.6095890410958904,0.01812158432236026,3,0.590510511645177,0.019052017975242905,3,0.7000000000000001,0.5196152422706632,3
C1_frozen_a2_train_l3,L1,wholecount,no_bias,0.5648386335886336,0.03997370745619337,3,0.5730593607305936,0.034474129841418955,3,0.5564224856396489,0.041465913483493655,3,0.7000000000000001,0.5196152422706632,3
C1_frozen_a2_train_l3,L1,fixed250,affine,0.5444594757094756,0.026305930711848474,3,0.5570776255707762,0.02851597259542652,3,0.5451455353735482,0.0263752382531595,3,0.7000000000000001,0.5196152422706632,3
C1_frozen_a2_train_l3,L1,fixed250,no_bias,0.5515484515484516,0.02030666852753006,3,0.5639269406392694,0.02201746749085152,3,0.5460455987919591,0.02310933391648811,3,0.01,0.0,3
C1_frozen_a2_train_l3,L2,wholecount,affine,0.5862734487734488,0.00974412952227766,3,0.6004566210045662,0.003954453898559,3,0.5817243989139445,0.014810518658339806,3,0.01,0.0,3
C1_frozen_a2_train_l3,L2,wholecount,no_bias,0.5409814722314722,0.03690715353221837,3,0.5479452054794521,0.0381353723481508,3,0.5320582166709394,0.034653843219778095,3,6.670000000000001,5.767729189204362,3
C1_frozen_a2_train_l3,L2,fixed250,affine,0.5794242794242793,0.02321206829240204,3,0.593607305936073,0.020925003173314353,3,0.5783047641735525,0.028891776281014157,3,0.37000000000000005,0.5474486277268398,3
C1_frozen_a2_train_l3,L2,fixed250,no_bias,0.5805446867946867,0.016499917605796617,3,0.595890410958904,0.018121584322360204,3,0.5754983575763489,0.021290165708676746,3,3.3699999999999997,5.741924764397388,3
C1_frozen_a2_train_l3,L3,wholecount,affine,0.534017834017834,0.025494968524009055,3,0.5388127853881278,0.025931088336987585,3,0.5206050017739957,0.02984436002077918,3,3.3699999999999997,5.741924764397388,3
C1_frozen_a2_train_l3,L3,wholecount,no_bias,0.5121621434121434,0.02887786064873685,3,0.5205479452054794,0.0273972602739726,3,0.495365089179455,0.032131291830710805,3,0.01,0.0,3
C1_frozen_a2_train_l3,L3,fixed250,affine,0.5284262034262034,0.030350521414681593,3,0.541095890410959,0.03624316864472046,3,0.5265416586569093,0.028427410760079045,3,6.7,5.715767664977295,3
C1_frozen_a2_train_l3,L3,fixed250,no_bias,0.5442788692788693,0.011229741994012742,3,0.5547945205479452,0.01186336169567729,3,0.5346136822936671,0.007974451039469152,3,3.6999999999999997,5.474486277268397,3
C2_c1_init_e2e_3layer,L1,wholecount,affine,0.5894175269175269,0.017774396602516306,3,0.6027397260273973,0.020547945205479506,3,0.5832478270073683,0.017675640439095978,3,0.39999999999999997,0.5196152422706632,3
C2_c1_init_e2e_3layer,L1,wholecount,no_bias,0.5418798793798794,0.015667409200417926,3,0.5570776255707762,0.017237064920709474,3,0.533413423351529,0.01722700339246579,3,0.39999999999999997,0.5196152422706632,3
C2_c1_init_e2e_3layer,L1,fixed250,affine,0.5484531672031672,0.03430832888736437,3,0.5616438356164384,0.036243168644720436,3,0.5444062855892633,0.03442944263808814,3,0.7000000000000001,0.5196152422706632,3
C2_c1_init_e2e_3layer,L1,fixed250,no_bias,0.5558473933473933,0.01944614946886485,3,0.5684931506849314,0.020547945205479465,3,0.549140611920179,0.020548691207708806,3,0.01,0.0,3
C2_c1_init_e2e_3layer,L2,wholecount,affine,0.5697621822621822,0.04096032587586132,3,0.5844748858447489,0.04560498711287253,3,0.5662906998493128,0.04513576916667046,3,0.34,0.5715767664977295,3
C2_c1_init_e2e_3layer,L2,wholecount,no_bias,0.55639985014985,0.03263709333360722,3,0.5639269406392694,0.03378686891997427,3,0.5517115864769578,0.03610710610633808,3,3.3699999999999997,5.741924764397388,3
C2_c1_init_e2e_3layer,L2,fixed250,affine,0.5706062456062455,0.015950701955202803,3,0.58675799086758,0.0172370649207094,3,0.5647904710053665,0.02239821664165054,3,0.007,0.005196152422706632,3
C2_c1_init_e2e_3layer,L2,fixed250,no_bias,0.5716117216117216,0.010197870318792657,3,0.589041095890411,0.013698630136986245,3,0.5645816337776943,0.006906889037355238,3,0.004,0.005196152422706632,3
C2_c1_init_e2e_3layer,L3,wholecount,affine,0.525610038110038,0.006678417288643983,3,0.5342465753424658,0.006849315068493178,3,0.5057788426803381,0.007078097179151799,3,0.7000000000000001,0.5196152422706632,3
C2_c1_init_e2e_3layer,L3,wholecount,no_bias,0.5247786935286934,0.02130258895771925,3,0.5365296803652968,0.01723706492070946,3,0.508842482863798,0.02713399792771747,3,6.669999999999999,5.767729189204362,3
C2_c1_init_e2e_3layer,L3,fixed250,affine,0.55255069005069,0.019765193542190446,3,0.5684931506849314,0.02054794520547945,3,0.5425467215496536,0.027564190081176387,3,0.7000000000000001,0.5196152422706631,3
C2_c1_init_e2e_3layer,L3,fixed250,no_bias,0.5768305768305768,0.020003255865267994,3,0.589041095890411,0.020547945205479423,3,0.5672730191329083,0.027245293592800097,3,3.6999999999999997,5.474486277268398,3
