contrast,left_method,right_method,seed,final_lif_delta_pp
A1_minus_A3_e2e_tsce_linear_vs_lif,A1_e2e_linear_tsce,A3_e2e_lif_tsce,11,12.19363969363969
A1_minus_A3_e2e_tsce_linear_vs_lif,A1_e2e_linear_tsce,A3_e2e_lif_tsce,23,2.247752247752244
A1_minus_A3_e2e_tsce_linear_vs_lif,A1_e2e_linear_tsce,A3_e2e_lif_tsce,37,6.757062382062385
A2_minus_A4_e2e_wcce_linear_vs_lif,A2_e2e_linear_wcce,A4_e2e_lif_wcce,11,0.7970501720501844
A2_minus_A4_e2e_wcce_linear_vs_lif,A2_e2e_linear_wcce,A4_e2e_lif_wcce,23,14.525405150405158
A2_minus_A4_e2e_wcce_linear_vs_lif,A2_e2e_linear_wcce,A4_e2e_lif_wcce,37,2.9893023643023655
B2_minus_B6_ts_vs_wc_backbone,B2_tsbackbone_linear_wcce,B6_wcbackbone_linear_wcce,11,1.820401820401818
B2_minus_B6_ts_vs_wc_backbone,B2_tsbackbone_linear_wcce,B6_wcbackbone_linear_wcce,23,-8.935786435786447
B2_minus_B6_ts_vs_wc_backbone,B2_tsbackbone_linear_wcce,B6_wcbackbone_linear_wcce,37,-0.5228798978799021
B2_minus_B1_wcce_vs_tsce_W,B2_tsbackbone_linear_wcce,B1_tsbackbone_linear_tsce,11,5.078740703740708
B2_minus_B1_wcce_vs_tsce_W,B2_tsbackbone_linear_wcce,B1_tsbackbone_linear_tsce,23,1.3489982239982268
B2_minus_B1_wcce_vs_tsce_W,B2_tsbackbone_linear_wcce,B1_tsbackbone_linear_tsce,37,11.684149184149167
B2_minus_B4_linear_vs_lif_W_training,B2_tsbackbone_linear_wcce,B4_tsbackbone_lif_wcce,11,-1.6235847485847388
B2_minus_B4_linear_vs_lif_W_training,B2_tsbackbone_linear_wcce,B4_tsbackbone_lif_wcce,23,-2.1006771006770952
B2_minus_B4_linear_vs_lif_W_training,B2_tsbackbone_linear_wcce,B4_tsbackbone_lif_wcce,37,7.5493950493950415
B2_minus_A1_two_stage_vs_e2e_linear_tsce,B2_tsbackbone_linear_wcce,A1_e2e_linear_tsce,11,3.0314824064824055
B2_minus_A1_two_stage_vs_e2e_linear_tsce,B2_tsbackbone_linear_wcce,A1_e2e_linear_tsce,23,0.4387973137973178
B2_minus_A1_two_stage_vs_e2e_linear_tsce,B2_tsbackbone_linear_wcce,A1_e2e_linear_tsce,37,8.134088134088119
B2_minus_A2_two_stage_vs_e2e_linear_wcce,B2_tsbackbone_linear_wcce,A2_e2e_linear_wcce,11,1.3836857586857598
B2_minus_A2_two_stage_vs_e2e_linear_wcce,B2_tsbackbone_linear_wcce,A2_e2e_linear_wcce,23,-12.809551559551563
B2_minus_A2_two_stage_vs_e2e_linear_wcce,B2_tsbackbone_linear_wcce,A2_e2e_linear_wcce,37,3.210886335886326
B2_minus_A3_two_stage_vs_e2e_lif_tsce,B2_tsbackbone_linear_wcce,A3_e2e_lif_tsce,11,15.225122100122096
B2_minus_A3_two_stage_vs_e2e_lif_tsce,B2_tsbackbone_linear_wcce,A3_e2e_lif_tsce,23,2.686549561549562
B2_minus_A3_two_stage_vs_e2e_lif_tsce,B2_tsbackbone_linear_wcce,A3_e2e_lif_tsce,37,14.891150516150503
B2_minus_A4_two_stage_vs_e2e_lif_wcce,B2_tsbackbone_linear_wcce,A4_e2e_lif_wcce,11,2.180735930735944
B2_minus_A4_two_stage_vs_e2e_lif_wcce,B2_tsbackbone_linear_wcce,A4_e2e_lif_wcce,23,1.7158535908535943
B2_minus_A4_two_stage_vs_e2e_lif_wcce,B2_tsbackbone_linear_wcce,A4_e2e_lif_wcce,37,6.200188700188692
